Control ID,SCF ID,Description,Control Coverage,Response,
3.1,CPL-01.2,"This Regulation applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the Union, regardless of whether the processing takes place in the Union or not.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
3.2,CPL-01.2,"This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to:
a. the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or
b. the monitoring of their behaviour as far as their behaviour takes place within the Union.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
3.2(a),CPL-01.2,"This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to:
a. the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
3.2(b),CPL-01.2,"This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to:

b. the monitoring of their behaviour as far as their behaviour takes place within the Union.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
3.3,CPL-01.2,"This Regulation applies to the processing of personal data by a controller not established in the Union, but in a place where Member State law applies by virtue of public international law.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
4,SEA-02.1,"The objective of this ""control"" is to ensure the organization uses standardized terminology to identify and categorize data, roles, and actions. This prevents ""compliance gaps"" where an organization fails to protect data simply because they didn't realize it fell under the GDPR's definition.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
5.1(a),PRI-01,"Personal data shall be: processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’);
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
5.1(b),PRI-04,"Personal data shall be:
collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
5.1(c),PRI-04,"Personal data shall be:
adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
5.1(d),PRI-05.2,"Personal data shall be:
accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’);",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
5.1(e),"PRI-05, PRI-05.8","Personal data shall be:
kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’);",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
5.1(f),PRI-01.6,"Personal data shall be:
processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).
",Contributes,"VMware Cloud Foundation provides robust technical safeguards to protect personal data. Workloads are isolated within their own execution environments, preventing interference and enforcing data separation, further enhanced by vSphere Namespaces with enforced resource limits, storage policies, and access controls. Data at rest is protected through VM Encryption and vSAN Encryption, ensuring confidentiality for personal data stored within the infrastructure. The Supervisor encrypts all secrets in its etcd database, adding another layer of protection for sensitive configuration. VCF Automation includes a privacy-aware feature that controls the display of full user names in the UI, supporting explicit consent management for personal data exposure.

VMware vDefend extends this protection with network-level security controls. The Distributed Firewall enforces microsegmentation policies, isolating personal data-bearing workloads, restricting lateral movement, and limiting access to sensitive data flows. Security Intelligence identifies cleartext protocols that could expose personal data in transit, enabling remediation of insecure communication paths. IDS/IPS provides threat detection for network-based attacks targeting personal data systems, and Gateway Firewall policies restrict access to critical infrastructure like DNS, DHCP, NTP, and LDAP, which are essential for maintaining data confidentiality and integrity.

While the platform provides extensive technical controls, the organization remains responsible for defining what constitutes personal data through a comprehensive data classification scheme. Establishing and enforcing organizational policies for data handling, access management, and incident response is also a customer responsibility. Physical security of the underlying infrastructure, content-level Data Loss Prevention (DLP), and ensuring that sensitive data is not stored in plain text within data sets are outside the platform's direct scope and require customer implementation and oversight.",
5.2,CPL-01.3,"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’).",Contributes,"VMware Cloud Foundation provides a comprehensive compliance management engine that continuously monitors infrastructure against security benchmarks, including the DISA STIG.

It calculates compliance scores, flags violations, and offers actionable remediation recommendations. The platform supports automated security posture assessment and remediation through product interfaces, command-line tools, and APIs, enabling the generation of point-in-time and ongoing evidence for auditors and compliance teams.

VCF components generate detailed logs of security-relevant events, such as authentication attempts, configuration changes, and administrative actions, supporting syslog forwarding to external SIEM systems for centralized log retention.

VCF Operations for Logs further provides pre-built content packs with dashboards and alerts for common compliance use cases like failed login tracking and policy violation detection.

VMware Live Recovery maintains recovery plan history reports, which serve as evidence of DR testing and execution, viewable within the product interface, exportable, and accessible via REST API.

It supports event logging for protection group changes, datastore operations, and consistency group modifications, providing an audit trail of DR-related administrative actions. Protection group configurations, combined with replication status monitoring and recovery plan test records, produce artifacts for demonstrating conformity with disaster recovery requirements.

VMware vDefend contributes by providing auditable records of security policy configuration and enforcement.

Its Rule Analysis feature detects contradictions and redundancies in firewall policy, enabling verification that implemented rules align with documented security requirements.

Role-based access controls, including dedicated Auditor and Security Engineer roles, support segregation of duties and evidence collection during compliance assessments.

While these technical capabilities produce the artifacts and evidence necessary for demonstrating conformity with cybersecurity and data protection requirements, the organizational processes for tracking applicable laws, regulations, and contractual obligations, along with the broader governance, documentation, and audit processes, fall outside the scope of these products.

The ultimate responsibility for defining and managing the overall compliance program, identifying which laws and regulations apply, mapping controls to requirements, and establishing human accountability remains with the customer.",
7.1,PRI-03,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
7.2,PRI-03,"If the data subject’s consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
7.3,PRI-03.4,"The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. Prior to giving consent, the data subject shall be informed thereof. It shall be as easy to withdraw as to give consent.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
8.1,"PRI-03.6, PRI-04","Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is at least 16 years old. Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child.
Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
8.2,PRI-03.6,"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available technology.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.1,PRI-01,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person’s sex life or sexual orientation shall be prohibited.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(a),PRI-03,"the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(b),PRI-04.1,"processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(c),PRI-04.1,processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent;,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(d),PRI-04.1,"processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(e),PRI-04.1,processing relates to personal data which are manifestly made public by the data subject;,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(f),PRI-04.1,"processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
