Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
M1.01,Providers shall maintain accurate records of all externally-facing systems.,NET-03,"nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
M1.04,Physical and logical separation shall be implemented between the exposed edge and security critical functions. Note that this measure may not be necessary once datasets and functions can be cryptographically-protected from compromise.,NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
M1.05,Security boundaries shall exist between the exposed edge and critical or sensitive functions that implement protective measures.,NET-03,"nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
M1.06,"Equipment in the exposed edge shall not be able to impact operation or routing within the core network. As an example, the exposed edge shall not be a PE-node within the provider's IP Core.",NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
M2.01,Privileged user access rights shall be regularly reviewed and updated as part of business-as-usual management. This shall include updating privileged user rights in line with any relevant changes to roles and responsibilities within the organisation.,IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
M2.04,Management protocols that are not required shall be disabled on all network functions and equipment.,"CFG-03, CFG-03.1","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.inactive-interfaces, nsx-9.multicast-disable, nsx-9.routing-protocols-unused, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-inactive-interfaces, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
M2.05,Default passwords shall be changed upon initialisation of the device or service and before its use for the provision of the relevant network of service.,"IAC-10, IAC-10.8","automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-name, esx-9.hardware-management-security, fleet-9.access-token, fleet-9.api-token, sddc-9.api-admin, sddc-9.basic-auth-disable"
M3.01,"Providers shall understand how incoming signalling arrives into their network, and outgoing signalling leaves their network. Specifically, the interfaces over which signalling enters and leaves the network, and the equipment which sends and processes external signalling.",NET-03,"nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
M3.05,"At edge signalling nodes, providers shall block any incoming message using any source address internal to the provider's network.",NET-04.1,"esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, operations-9.firewall-hardening, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vsan-9.file-services-access-control-nfs"
M3.06,"Trust shall not be assumed based on the source of any incoming message. For example, UK source addresses (e.g. +44 global titles in SS7) shall not be assumed to be trusted and shall not be allowed by default.",NET-04.1,"esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, operations-9.firewall-hardening, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vsan-9.file-services-access-control-nfs"
