SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
automation-9.activity-log,Automation,Retain the VCF Automation activity log for the audit window and keep debug output disabled.,P1,CFG-03,PR.PS-05
automation-9.oidc-settings,Automation,Bound VCF Automation OIDC token lifetimes and keep redirect targets HTTPS-only.,P1,CRY-03,PR.DS-02
automation-9.operation-limits,Automation,Configure operation limits in VCF Automation to bound resource-intensive operations.,P0,CAP-02,PR.IR-04
esx-9.ad-admin-group-autoadd,ESX,The ESX host must not automatically grant administrative permissions to Active Directory groups.,P2,IAC-21,"PR.AA-05, PR.DS-10"
esx-9.ceip-disable,ESX,Disable the ESX Customer Experience Improvement Program.,P1,CFG-03,PR.PS-05
esx-9.cpu-hyperthread-warning,ESX,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,P2,MON-01.4,"DE.CM-01, PR.PS-04"
esx-9.deactivate-mob,ESX,The ESX Managed Object Browser (MOB) must be disabled.,P2,CFG-03,PR.PS-05
esx-9.deactivate-shell,ESX,The ESX Shell must be disabled.,P2,CFG-03,PR.PS-05
esx-9.entropy,ESX,The ESX host must use sufficient entropy for cryptographic operations.,P2,CRY-01,"PR.DS-01, PR.DS-02, PR.DS-10"
esx-9.forensic-snapshots,ESX,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,P2,"CFG-03, IRO-08","PR.PS-05, RS.AN, RS.AN-06, RS.AN-07"
esx-9.hardware-cpu-amd-cc,ESX,"Enable AMD SEV-ES and SEV-SNP in system firmware where available, and size the SEV ASID pool appropriately.",P1,CRY-01,"PR.DS-01, PR.DS-02, PR.DS-10"
esx-9.hardware-cpu-intel-cc,ESX,Enable Intel SGX and TDX in system firmware where available.,P1,CRY-01,"PR.DS-01, PR.DS-02, PR.DS-10"
esx-9.hardware-firmware-updates,ESX,"Ensure all system and device firmware is auditable, authentic, and up to date.",P0,VPM-05,PR.PS-02
esx-9.hardware-management-config-lock,ESX,Lock the hardware management controller configuration after provisioning.,P1,CHG-04,ID.RA-07
esx-9.hardware-management-log-forwarding,ESX,Forward hardware management controller logs to a central log server.,P0,MON-02,"DE.AE-03, DE.AE-06"
esx-9.hardware-management-security,ESX,Harden integrated hardware management controllers.,P0,CFG-03,PR.PS-05
esx-9.hardware-ports,ESX,Disable or physically protect unused external server ports.,P1,CFG-03,PR.PS-05
esx-9.hardware-tpm,ESX,Install and enable a TPM 2.0 on each ESX host.,P0,AST-18,ID.RA-09
