Control ID,Description
CR 1.1,"Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys."
CR 1.1(1),"Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys."
CR 1.1(2),"Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys."
CR 1.10,"Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry."
CR 1.11,Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.
CR 1.12,System use notification: Display a notification message before establishing user identification.
CR 1.14,"Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys."
CR 1.14(1),"Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys."
CR 1.2,"Software process and device identification and authentication: Capability to identify and authenticate all software processes and devices.

Unique identification and authentication: Capability to uniquely identify and authenticate all software processes and devices."
CR 1.2(1),"Software process and device identification and authentication: Capability to identify and authenticate all software processes and devices.

Unique identification and authentication: Capability to uniquely identify and authenticate all software processes and devices."
