Control ID,SCF ID,Description,Control Coverage,Response
AC-1,"GOV-02, GOV-03, IAC-01","Policy and Procedures
a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): organization-level; mission/business process-level; system-level] access control policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the access control policy and the associated access controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
 c. Review and update the current access control:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].",Contributes,"The VCF platform establishes a robust, software-defined infrastructure with inherent access control mechanisms, including Role-Based Access Control (RBAC) for managing its components such as SDDC Manager, vCenter Server, and NSX Manager. It integrates with enterprise identity providers, enabling centralized authentication and authorization for platform administrators and users. The platform's comprehensive audit capabilities log administrative actions, providing a verifiable record of access and changes.

These technical capabilities form the critical foundation upon which an organization's access control policy and procedures are built and enforced, directly informing the scope and implementation details required by the policy.

The development, documentation, and dissemination of an organization-level, mission/business process-level, or system-level access control policy and its associated procedures remain an organizational responsibility.

The platform does not define the purpose, scope, roles, responsibilities, management commitment, or coordination among organizational entities for access control. It does not designate an official to manage these activities, nor does it automatically review and update the policy and procedures at defined frequencies or following specific events. These are administrative and governance functions that must be performed by the customer to ensure comprehensive compliance with this control."
AC-2,"IAC-07.2, IAC-15, NET-12, TDA-18","Account Management
a. Define and document the types of accounts allowed and specifically prohibited for use within the system;
 b. Assign account managers;
 c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
 d. Specify:
 1. Authorized users of the system;
 2. Group and role membership; and
 3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
 e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
 f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
 g. Monitor the use of accounts;
 h. Notify account managers and [Assignment: organization-defined personnel or roles] within:
 1. [Assignment: organization-defined time period] when accounts are no longer required;
 2. [Assignment: organization-defined time period] when users are terminated or transferred; and
 3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
 i. Authorize access to the system based on:
 1. A valid access authorization;
 2. Intended system usage; and
 3. [Assignment: organization-defined attributes (as required)];
 j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
 k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
 l. Align account management processes with personnel termination and transfer processes.",Contributes,"The platform provides robust capabilities for managing user accounts and access authorizations across its components. It integrates seamlessly with enterprise identity providers such as Active Directory and LDAP, enabling centralized authentication and authorization.

Granular Role-Based Access Control (RBAC) is enforced across vCenter Server, NSX, and SDDC Manager, allowing for precise definition of authorized users, group and role memberships, and specific access privileges. The platform offers comprehensive APIs and user interfaces for creating, enabling, modifying, disabling, and removing accounts or their associated access rights, facilitating automated account lifecycle management.

All account-related activities, including login attempts, privilege changes, and configuration modifications, are meticulously logged and auditable, supporting continuous monitoring of account usage and compliance.

While the platform delivers the technical mechanisms for account management, the customer is responsible for defining and documenting the types of accounts allowed and prohibited, establishing prerequisites and criteria for group and role membership, and assigning account managers.

The organization must define the personnel or roles responsible for approving account creation requests, specify the policies and procedures governing account lifecycle actions, and determine the frequency for reviewing accounts. Furthermore, the customer is accountable for establishing the specific time periods for notifications regarding account status changes and for aligning account management processes with broader personnel termination and transfer procedures."
AC-2(1),IAC-15.1,"Account Management | Automated System Account Management
Support the management of system accounts using [Assignment: organization-defined automated mechanisms].",Contributes,"VMware Cloud Foundation automates the management of system accounts critical for its operational components. The SDDC Manager orchestrates the creation, modification, and lifecycle of accounts for vCenter Server, ESXi hosts, NSX, and vSAN during initial deployment and subsequent updates. This includes the automated provisioning of internal service accounts and the integration with external identity providers such as Active Directory or LDAP for administrative access to the VCF management domain. The platform's lifecycle management capabilities ensure consistent account states across the infrastructure.

The organization must define the specific automated mechanisms to be employed and ensure their consistent application across the broader IT environment, particularly for system accounts within guest workloads and applications not directly managed by the VCF platform. Policy definition for account lifecycle, access reviews, and integration with enterprise-wide identity and access management solutions remain an organizational responsibility."
AC-2(2),IAC-15.2,"Account Management | Automated Temporary and Emergency Account Management
Automatically [Selection: remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].",Contributes,"The VCF platform provides robust capabilities for automated account lifecycle management through its integrated identity services. This includes the technical mechanisms to automatically disable or remove accounts based on predefined time periods, directly supporting the automated management of temporary and emergency accounts. The platform ensures that once policies are configured, the enforcement of account expiration and de-provisioning occurs without manual intervention.

The customer is responsible for defining the specific criteria that classify accounts as temporary or emergency. Furthermore, the organization must establish the precise time periods after which these accounts are to be automatically removed or disabled, and then configure these policies within the identity management system integrated with VCF."
AC-2(3),IAC-15.3,"Account Management | Disable Accounts
Disable accounts within [Assignment: organization-defined time period] when the accounts:
 (a) Have expired;
 (b) Are no longer associated with a user or individual;
 (c) Are in violation of organizational policy; or
 (d) Have been inactive for [Assignment: organization-defined time period].",Contributes,"VCF provides robust identity and access management capabilities to enforce account lifecycle policies. The platform can be configured to automatically disable accounts based on defined expiration dates, ensuring that access is revoked once an account's validity period ends. Furthermore, VCF's IAM services include comprehensive inactivity monitoring, allowing for the automatic disabling of accounts that have remained dormant for an organization-defined period, thereby reducing the attack surface from stale credentials. The platform also supports the enforcement of organizational security policies, and can be integrated to trigger account disabling actions upon detection of policy violations or when accounts are no longer associated with an active user or individual.

The customer is responsible for establishing the specific organization-defined time periods for account expiration and inactivity. Defining the comprehensive set of organizational policies that necessitate account disabling, and implementing the processes and integrations required to identify when accounts are no longer associated with a user or individual, remain critical customer obligations. VCF provides the technical framework, but its effective implementation relies on precise customer policy definition and operational procedures."
AC-2(4),IAC-15.4,"Account Management | Automated Audit Actions
Automatically audit account creation, modification, enabling, disabling, and removal actions.",Meets,"The VCF platform inherently provides automated auditing for all account lifecycle actions across its core components.

vCenter Server, NSX-T Manager, SDDC Manager, and Workspace ONE Access (when deployed) automatically log events related to account creation, modification, enabling, disabling, and removal. These comprehensive audit trails capture the necessary details for each action, including timestamps, actors, and affected entities.

The platform's integrated logging capabilities ensure that these critical account management activities are continuously and automatically recorded, providing a robust foundation for security monitoring and compliance verification."
AC-2(5),IAC-24,"Account Management | Inactivity Logout
Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].",Contributes,"VCF components, including vCenter Server, NSX-T Manager, and SDDC Manager, provide configurable session timeout mechanisms. These capabilities allow for the automatic termination of user sessions after a specified period of inactivity, ensuring that users are logged out as required. The platform's underlying infrastructure supports the enforcement of these inactivity-based logout policies across its management interfaces.

The organization is responsible for defining the specific time period of expected inactivity after which users must be logged out. This policy decision must be established and then configured within the respective VCF component settings to align with organizational security requirements."
AC-2(7),IAC-08,"Account Management | Privileged User Accounts
(a) Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme];
 (b) Monitor privileged role or attribute assignments;
 (c) Monitor changes to roles or attributes; and
 (d) Revoke access when privileged role or attribute assignments are no longer appropriate.",Contributes,"VMware Cloud Foundation natively supports role-based access control (RBAC) for managing access to its management plane components, including vCenter Server, NSX-T Data Center, and SDDC Manager. It integrates with enterprise identity providers such as Active Directory and LDAP to establish and administer privileged user accounts based on defined roles.

The platform records audit trails for all changes to user accounts, role assignments, and modifications to role definitions, providing the necessary evidence for monitoring privileged role assignments and changes.

The organization is responsible for defining the specific role-based or attribute-based access scheme, establishing the policies for monitoring assignments and changes, and determining when privileged role or attribute assignments are no longer appropriate for revocation. While the platform provides the technical mechanisms to revoke access, the decision and associated processes are external to the platform's automated functions."
AC-2(9),IAC-15.5,"Account Management | Restrictions on Use of Shared and Group Accounts
Only permit the use of shared and group accounts that meet [Assignment: organization-defined conditions for establishing shared and group accounts].",Contributes,"VCF provides robust identity and access management capabilities, integrating seamlessly with enterprise identity providers such as Active Directory and LDAP. This integration allows for centralized management of user and group accounts, enabling the enforcement of organizational policies regarding account usage. Role-based access control (RBAC) is a fundamental component across all VCF services, ensuring that permissions are assigned and enforced based on defined roles and group memberships. This framework facilitates the technical restriction of shared and group accounts by leveraging established enterprise identity structures and VCF's granular permission model.

The organization is responsible for defining the specific conditions and policies governing the establishment and use of shared and group accounts. This includes establishing the criteria for their creation, usage, and lifecycle management. VCF provides the technical mechanisms to integrate with and enforce these organizational policies, but it does not define the policies themselves. The customer must ensure that their identity provider configurations and VCF's RBAC assignments are configured to align with their established conditions for shared and group account usage."
AC-2(11),IAC-15.8,"Account Management | Usage Conditions
Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined system accounts].",Contributes,"VCF provides comprehensive capabilities to enforce usage conditions for system accounts. Through integration with enterprise identity providers such as Active Directory, LDAP, or Workspace ONE Access, VCF leverages advanced authentication policies. These policies can dictate access based on factors like network location, time of day, or require multi-factor authentication for specific system accounts or actions.

Role-Based Access Control (RBAC) is intrinsically enforced across all VCF components, including vCenter Server, NSX, and SDDC Manager, ensuring that authenticated system accounts can only perform actions explicitly permitted by their assigned roles.

Furthermore, VCF components enforce configurable session timeouts, restricting the duration of active sessions for all accounts.

The organization is responsible for defining the specific usage conditions and circumstances that must be enforced, as well as identifying the precise system accounts to which these conditions apply. This includes establishing the policies within the integrated identity provider and configuring the appropriate RBAC roles and assignments within the VCF environment to align with the defined organizational requirements."
