Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
A1.1,"The entity maintains, monitors, and evaluates current processing capacity and use of system com- ponents (infrastructure, data, and software) to manage capacity demand and to enable the imple- mentation of additional capacity to help meet its objectives.","CAP-01, CAP-02","automation-9.operation-limits, nsx-9.api-rate-limits, vcenter-9.drs, vcenter-9.network-nioc, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.limit-setinfo-size, vsan-9.automatic-rebalance, vsan-9.operations-reserve"
A1.2,"The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastruc- ture to meet its objectives.","BCD-11, BCD-11.4, BCD-12.2","nsx-9.backup, nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.native-key-provider-backup, vcenter-9.service-resilience-ha"
C1.2,The entity disposes of confidential information to meet the entity’s objectives related to confidenti- ality.,MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
CC1.1,COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.,TPM-03,vcenter-9.administration-client-plugins
CC2.2,"COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.",CHG-02,vsan-9.auto-policy-management
CC3.2,COSO Principle 7: The entity identifies risks to the achievement of its objectives across the enti- ty and analyzes risks as a basis for determining how the risks should be managed.,TPM-03,vcenter-9.administration-client-plugins
CC3.3,COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achievement of objectives.,TPM-04,vcenter-9.administration-client-plugins
CC3.4,COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control.,CHG-02,vsan-9.auto-policy-management
CC4.2,"COSO Principle 17: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior man- agement and the board of directors, as appropriate.",VPM-04,esx-9.supported
CC5.2,COSO Principle 11: The entity also selects and develops general control activities over technol- ogy to support the achievement of objectives.,"CFG-03, IAC-21","automation-9.activity-log, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.permissions-roles, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
