SCG ID,Product,Product Version,Component,Component Version,Feature/Function,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example,Audited in SCG Tools?,Remediated in SCG Tools?,DISA STIG Mapping,DISA STIG Requirement,DISA STIG Control Exceeds Baseline?,PCI DSS 4.0 Mapping,PCI DSS 4.0 Requirement,PCI DSS 4.0 Control Exceeds Baseline?,VCF Compatible,,,,,,,
esxi-8.account-auto-unlock-time,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must unlock accounts after a specified timeout period.,"Ensures that user accounts on the ESXi host are automatically unlocked after a defined period of inactivity. By enforcing automatic account unlocking, organizations can maintain a balance between security and usability, ensuring that idle accounts are reactivated promptly while minimizing the potential for unauthorized access.",Security.AccountUnlockTime,900,900,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountUnlockTime,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900,TRUE,TRUE,ESXI-80-000111,900,NO,8.3.4,30 minutes,NO,TRUE,,,,,,,
esxi-8.account-dcui,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must deny shell access for the dcui account.,The dcui user is used for process isolation for the DCUI itself. The account has shell access which can be deactivated to reduce attack surface.,N/A,true,false,NO,Modify,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.account.list.Invoke() | Where-Object { $_.UserID -eq 'dcui' } | Select-Object -ExpandProperty Shellaccess","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.account.set.CreateArgs()
$arguments.id = ""dcui""
$arguments.shellaccess = ""false""
$ESXcli.system.account.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000249,false,NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.account-lockout,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must lock an account after a specified number of failed login attempts.,"Protects against brute-force attacks and unauthorized access attempts by temporarily disabling the affected account, preventing further login attempts until the lockout period expires or is manually reset by an administrator.",Security.AccountLockFailures,5,5,YES,Audit,"ESXi Advanced
System Settings","A low threshold for login failures can create an avenue for denial-of-service attacks, whether intentional or unintentional, such as with SSH connection retries.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountLockFailures,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5,TRUE,TRUE,ESXI-80-000005,3,YES,8.3.4,10 attempts,NO,TRUE,,,,,,,
esxi-8.account-password-history,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,Configure the password history setting to restrict the reuse of passwords on the ESXi host.,"Prevent the reuse of previous passwords, thus mitigating potential breaches from old, compromised credentials.",Security.PasswordHistory,5,5,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordHistory,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5,TRUE,TRUE,ESXI-80-000043,5,NO,8.3.7,4,NO,TRUE,,,,,,,
esxi-8.account-password-max-days,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must be configured with an appropriate maximum password age.,"Modern best practices for passwords, as outlined in NIST 800-63B Section 5.1.1.2 and other relevant guidance, state that enforcing periodic password changes does not enhance security when passwords already possess adequate entropy.",Security.PasswordMaxDays,9999,9999,YES,Audit,"ESXi Advanced
System Settings",vSphere UIs may not permit this to be set without providing an email address for an alert. Use PowerCLI or provide an email address (to receive email you will need to configure an SMTP server in vCenter Server),Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordMaxDays,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordMaxDays | Set-AdvancedSetting -Value 9999,TRUE,TRUE,ESXI-80-000227,90,YES,8.3.9,90 days,YES,TRUE,,,,,,,
esxi-8.account-password-policies,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXI host must enforce password complexity.,"Based on recommendations such as NIST 800-63B Section 5.1.1.2, it is suggested that composition rules, such as mandating mixtures of character classes, should not be enforced on systems as they often fail to enhance password security and discourage the adoption of more secure passphrases.

Password strength and complexity rules are applicable to all ESXi users, including the root user. However, when the ESX host is joined to a domain, these rules do not apply to Active Directory (AD) users as password policies for AD users are enforced by the AD system.",Security.PasswordQualityControl,"""retry=3 min=disabled,disabled,disabled,7,7""","""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15 max=64""",NO,Modify,"ESXi Advanced
System Settings",Other products and services within the VMware ecosystem may not expect changes to password complexity requirements and may fail installation.,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordQualityControl,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordQualityControl | Set-AdvancedSetting -Value ""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15 max=64""",TRUE,TRUE,"ESXI-80-000035
ESXI-80-000044","""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15""",NO,"8.3.1
8.3.6","""similar=deny retry=3 min=disabled,disabled,disabled,disabled,12 max=64""",NO,TRUE,,,,,,,
esxi-8.account-vpxuser,VMware vSphere,8,VMware ESXi,8.0.3,Base,Advanced,The ESXi host must deny shell access for the vpxuser account.,"The vpxuser account is created by vCenter Server when the host is first attached, and is subseqently used for privileged authentication to ESXi. While the password is automatically rotated by vCenter Server on an interval governed by VirtualCenter.VimPasswordExpirationInDays, it also has shell access which can be deactivated to reduce attack surface.

Users who do not have shell access cannot reconfigure other users' shell access, no matter their privilege levels. Since vCenter Server connects as vpxuser, once vpxuser has been stripped of shell access it will no longer be able to change those user settings for others. Further reconfiguration will need to happen on a host-by-host basis using an account that is authorized.

For security, ESXi 8 no longer supports traditional password or account recovery operations, such as booting from media or changing init to a shell on boot.

Ensure that the host retains at least one fully privileged user, protected well.",N/A,true,false,NO,Modify,esxcli,"Users who do not have shell access cannot reconfigure other users' shell access, no matter their privilege levels. Since vCenter Server connects as vpxuser, once vpxuser has been stripped of shell access it will no longer be able to change those user settings for others. Further reconfiguration will need to happen on a host-by-host basis using an account that is authorized.

For security, ESXi 8 no longer supports traditional password or account recovery operations, such as booting from media or changing the boot shell.

Ensure that the host retains at least one fully privileged user, protected well.","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.account.list.Invoke() | Where-Object { $_.UserID -eq 'vpxuser' } | Select-Object -ExpandProperty Shellaccess","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.account.set.CreateArgs()
$arguments.id = ""vpxuser""
$arguments.shellaccess = ""false""
$ESXcli.system.account.set.Invoke($arguments)",FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,,,,,,,
esxi-8.ad-auth-proxy,VMware vSphere,8,VMware ESXi,8.0.3,Active Directory,"P0
Upon Feature Enablement",The vCenter Server must use the vSphere Authentication Proxy to avoid storing Active Directory credentials.,"The vSphere Authentication Proxy enables vCenter to connect to and manage AD entities without the need to directly store AD credentials, which reduces the risk of credential exposure or misuse.",N/A,Not Configured,Configured If Feature In Use,NO,Modify,ESXi Authentication Settings,None,"Get-VMHost -Name $ESXi | Get-VMHostAuthentication | Select-Object VMHost,Domain,DomainMembershipStatus",N/A,TRUE,TRUE,ESXI-80-000240,Configured If Feature In Use,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.annotations-welcomemessage,VMware vSphere,8,VMware ESXi,8.0.3,Base,P1,Configure the ESXi host login banner for the DCUI and Host Client.,"ESXi enables the display of a login message often used to deter intruders by declaring their activities as illegal, and to inform authorized users of their responsibilities and conditions for system use. While not a direct technical security control, this has positive implications for enforcement and prosecution if attackers are caught. This parameter defines the text displayed on both the Host Client login page and DCUI.",Annotations.WelcomeMessage,Undefined,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,"ESXi Advanced
System Settings","Masks the ""F2/F12"" and IP address information on the DCUI, which can be a benefit, but may also require documentation and/or training.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Annotations.WelcomeMessage,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Annotations.WelcomeMessage | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",TRUE,TRUE,"ESXI-80-000006
ESXI-80-000007","{bgcolor:black} {/color}{align:left}{bgcolor:black}{color:yellow}{hostname} , {ip}{/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:black}{color:yellow}{esxproduct} {esxversion}{/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:black}{color:yellow}{memory} RAM{/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:black}{color:white}	{/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By      {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  using this IS (which includes any device attached to this IS), you consent to the following conditions:                 {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  -       The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited     {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law      {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          enforcement (LE), and counterintelligence (CI) investigations.                                                  {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  -       At any time, the USG may inspect and seize data stored on this IS.                                              {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  -       Communications using, or data stored on, this IS are not private, are subject to routine monitoring,            {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          interception, and search, and may be disclosed or used for any USG-authorized purpose.                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  -       This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not     {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          for your personal benefit or privacy.                                                                           {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}  -       Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching    {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          or monitoring of the content of privileged communications, or work product, related to personal representation  {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work       {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}          product are private and confidential. See User Agreement for details.                                           {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{align:left}{bgcolor:yellow}{color:black}                                                                                                                          {/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}
{bgcolor:black} {/color}{align:left}{bgcolor:dark-grey}{color:white}  <F2> Accept Conditions and Customize System / View Logs{/align}{align:right}<F12> Accept Conditions and Shut Down/Restart  {bgcolor:black} {/color}{/color}{/bgcolor}{/align}
{bgcolor:black} {/color}{bgcolor:dark-grey}{color:black}                                                                                                                          {/color}{/bgcolor}",YES,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.api-soap-timeout,VMware vSphere,8,VMware ESXi,8.0.3,Base,P1,The ESXi host must configure a session timeout for the vSphere API.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",Config.HostAgent.vmacore.soap.sessionTimeout,30,10,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 10,TRUE,TRUE,ESXI-80-000226,30,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
