ID,Category,Component,Component Display,Username / Identity,UID,Type,Tier,Purpose,Security Methods,Integrity Checks,Privileged Modifier Accounts,Privileged Modifier Controls,Access Methods,Authentication Mechanisms,Operations,Objects Controlled,Privilege Notes,Auth Log Path,Auth Log Signatures,Credential Modification Log Path,Anomaly Detection Method,SIEM auditID Filter Set,Vault-Integrated
AVI-APP-001,Account,avi,Avi Load Balancer,vcf-service-account,N/A,InterComponent,2,VCF platform service account used by the NSX-ALB EAS (Edge Automation Service) Kubernetes operator to authenticate with VCF Automation when enabling CCI (Container-based Cloud Infrastructure). Connects AVI/NSX-ALB load balancer provisioning to the VCF Automation platform plane.,"Bearer token / API key injected via Kubernetes Secret at operator deployment.; Credential not hardcoded in source, referenced as runtime config.",K8s Secret lifecycle manages credential rotation.,Kubernetes cluster-admin.,Rotate by updating the K8s Secret containing the credential.,"AVI-EAS operator pod, internal Kubernetes workload.",Bearer token (VCF Automation API).,VCF Automation API calls for AVI/NSX-ALB load balancer CCI integration.,VCF Automation API (AVI load balancer lifecycle).,Scope limited to AVI-EAS integration endpoints.,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",No (platform-managed)
AVI-APP-002,Account,avi,Avi Load Balancer,admin,N/A,Application,1,"Primary application-level and OS administrative account for NSX Advanced Load Balancer (AVI / NSX ALB). Used for AVI Controller UI access, API configuration, and appliance management. Managed by SDDC Manager and VCF Operations Fleet Management in VCF 9.1.",Password managed by both SDDC Manager (PATCH /v1/credentials) and VCF Operations Fleet Management.; CyberArk vault integration supported.; Rotation via AVI POST /api/user-password/update + VCF Ops.,VCF Operations monitors status.; SDDC Manager tracks credential metadata.,"VCF Operations admin, SDDC Manager admin.",Password rotation via VCF Operations API and AVI native API (POST /api/user-password/update).,AVI Controller UI (HTTPS port 443).; AVI REST API (HTTPS port 443).; Appliance OS SSH (port 22).,Password auth via AVI Controller.; Bearer token for API access.,"Full AVI Controller application and OS administrative control.; Virtual service, pool, and certificate management.; Controller cluster configuration.",AVI virtual services and pool configurations.; SSL/TLS certificates.; Controller cluster nodes.,"Tier 1 Partial, admin (Application+OS combined account) is in VCF 9.1 GA vault integration scope.",,,VCF Operations audit log + AVI GET /api/user audit,Monitor AVI audit log for unexpected configuration changes or API calls.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",Yes
AVI-SVC-001,Account,avi,Avi Load Balancer,svc-<alb-short>-<vcenter-vm>@<sso-domain>,N/A,InterComponent,2,"Inter-component service account created by vCenter Server (via SDDC Manager) for AVI/NSX-ALB to vCenter Server integration. Enables AVI Controller to manage vSphere resources (VMs, networks) for load balancer provisioning. OAuth migration planned for a future release.",Username/password credentials in VCF 9.1; managed by SDDC Manager credential lifecycle. OAuth 2.0 migration planned for a future release.,SDDC Manager tracks credential state.; Account name follows deterministic pattern: svc-<alb-short>-<vcenter-vm>@<sso-domain>.,"SDDC Manager, vCenter administrator.",SDDC Manager manages lifecycle; credential rotation tied to SDDC Manager orchestration.,"Internal, AVI Controller to vCenter Server API (HTTPS port 443).",Username/password (token-based in a future release).,"AVI Controller to vCenter: read VM/network inventory, create/delete VMs for service engines.",vCenter VMs and networks for AVI service engines.,Tier 2 inter-component. Not externally accessible. OAuth migration planned for a future release.,,,SDDC Manager audit log + vCenter audit,Monitor for unexpected vCenter operations (VM create/delete) by this service account.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",No (platform-managed)
AVI-SVC-002,Account,avi,Avi Load Balancer,svc-<alb-hostname>-<nsx-hostname>,N/A,InterComponent,2,Inter-component service account created by SDDC Manager for AVI/NSX-ALB to NSX Manager integration. Enables AVI Controller to program NSX overlay network segments and security groups for load balancer data plane connectivity.,Username/password credentials in VCF 9.1; managed by SDDC Manager credential lifecycle.,SDDC Manager tracks credential state.; Account name follows deterministic pattern: svc-<alb-hostname>-<nsx-hostname>.,SDDC Manager.,SDDC Manager manages lifecycle.,"Internal, AVI Controller to NSX Manager API (HTTPS port 443).",Username/password.,"AVI Controller to NSX: program overlay segments, security groups for load balancer data path.",NSX overlay segments and security groups.,Tier 2 inter-component. Not externally accessible.,,,SDDC Manager audit log + NSX audit,Monitor for unexpected NSX segment/group modifications by this service account.,"Not yet in VCF 9.1 audit standardization scope, monitor via component-native logs",No (platform-managed)
ESXI-OS-001,Account,esxi,VMware ESX,root,0,OS,1,"Primary OS administrative account for the ESXi hypervisor. Used by SDDC Manager and VCF Operations for automated lifecycle management (upgrades, patches, host commissioning). Also used for direct SSH access by administrators.",Password managed by VCF Operations Fleet Management Engine (stateless passthrough).; CyberArk vault integration supported in VCF 9.1.; Password rotation enforced via SDDC Manager (manual) or VCF Operations (automated).,"VCF Operations monitors account status via non-sensitive lifecycle metadata: ACTIVE, EXPIRING, EXPIRED, UNKNOWN.; SDDC Manager stores a reference copy; disconnection (DISCONNECTED status) detected when local password drifts from stored value.; Fleet Password Policy compliance state tracked: COMPLIANT, NON_COMPLIANT, FAILED.","Any account with root SSH access to ESXi, users with ESXi DCUI access, SDDC Manager service account (svc-vcf-ESX-hostname), VCF Operations fleet management API (admin).",VCF Operations admin account can trigger password rotation via Fleet Management API. CyberArk vault administrator can modify vault-managed credentials. Administrators must NOT modify root password locally (bypassing VCF Operations) as this breaks SDDC Manager orchestration (causes HTTP 401 during lifecycle operations).,"SSH (port 22), requires direct network access to ESXi management network.; ESXi DCUI (Direct Console User Interface), physical or IPMI/iDRAC console.; VCF Operations Fleet Management API, programmatic password update/query only.",Password authentication (managed by VCF Operations / CyberArk).; SSH key authentication (if configured by administrator).; VCF Operations API uses opstoken or Bearer token for API authentication; root password itself is passed securely to ESXi via Fleet Management passthrough.,"Full ESXi hypervisor administrative control.; Virtual machine configuration and lifecycle management.; Network adapter and vSwitch configuration.; Storage adapter and datastore management.; Host-level security configuration (firewall, lockdown mode).; Service (hostd, vpxa, etc.) start/stop/restart.; Certificate management.","All ESXi file system paths (/, /etc, /var, /vmfs).; VMX and VMDK configuration files.; ESXi configuration files (/etc/vmware/hostd/config.xml).; All running VMs on the host.; Physical network adapters (vmnic).; Storage HBAs and iSCSI initiators.",,/var/log/auth.log,Accepted password for root; Failed password for root,/var/log/auth.log,Monitor for authentication failures and logins from unexpected source IPs.,ssh.connect; ssh.session.begin; ssh.session.end; dcui.login; dcui.logout; vim.connect; vim.disconnect; service.access.denied; mfa.enable; mfa.disable; account.changepassword; account.create; account.locked; authentication.login; authentication.logout,Yes
GLCM-SAL-INV-001,Account,glcm-salt,GLCM / SaltStack / MOPS,svc-fleetlcm-k8s-sa,N/A,K8s-ServiceAccount,3,"Used by Fleet LCM build service + upgrade service pods to connect to K8s API server (pod scheduling, config, secrets)",Credential stored in: K8s RBAC token (auto-mounted),,,,Accessed by: Fleet LCM build service + upgrade service pods,K8s RBAC token (auto-mounted),"Unknown, RoleBinding target not found in this repo","Connects to: K8s API server (pod scheduling, config, secrets)",,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-002,Account,glcm-salt,GLCM / SaltStack / MOPS,svc-sddclcm-k8s-sa,N/A,K8s-ServiceAccount,3,Used by SDDC LCM build service + upgrade service pods to connect to K8s API server,Credential stored in: K8s RBAC token (auto-mounted),,,,Accessed by: SDDC LCM build service + upgrade service pods,K8s RBAC token (auto-mounted),"Unknown, RoleBinding target not found in this repo",Connects to: K8s API server,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-003,Account,glcm-salt,GLCM / SaltStack / MOPS,depot-service-service-account,N/A,K8s-ServiceAccount,3,"Used by Depot service pods to connect to K8s API (secrets for depot credentials, configmaps)",Credential stored in: K8s RBAC token,,,,Accessed by: Depot service pods,K8s RBAC token,Defined in depot-service-config/charts/.../rbac/,"Connects to: K8s API (secrets for depot credentials, configmaps)",,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-004,Account,glcm-salt,GLCM / SaltStack / MOPS,distribution-service-service-account,N/A,K8s-ServiceAccount,3,Used by Distribution service pods to connect to K8s API,Credential stored in: K8s RBAC token,,,,Accessed by: Distribution service pods,K8s RBAC token,Defined in distribution-service/templates/rbac/,Connects to: K8s API,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-005,Account,glcm-salt,GLCM / SaltStack / MOPS,lcm-depot-auth,N/A,Application,2,Used by LCM depot authentication module to connect to eapi.broadcom.com/downloads/generateArtifactToken,Credential stored in: Spring @Value from ConfigMap/Secret,,,,Accessed by: LCM depot authentication module,Spring @Value from ConfigMap/Secret,Download token generation,Connects to: eapi.broadcom.com/downloads/generateArtifactToken,,Component-specific application log,,,Monitor application logs for authentication failures and unauthorized access.,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
