Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
CR 1.1,"Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys.",IAC-02,vcf-9.mfa
CR 1.2,"Software process and device identification and authentication: Capability to identify and authenticate all software processes and devices.

Unique identification and authentication: Capability to uniquely identify and authenticate all software processes and devices.",IAC-04,"esx-9.iscsi-mutual-chap, vsan-9.iscsi-mutual-chap"
CR 1.2(1),"Software process and device identification and authentication: Capability to identify and authenticate all software processes and devices.

Unique identification and authentication: Capability to uniquely identify and authenticate all software processes and devices.",IAC-04,"esx-9.iscsi-mutual-chap, vsan-9.iscsi-mutual-chap"
CR 1.5,"Authenticator management: Support the management of authenticators (passwords, tokens, keys) used by the component.

Hardware security for authenticators: Capability to protect authenticators using hardware mechanisms (e.g., TPM).

Authenticator management enhancement: Additional requirements for secure authenticator storage.",IAC-10,"automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable"
CR 1.5(a),Sub-item (a) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.,IAC-10.8,"esx-9.ad-admin-group-name, esx-9.hardware-management-security, sddc-9.api-admin"
CR 1.5(b),Sub-item (b) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.,IAC-10.8,"esx-9.ad-admin-group-name, esx-9.hardware-management-security, sddc-9.api-admin"
CR 1.5(c),Sub-item (c) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.,IAC-10.1,"esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
CR 1.7,"Password strength enhancement: Capability to enforce specific password complexity rules.

Strength of password-based authentication: Enforce configurable password strength requirements.",IAC-10.1,"esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
CR 1.7(1),"Password strength enhancement: Capability to enforce specific password complexity rules.

Strength of password-based authentication: Enforce configurable password strength requirements.",IAC-10.1,"esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
CR 1.7(2),Requirement enhancement (2) of CR 1.7 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.7 requirement in the standard.,IAC-10.1,"esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
