Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
AIS-02,"Establish, document and maintain baseline requirements for securing applications.","CFG-02, CFG-02.7, CFG-03, CFG-03.1","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.inactive-interfaces, nsx-9.multicast-disable, nsx-9.routing-protocols-unused, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-inactive-interfaces, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
BCR-03,"Establish strategies to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions.","BCD-02.2, BCD-11.7, BCD-12.2","nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.drs, vcenter-9.service-resilience-evc, vcenter-9.service-resilience-ha, vcenter-9.service-resilience-vmotion, vsan-9.auto-raid"
BCR-08,"Periodically perform backups. Ensure the confidentiality, integrity and availability of the backup, and verify restoration from backup for resiliency.","BCD-11, BCD-11.4","nsx-9.backup, vcenter-9.native-key-provider-backup"
BCR-11,Supplement business-critical equipment with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards.,"BCD-11.7, BCD-12.2","nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.service-resilience-ha"
CCC-02,"Establish, maintain and implement a defined quality change control, approval and testing process incorporating baselines, testing, and release standards.",CHG-02,vsan-9.auto-policy-management
CCC-03,"Implement a change management procedure to manage the risks associated with applying changes to assets, owned, controlled or used by the organization.",CHG-02,vsan-9.auto-policy-management
CCC-04,"Implement and enforce a procedure to authorize the addition, removal, update, and management of assets that are owned, controlled or used by the organization.",CHG-04,"esx-9.hardware-management-config-lock, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vsan-9.managed-disk-claim"
CCC-05,Include provisions limiting changes directly impacting service customers owned environments (tenants) to explicitly authorized requests within service level agreements.,CHG-02,vsan-9.auto-policy-management
CCC-06,"Establish, document and implement change management and configuration baselines for all relevant authorized changes on organization assets. Review and update the baselines at least annually or upon significant changes.",CFG-02,vcf-9.secure-baseline
CCC-08,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process.",CFG-02.7,vcf-9.secure-baseline
CCC-09,Define and implement a process to proactively roll back changes to a previous known good state in case of errors or security concerns.,CHG-02,vsan-9.auto-policy-management
CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management. Review and update the policies and procedures at least annually, or upon significant changes.",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-02,"Define and implement cryptographic, encryption and key management roles and responsibilities.",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-03,"Provide data protection at-rest, in-transit, and where applicable, in-use by using cryptographic libraries certified to approved standards.","CRY-01, CRY-03, CRY-05","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.memory-tiering-encryption, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.tpm-configuration, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-rest, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
CEK-04,"Utilize encryption algorithms following industry standards for protecting data, based on the data classification and associated risks.",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-05,"Establish a standard change management procedure, to accommodate changes from internal and external sources, for review, approval, implementation and communication of cryptographic, encryption and key management technology changes.",CHG-02,vsan-9.auto-policy-management
CEK-08,Service providers must provide the capability for service customers to manage their own data encryption keys.,CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-10,Generate Cryptographic keys using industry accepted cryptographic libraries specifying the algorithm strength and the random number generator used.,CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-11,Manage cryptographic secret and private keys that are provisioned for a unique purpose.,CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod, which includes provisions for considering the risk of information disclosure and legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-13,"Define, implement and evaluate processes, procedures and technical measures to revoke and remove cryptographic keys prior to the end of its established cryptoperiod, when a key is compromised, or an entity is no longer part of the organization, which include provisions for legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-14,"Define, implement, and evaluate processes, procedures, and technical measures to securely destroy cryptographic keys when they are no longer needed, which include provisions for legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-15,"Define, implement and evaluate processes, procedures and technical measures to create keys in a pre-activated state when they have been generated but not authorized for use, which include provisions for legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-16,"Define, implement and evaluate processes, procedures and technical measures to monitor, review and approve key transitions from any state to/from suspension, which include provisions for legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-17,"Define, implement and evaluate processes, procedures and technical measures to deactivate keys at the time of their expiration date, which include provisions for legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-18,"Define, implement and evaluate processes, procedures and technical measures to manage archived keys in a secure repository requiring least privilege access, which include provisions for legal and regulatory requirements.",CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-19,"Define, implement and evaluate processes, procedures and technical measures to use compromised keys to encrypt information only in controlled circumstance, and thereafter exclusively for decrypting data and never for encrypting data, which include provisions for legal and regulatory requirements.","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-20,"Define, implement and evaluate processes, procedures and technical measures to assess the risk to operational continuity versus the risk of the keying material and the information it protects being exposed if control of the keying material is lost, which include provisions for legal and regulatory requirements.",CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-21,"Define, implement and evaluate processes, procedures and technical measures in order for the key management system to track and report all cryptographic materials and changes in status, which include provisions for legal and regulatory requirements.",CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
DCS-09,Use equipment identification as a method for connection authentication.,IAC-04,"esx-9.iscsi-mutual-chap, vsan-9.iscsi-mutual-chap"
DSP-10,"Define, implement and evaluate processes, procedures and technical measures that ensure any transfer of personal or sensitive data is protected from unauthorized access and only processed within scope as permitted by the respective laws and regulations.","CRY-01, CRY-03","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
DSP-17,"Define and implement, processes, procedures and technical measures to protect sensitive data throughout it's lifecycle.",IAC-20.1,vcenter-9.content-library-authentication
I&S-02,"Plan and monitor the availability, quality, and adequate capacity of resources in order to deliver the required system performance as determined by the business.",CAP-01,"vcenter-9.drs, vsan-9.automatic-rebalance, vsan-9.operations-reserve"
I&S-04,"Harden host and guest OS, hypervisor or infrastructure control plane according to their respective best practices, and supported by technical controls, as part of a security baseline.",CFG-02,vcf-9.secure-baseline
I&S-06,"Design, develop, deploy and configure applications and infrastructures such that service customer (tenant) access is appropriately segmented and segregated, monitored and restricted.",NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
IAM-05,Employ the least privilege principle when implementing information system access.,IAC-21,"esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
IAM-06,"Define and implement an identity access provisioning process which authorizes, records, and communicates access changes to data and assets.",IAC-07,operations-9.non-imported-vidm
IAM-07,De-provision or modify identity access in a timely manner.,IAC-07,operations-9.non-imported-vidm
IAM-08,"Review and revalidate identity access for least privilege and separation of duties with a frequency that is commensurate with organizational risk tolerance, and at least annually or upon significant changes.",IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
IAM-09,"Define, implement and evaluate processes, procedures and technical measures for the segregation of privileged access roles.","IAC-16, IAC-17","esx-9.ad-admin-group-autoadd, esx-9.ad-admin-validate-interval, vcenter-9.bashshelladministrators, vcf-9.permissions-roles"
IAM-10,"Define and implement an access process to ensure privileged access roles and rights are granted for a time limited period, and implement procedures to prevent the accumulation of segregated privileged access.","IAC-16, IAC-17","esx-9.ad-admin-group-autoadd, esx-9.ad-admin-validate-interval, vcenter-9.bashshelladministrators, vcf-9.permissions-roles"
IAM-11,"Define, implement and evaluate processes and procedures for service customers to participate, where applicable, in the granting of access for agreed, high risk (as defined by the organizational risk assessment) privileged access roles.","IAC-16, IAC-17, TPM-03, TPM-04","esx-9.ad-admin-group-autoadd, esx-9.ad-admin-validate-interval, vcenter-9.administration-client-plugins, vcenter-9.bashshelladministrators, vcf-9.permissions-roles"
IAM-13,"Define, implement and evaluate processes, procedures and technical measures for authenticating access to systems, application and data assets, including multifactor authentication for at least privileged user and sensitive data access. Adopt digital certificates or alternatives which achieve an equivalent level of security for system identities.","IAC-02, IAC-04, IAC-10.1, IAC-10.2, IAC-21","esx-9.account-password-history, esx-9.ad-admin-group-autoadd, esx-9.iscsi-mutual-chap, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.log-forwarding-tls-ciphers, esx-9.log-forwarding-tls-x509, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.certificates-validation, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.mfa, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough, vsan-9.iscsi-mutual-chap"
IAM-14,"Define, implement and evaluate processes, procedures and technical measures for the secure management of authentication credentials, including passwords.","IAC-10, IAC-10.1, IAC-10.2","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.log-forwarding-tls-ciphers, esx-9.log-forwarding-tls-x509, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.certificates-validation, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
IAM-15,"Define, implement and evaluate processes, procedures and technical measures to verify access to data and system functions is authorized.","IAC-10, IAC-10.1, IAC-10.4, IAC-10.8","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.ad-admin-group-name, esx-9.hardware-management-security, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.api-admin, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
LOG-02,"Define, implement and evaluate processes, procedures and technical measures to ensure the security and retention of audit logs.",MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
LOG-03,Identify and monitor security-related events within applications and the underlying infrastructure. Define and implement a system to generate alerts to responsible stakeholders based on such events and corresponding metrics.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
LOG-04,Restrict audit log access to authorized identities and maintain records of that access.,MON-10,"automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, vcenter-9.events-database-retention, vm-9.log-retention"
LOG-06,Use a reliable time source across all relevant information processing systems.,SEA-20,"esx-9.hardware-management-time, esx-9.time, fleet-9.time, pnr-9.time, vcenter-9.time"
LOG-09,Generate audit records containing relevant security information.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
LOG-10,"Protect audit records from unauthorized access, modification, and deletion.",MON-08,"esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.logs-authenticated-ingestion"
LOG-11,"Establish and maintain a monitoring and internal reporting capability over the operations of cryptographic, encryption and key management policies, processes, procedures, and controls.","CRY-01, CRY-09","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, nsx-9.load-balancer-fips, vcenter-9.snmp3, vsan-9.rekey-interval"
LOG-12,Log and monitor key lifecycle management events to enable auditing and reporting on usage of cryptographic keys.,MON-03,"esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
TVM-08,"Define, implement and evaluate processes, procedures and technical measures based on identified risks to support scheduled and emergency responses to vulnerability identification.",VPM-04,esx-9.supported
TVM-10,"Use a risk-based method for the prioritization and mitigation of threats, leveraging an industry-recognized framework to guide threat decision-making and protection measures.",VPM-04,esx-9.supported
UEM-06,Configure all relevant interactive-use endpoints to require an automatic lock screen.,IAC-24,vm-9.vmrc-lock
UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or applications through the company's change management processes.",CFG-02,vcf-9.secure-baseline
UEM-08,Protect information from unauthorized disclosure on managed endpoint devices with storage encryption.,CRY-05,"esx-9.memory-tiering-encryption, esx-9.tpm-configuration, vsan-9.encryption-rest"
UEM-10,Configure managed endpoints with properly configured software firewalls.,END-05,"esx-9.firewall-restrict-access, vcenter-9.vami-firewall-restrict-access"
