Control ID,SCF ID,Description,Control Coverage,Response
4.1,"GOV-08, GOV-09, CPL-01","The organization shall determine external and internal issues that are relevant to its purpose and that
affect its ability to achieve the intended outcome(s) of its information security management system.

NOTE Determining these issues refers to establishing the external and internal context of the organization
considered in Clause 5.4.1 of ISO 31000:2018[5].",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.2,"GOV-09, AST-01.2","The organization shall determine:
a) interested parties that are relevant to the information security management system;
b) the relevant requirements of these interested parties;
c) which of these requirements will be addressed through the information security management
system.

NOTE The requirements of interested parties can include legal and regulatory requirements and contractual
obligations.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.2(a),"GOV-08, AST-01.2","The organization shall determine:
a) interested parties that are relevant to the information security management system;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.2(b),GOV-09,"The organization shall determine:
b) the relevant requirements of these interested parties;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.2(c),GOV-09,"The organization shall determine:
c) which of these requirements will be addressed through the information security management
system.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.3,"GOV-08, AST-04.1, CPL-01.2","​Determining the scope of the information security management system

The organization shall determine the boundaries and applicability of the information security
management system to establish its scope.

When determining this scope, the organization shall consider:
a) the external and internal issues referred to in 4.1;
b) the requirements referred to in 4.2;
c) interfaces and dependencies between activities performed by the organization, and those that are
performed by other organizations.
The scope shall be available as documented information.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.3(a),CPL-01.2,"The organization shall determine the boundaries and applicability of the information security
management system to establish its scope.

When determining this scope, the organization shall consider:
a) the external and internal issues referred to in 4.1;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.3(b),CPL-01.2,"The organization shall determine the boundaries and applicability of the information security
management system to establish its scope.

When determining this scope, the organization shall consider:
b) the requirements referred to in 4.2;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.3(c),"CLD-06.1, CPL-01.2, TPM-05.4","The organization shall determine the boundaries and applicability of the information security
management system to establish its scope.

When determining this scope, the organization shall consider:
c) interfaces and dependencies between activities performed by the organization, and those that are
performed by other organizations.
The scope shall be available as documented information.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.4,"GOV-01, GOV-01.1","The organization shall establish, implement, maintain and continually improve an information security management system, including the necessary policies and processes, in accordance with the requirements of the ISO 27001 document.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1,"GOV-01, GOV-08","​Leadership and commitment

Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

a) ensuring the information security policy and the information security objectives are established
and are compatible with the strategic direction of the organization;
b) ensuring the integration of the information security management system requirements into the
organization’s processes;
c) ensuring that the resources needed for the information security management system are available;
d) communicating the importance of effective information security management and of conforming
to the information security management system requirements;
e) ensuring that the information security management system achieves its intended outcome(s);
f) directing and supporting persons to contribute to the effectiveness of the information security
management system;
g) promoting continual improvement; and
h) supporting other relevant management roles to demonstrate their leadership as it applies to their
areas of responsibility.

NOTE Reference to “business” in this document can be interpreted broadly to mean those activities that are
core to the purposes of the organization’s existence.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(a),"GOV-01, GOV-02","Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

a) ensuring the information security policy and the information security objectives are established
and are compatible with the strategic direction of the organization;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(b),GOV-01,"Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

b) ensuring the integration of the information security management system requirements into the
organization’s processes;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(c),"GOV-01, PRM-02","Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

c) ensuring that the resources needed for the information security management system are available;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(d),GOV-01,"Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

d) communicating the importance of effective information security management and of conforming
to the information security management system requirements;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(e),"GOV-01, PRM-01","Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

e) ensuring that the information security management system achieves its intended outcome(s);",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(f),"GOV-01, GOV-04","Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

f) directing and supporting persons to contribute to the effectiveness of the information security
management system;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(g),GOV-01,"Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

g) promoting continual improvement; and
h) supporting other relevant management roles to demonstrate their leadership as it applies to their
areas of responsibility.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1(h),"GOV-01, GOV-04","Top management shall demonstrate leadership and commitment with respect to the information
security management system by:

h) supporting other relevant management roles to demonstrate their leadership as it applies to their
areas of responsibility.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
