SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
automation-9.activity-log,Automation,Retain the VCF Automation activity log for the audit window and keep debug output disabled.,P1,"CFG-03, MON-10","C1.2, CC5.2, CC6.1, CC6.7"
automation-9.oidc-settings,Automation,Bound VCF Automation OIDC token lifetimes and keep redirect targets HTTPS-only.,P1,"CRY-03, IAC-10","CC6.1, CC6.7"
automation-9.operation-limits,Automation,Configure operation limits in VCF Automation to bound resource-intensive operations.,P0,CAP-02,A1.1
automation-9.timeouts,Automation,Limit the VCF Automation API token lifetime.,P1,IAC-10,CC6.1
esx-9.account-password-history,ESX,The ESX host must enforce password history for users.,P2,IAC-10.1,CC6.6
esx-9.ad-admin-group-autoadd,ESX,The ESX host must not automatically grant administrative permissions to Active Directory groups.,P2,"IAC-16, IAC-21","CC5.2, CC6.1"
esx-9.ad-admin-group-name,ESX,"The ESX host must not use the default ""ESX Admins"" Active Directory group.",P0,IAC-10.8,CC6.1
esx-9.ad-admin-validate-interval,ESX,The ESX host must not disable validation of users and groups.,P2,IAC-17,"CC6.2, CC6.3"
esx-9.ceip-disable,ESX,Disable the ESX Customer Experience Improvement Program.,P1,CFG-03,"CC5.2, CC6.1, CC6.7"
esx-9.cpu-hyperthread-warning,ESX,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,P2,MON-01.4,CC7.2
esx-9.deactivate-mob,ESX,The ESX Managed Object Browser (MOB) must be disabled.,P2,CFG-03,"CC5.2, CC6.1, CC6.7"
esx-9.deactivate-shell,ESX,The ESX Shell must be disabled.,P2,CFG-03,"CC5.2, CC6.1, CC6.7"
esx-9.disable-accounts-dcui,ESX,The ESX host must disable shell access for the dcui account.,P0,IAC-15.7,CC6.2
esx-9.entropy,ESX,The ESX host must use sufficient entropy for cryptographic operations.,P2,CRY-01,"CC6.1, CC6.6, CC6.7"
esx-9.firewall-incoming-default,ESX,The ESX host must configure the firewall to block network traffic by default.,P2,NET-04.1,"CC6.6, CC6.7"
esx-9.firewall-restrict-access,ESX,Configure the ESX host firewall to only allow traffic from authorized networks.,P0,NET-04.1,"CC6.6, CC6.7"
esx-9.forensic-snapshots,ESX,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,P2,CFG-03,"CC5.2, CC6.1, CC6.7"
esx-9.hardware-boot-order,ESX,Restrict the server firmware boot order to authorized boot devices.,P1,DCH-12,CC6.7
esx-9.hardware-cpu-amd-cc,ESX,"Enable AMD SEV-ES and SEV-SNP in system firmware where available, and size the SEV ASID pool appropriately.",P1,CRY-01,"CC6.1, CC6.6, CC6.7"
esx-9.hardware-cpu-intel-cc,ESX,Enable Intel SGX and TDX in system firmware where available.,P1,CRY-01,"CC6.1, CC6.6, CC6.7"
esx-9.hardware-firmware-updates,ESX,"Ensure all system and device firmware is auditable, authentic, and up to date.",P0,VPM-05,CC8.1
esx-9.hardware-management-config-lock,ESX,Lock the hardware management controller configuration after provisioning.,P1,CHG-04,CC8.1
esx-9.hardware-management-log-forwarding,ESX,Forward hardware management controller logs to a central log server.,P0,MON-02,"CC7.2, CC7.3"
esx-9.hardware-management-security,ESX,Harden integrated hardware management controllers.,P0,"CFG-03, IAC-10.8","CC5.2, CC6.1, CC6.7"
esx-9.hardware-ports,ESX,Disable or physically protect unused external server ports.,P1,CFG-03,"CC5.2, CC6.1, CC6.7"
esx-9.hardware-tpm,ESX,Install and enable a TPM 2.0 on each ESX host.,P0,CRY-09,CC6.1
esx-9.hardware-virtual-nic,ESX,The ESX host must not enable virtual hardware management network interfaces.,P0,CFG-03,"CC5.2, CC6.1, CC6.7"
esx-9.iscsi-mutual-chap,ESX,Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"P0, Upon Feature Enablement",IAC-04,CC6.1
esx-9.key-persistence,ESX,Disable Key Persistence on ESX hosts that do not have controlled physical access.,"P2, Upon Feature Enablement",CRY-09,CC6.1
esx-9.lockdown-dcui-access,ESX,Maintain the DCUI.Access list for administrative recovery if Lockdown Mode isolates the host.,P2,IAC-21,"CC5.2, CC6.1"
esx-9.lockdown-exception-users,ESX,Keep the Lockdown Mode Exception Users list to the minimum necessary.,P2,IAC-21,"CC5.2, CC6.1"
esx-9.lockdown-mode,ESX,The ESX host must enable Lockdown Mode.,P0,IAC-20,CC6.1
esx-9.log-audit-forwarding,ESX,The ESX host must transmit audit records to a remote host.,P0,MON-02,"CC7.2, CC7.3"
esx-9.log-audit-local,ESX,The ESX host must enable audit record logging.,P0,MON-03,PI1.4
esx-9.log-audit-local-capacity,ESX,The ESX host must store audit records for a time period consistent with your records retention policy.,P1,MON-10,C1.2
esx-9.log-audit-persistent,ESX,Configure a persistent log location for all locally stored audit records on the ESX host.,P0,"MON-08, MON-10","C1.2, PI1.4, PI1.5"
esx-9.log-filter,ESX,The ESX host must not enable log filtering.,P2,"MON-03, MON-08","PI1.4, PI1.5"
esx-9.log-forwarding,ESX,The ESX host must forward system and audit logs to a remote log collection point.,P0,MON-02,"CC7.2, CC7.3"
esx-9.log-forwarding-tls-ciphers,ESX,The ESX host must verify certificates for TLS remote logging endpoints.,P2,CRY-03,"CC6.1, CC6.7"
esx-9.log-level,ESX,The ESX host must produce audit records containing information to establish what type of events occurred.,P2,MON-03,PI1.4
esx-9.log-persistent,ESX,Configure a persistent log location for all locally stored logs on the ESX host.,P0,"MON-08, MON-10","C1.2, PI1.4, PI1.5"
esx-9.memory-tiering-encryption,ESX,The ESX host should encrypt data written to tiered memory devices.,P0,CRY-05,"CC6.1, CC6.7"
esx-9.network-bpdu,ESX,Enable the Bridge Protocol Data Unit (BPDU) filter on the ESX host.,P2,NET-04,"CC6.1, CC6.6"
