Control ID,SCF ID,Description,Aggregate Coverage,VCF Coverage,VCF Response,VMware vDefend Coverage,VMware vDefend Response,VCF Protection and Recovery Coverage,VCF Protection and Recovery Response,VMware Data Services Manager Coverage,VMware Data Services Manager Response,VMware Avi Load Balancer Coverage,VMware Avi Load Balancer Response
GOVERN 1.0,"AAT-01, GOV-02, OPS-01.1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.1,"AAT-01.1, AST-01.2, CPL-01, CPL-01.2","Legal and regulatory requirements involving AI are understood, managed, and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.2,"AAT-01.2, GOV-02, OPS-01, OPS-01.1, SEA-01, SEA-01.1, TDA-01, TDA-01.1","The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices.",Contributes,Contributes,"VMware Private AI Services (PAIS) contributes to several of the design characteristics this control addresses, including reliability, security, resilience, and data privacy, through infrastructure-level mechanisms that apply to AI workloads deployed on VMware Cloud Foundation (VCF).

Security. PAIS uses VCF SSO for identity and supports role separation across VI administrator, organization administrator, project administrator, DevOps engineer, data scientist, and MLOps engineer functions, with each role scoped to specific namespaces and operations. The Model Gallery is implemented as a Harbor project, and access to model artifacts is restricted to authorized users. Trust bundles establish authenticated HTTPS connections between PAIS components, the identity provider, the registry, and content management systems. GPU resource entitlements are scoped to the GPU-accelerated workload domain so capacity is not shared across domain boundaries.

Reliability and resilience. PAIS workloads run on VCF, which provides vSphere High Availability for automatic VM restart on host failure, the Distributed Resource Scheduler for workload balancing, and vMotion for live migration of GPU-accelerated VMs when the supporting setting is configured. Cluster sizing guidance recommends maintaining unreserved GPU capacity and a dedicated failover host to accommodate planned upgrades and unplanned host failures. The Model Gallery stores ML models as OCI artifacts with immutable manifests and unique content digests, which supports rollback to a known-good model revision if a newly deployed model behaves incorrectly.

Data privacy. PAIS isolates AI workloads in dedicated workload domains that can be deployed separately from the broader VCF environment. Namespace-scoped permissions restrict which users can access specific workloads and data. The Harbor registry replica architecture keeps the GPU-enabled workload domain isolated by proxying container images through a separate Internet-connected registry in a DMZ, with only registry push and pull traffic permitted between the two.

Model integrity and validation. The validate-then-publish workflow requires MLOps engineers to validate ML models against the organization's security, privacy, and technical requirements before uploading them to the Model Gallery. PAIS scans models for serialization attacks before upload, and model integrity is verified through hash comparison of model files. Each revision pushed to the gallery receives a unique digest. Models can be validated for inference functionality and evaluated for performance and safety against business use cases before production deployment.

PAIS does not address the fairness, transparency, or explainability characteristics this control names, because those properties belong to the AI models themselves rather than the infrastructure platform. Organizations must implement separate controls for bias testing, model interpretability, and output explainability at the application layer.",Contributes,"VMware vDefend contributes to centralized management of cybersecurity controls by providing a unified management plane for network security policy across the virtualized data center. vDefend's centralized capabilities span firewall policy, intrusion detection and prevention, malware prevention, and traffic analytics, all managed through a single interface or, for multi-site deployments, through Global Manager.

The vDefend distributed firewall (DFW) allows administrators to define, organize, and enforce microsegmentation policies from a central management plane. Policies are organized into pre-defined categories (Infrastructure, Environment, Application) that provide a logical structure for managing large rule sets. Administrators can create security groups based on VM attributes, IP sets, or dynamic criteria, and apply east-west firewall rules to those groups consistently. When rules are published, they are pushed from the management plane to every host in the targeted clusters, so enforcement is uniform across the environment without requiring per-host configuration. For multi-site or federated deployments, NSX Federation Security provides centralized management of security policies across all sites through Global Manager. Distributed and Gateway Firewall policies created from Global Manager are synchronized to Local Managers at each registered site. Administrators can define custom regions within a federated deployment and assign specific Security and Network policies to those regions, enabling policy scoping at geographic or administrative boundaries.

In 9.1, vDefend extends centralized policy management to VPC-scoped workloads in VCF Automation. Five system-defined security strategies are available for VPC security posture: VPC Isolation, VPC Isolation with essential services, VPC External Connectivity, VPC Secure Connection, and NONE. Project Administrators can select a pre-defined security posture that enforces Secure by Default principles, rather than manually configuring firewall rules for individual VPCs. The Distributed Firewall supports Organizations in VCF Automation for multi-tenant policy isolation, and the Organization Admin (Tenant Admin) role holds full access to manage Transit Gateway firewalls, distributed firewalls, and all VPC gateway firewalls within that tenant context.

Distributed IDS/IPS and Malware Prevention are centrally managed. IDS/IPS profiles and signature sets are configured centrally and distributed to hosts, and Distributed Malware Prevention rules follow the same publish model as firewall policies. In multi-site environments, IDS/IPS signature management is centralized through Global Manager, which distributes updates to multiple Local Managers and supports both automatic update and manual version control.

Security Services Platform provides centralized network security analytics and visibility through Security Intelligence, which analyzes traffic flows across the data center and generates policy recommendations, including recommended security policies and security groups, that administrators can review and publish as Distributed Firewall rules. The platform includes segmentation planning tools that help administrators design and implement microsegmentation strategies from a central vantage point. Security Services Platform also extends centralized policy management to bare metal servers, where security policies are defined, propagated, and enforced through the same centralized model as virtualized workloads.

Role-based access control within vDefend and Security Services Platform governs who can perform security operations. Security Services Platform defines five roles: Enterprise Admin, Auditor, Security Engineer, Security Operator, and Support Bundle Collector, each with differentiated permissions for policy publishing, traffic visualization, and configuration changes. Configuration of Distributed Firewall policies requires explicit DFW Manage/View rights and rights for Groups and Services, so access to centralized policy management is controlled at the permission level.

vDefend's centralized management is scoped to network security controls. Organization-wide centralized management of all cybersecurity and data protection processes, including identity management, compute hardening, compliance tracking, and governance, requires the broader VCF platform and external GRC systems.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.3,"CPL-01.2, GOV-02, GOV-04, GOV-04.1, GOV-04.2, OPS-01, OPS-01.1, RSK-01, RSK-01.1, RSK-01.2, RSK-01.3","Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.4,"GOV-02, OPS-01, OPS-01.1, RSK-01, RSK-01.1, RSK-01.2","The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.5,"CPL-02, CPL-03, CPL-04, GOV-05, RSK-01, RSK-04, RSK-04.1, RSK-08","Ongoing monitoring and periodic review of the risk management process and its outcomes are planned and organizational roles and responsibilities clearly defined, including determining the frequency of periodic review.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.6,"AAT-02, AST-02, BCD-02, DCH-02",Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,Contributes,Contributes,"VCF contributes to asset inventory processes by maintaining a detailed, real-time inventory of technology assets across compute, storage, and networking layers.

VMware vCenter maintains the authoritative inventory of all managed objects in the environment. The vSphere inventory organizes objects in a hierarchical structure beginning at the root folder and extending through datacenters, clusters, hosts, virtual machines, networks, and datastores. Each object carries metadata including configuration details, resource allocations, and operational state. Administrators can extend this metadata by defining custom attributes, which store organization-specific fields against any inventory object in vCenter. Custom attribute values are held centrally by vCenter rather than within the individual objects, allowing teams to annotate VMs, hosts, datastores, and other inventory items with organization-defined information such as ownership, classification, or business justification details. This inventory reflects the live state of the environment as objects are created, modified, or removed. Multiple vCenter instances can be linked for centralized inventory management across workload domains.

Programmatic access to the full inventory is available through the vSphere Web Services API. The Property Collector service uses Property Filter Specifications to identify inventory elements either directly or through object property traversal. The RetrievePropertiesEx method collects properties from inventory objects, allowing external systems and automation scripts to enumerate assets, gather configuration details, and build reports at whatever level of granularity is needed. The SimpleClient sample application demonstrates how to connect to a vCenter instance and obtain a listing of top-level inventory entities along with their properties and references.

VCF Operations extends inventory visibility by retrieving inventory details from each vCenter, including associated clusters, VMware ESX hosts, datastores, and virtual machines. Discovered objects are grouped logically in detailed inventory lists, and the inventory management interface supports sorting, searching, and object tagging to organize assets at scale. Custom object groups are containers that collect data from included objects and report on the data collected, allowing administrators to create dashboards and widgets that display resource information for grouped assets. VCF Operations also applies policies to newly discovered objects, such as objects added to an object group. ResourceAttribute elements define the metrics that appear in the monitoring interface, each identified by a Metric Key, providing continuous visibility into asset utilization, capacity, and health. The vSphere Compute Inventory Dashboard provides interactive views of clusters, hosts, and virtual machines associated with any selected object.

For application-level visibility, the VCF Operations Service Discovery adapter discovers running applications and services along with their CPU and memory metrics. Discovery rules can be defined using object types including metrics, relationships, properties, object names, and tag-based criteria. Discovered applications can be grouped by object type and selected attributes through Application Definition criteria, and the results can be exported in CSV format for use in external asset tracking systems.

VCF Automation adds a consumption-oriented layer to asset tracking. Projects link users, catalog items, and infrastructure resources where deployments are provisioned. The Overview tab displays infrastructure and consumption metrics across the organization. Resources visible in inventory views are scoped by the rights and project roles assigned to each user, providing role-appropriate visibility for audit and review. When catalog items are deployed, they are provisioned against the infrastructure available to the selected project, creating a traceable relationship between the request, the deployment, and the underlying resources. Provider accounts can create and track assets including virtual machines, catalogs, templates, and media. Organizations in VCF Automation support policy-based governance on resource usage, allowing IT teams to monitor resource consumption, control permissions, and provide managed services with network isolation. Each organization maintains a secure boundary from other organizations. Resource quota policies can be defined through the Policies API to limit resources consumed by each user, project, or organization. Day 2 Action policies restrict which users have access to specific lifecycle operations on deployed resources. Tags within VCF Automation express capabilities and constraints that define deployments, and cloud administrators can place constraint tags on projects to exercise governance over resource provisioning, supporting asset classification and controlled placement of workloads across the infrastructure.

For integration with external asset registries, VCF provides multiple paths. The Management Pack for ServiceNow in VCF Operations discovers and synchronizes asset details including CPU count, CPU speed, CPU type, disk space, RAM, serial number, manufacturer, model ID, OS version, IP address, and vCenter reference through the ServiceNow Table API and CMDB Meta API. These properties are marked as required discovery fields, keeping the external CMDB aligned with the actual virtual infrastructure. VCF Operations for Networks supports adding ServiceNow as a CMDB data source to fetch configuration items and their relationships. VCF Automation also integrates with ServiceNow for ITSM and CMDB synchronization, configurable through extensibility action scripts or through VCF Operations Orchestrator Client hosted workflows. The ServiceNow ITSM Plug-in for VCF Automation captures extensive asset metadata, including resource name, operational status, project assignment, storage details, account and region information, endpoint type, zone, environment, and custom properties. The plug-in stores machine resource records in custom ServiceNow CMDB tables that track creation timestamps, deployment IDs, machine IDs, entitled users, and network schema. Deployment records similarly capture blueprint version, project ID, catalog ID, organization ID, operational status, owner, requester, and expiration tracking. The plug-in supports day-2 resource lifecycle actions such as Add Disk, Resize, Power On/Off, Create Snapshot, and Delete, and maintains CMDB accuracy through reconciliation.

Software asset tracking is supported through vSphere Lifecycle Manager, where software depots contain both the payloads and metadata for software updates. VCF Lifecycle Management tracks different versions of software components to help maintain compatibility across the infrastructure. The VCF Operations API includes methods to register associated products with their product name, version, and deployment details, contributing to a software-level view of the environment.

The Consumption layer of VCF extends asset inventory to containerized workloads running on VMware Kubernetes Service (VKS) and vSphere Supervisor. The Kubernetes API server maintains a live registry of every object within a cluster or Supervisor namespace, covering pods, deployments, services, ConfigMaps, Secrets, PersistentVolumeClaims, CustomResourceDefinitions, and other resource types. Every resource carries standard metadata including name, namespace, labels, annotations, creation timestamp, and owning references that administrators can query or export at any level of granularity. Labels and annotations allow teams to attach arbitrary metadata to any Kubernetes resource, such as application name, business unit, or data classification, and these fields are queryable via label selectors, supporting filtered inventory exports by category. Supervisor namespaces map to vCenter namespaces, associating Kubernetes workloads with the organizational units defined during provisioning, and resource quotas and limit ranges attached to each namespace record the allocated capacity and support tracking of resource consumption by application or team.

For workloads that consume specialized hardware such as accelerators or dedicated network devices, the Kubernetes Device Plugin framework provides hardware-level asset visibility within VKS clusters. Administrators or device owners use DeviceClasses to define sets of devices available in the cluster, and workloads claim specific hardware resources by creating ResourceClaims that filter for device parameters declared in a DeviceClass. Monitoring agents for device plugin resources discover which devices are in use on each node and collect metadata that associates each device allocation with the specific container consuming it, extending hardware asset tracking to the workload level.

The Harbor Registry Supervisor Service provides an inventory mechanism for container images and artifacts. Harbor organizes images in a Projects structure by team or application and secures them with policies and role-based access control, allowing administrators to track which container images are authorized for use within the environment. Container images deployed through VCF consumption paths should be scanned, signed, and approved according to organizational software supply chain policies before use; digital certificates and validation mechanisms support supply chain assurance of images and artifacts. Where GitOps practices are in use, the Argo CD Supervisor Service extends this inventory capability by recording application synchronization events with timestamps, capturing the resource group, kind, namespace, name, sync status, and health status of each synchronized resource. Git repositories serve as the single source of truth for desired application and infrastructure state in a GitOps workflow, and infrastructure as code stored in version control creates a durable audit log of every authorized change to that state.

These capabilities give VCF a strong technical foundation for tracking virtual infrastructure assets with accurate, real-time data at multiple levels of granularity. However, the broader requirements of this control, including business justification tracking, organization-defined accountability information, and formal review and audit processes for the full scope of technology assets, applications, services, and data, require organizational policies and processes that operate alongside the platform's inventory capabilities.",Contributes,"VMware vDefend's Security Services Platform (SSP) maintains an inventory of network-visible workloads organized into a hierarchical asset collection spanning regions, zones, environments, applications, and application tiers. The Publish Inventory Assets tab in SSP displays infrastructure asset details including asset names, asset types, IP addresses, and total VM counts for assets sourced from imported CSV files, discovered services, or published infrastructure assets, providing accurate, granular records of network-visible assets.

Platform Inventory monitoring supports ongoing inventory accuracy through several mechanisms. Administrators can filter infrastructure assets by Name and Status, identifying assets that are timed out or out of sync. The inventory hierarchy view shows regions, zones, and VMs so administrators can verify correct definition. SSP Inventory displays assigned tags for each infrastructure asset, and environment rows can be expanded to view tag assignments and confirm hierarchy accuracy. The platform also collects and displays VM tags with their respective scopes, supporting classification and tracking. Published applications and their application types are verifiable in the Inventory > Applications interface.

SSP identifies and publishes application assets, classifying them as either critical or regular applications. Application Asset Collections represent groups of workloads delivering enterprise software functions. Security Intelligence within SSP displays application associations for compute entities, indicating the tiers within each application to which a given compute entity belongs. Administering compute entity classifications in Security Intelligence requires appropriate privileges, supporting access control over classification changes. Consistent naming conventions are recommended when preparing inventory data for import, and the Asset Prefix setting enables standardized naming during segmentation planning and monitoring.

In disconnected mode, usage files include an asset_id field providing a unique asset identifier, supporting asset tracking in environments without continuous connectivity.

vDefend's inventory scope is limited to network-visible workloads and does not replace enterprise-wide TAASD inventory tools, authorized software catalogs with business justification records, or data asset registries required for full AST-02 compliance.",Contributes,"VCF Protection and Recovery (PNR) organizes its protection model around identifying which assets are critical enough to warrant disaster recovery protection. Protection groups are an explicit declaration of critical assets, organizing virtual machines into logical units based on their replication and recovery requirements. Placing a workload in a protection group is a deliberate act of classifying it as essential to business operations.

Inventory mappings document how each protected-site asset (resource pools, folders, networks, datastores) corresponds to recovery-site resources, creating a structured record of the infrastructure that supports critical workloads. Site-wide inventory mappings apply defaults across all protected VMs, while per-VM customizations document specific recovery configurations for workloads with unique requirements.

The Protection and Recovery Configuration Import/Export Tool exports a complete record of the DR asset inventory, including site names, inventory mappings, placeholder datastores, advanced settings, array managers with SRA information, protection groups, and recovery plans. This export provides a structured, portable document of which assets are protected and how they are configured for recovery. The export is produced in XML format, enabling automated processing and retention as a configuration record.

PNR generates and exports reports documenting each run of a recovery plan, each test of a recovery plan, and each test cleanup operation. These reports provide an auditable record of which recovery plans executed and which protected workloads were involved.

PNR tracks site metrics including paired sites, pair names, vCenter addresses, site connectivity status, and counts of protection groups, recovery plans, protected virtual machines, and array managers. VCF Operations collects configuration, component health, and usage information from protection and recovery servers and site pairs, providing consolidated visibility into the DR infrastructure as a class of managed assets.",Contributes,"VMware Data Services Manager (DSM) contributes to asset inventory requirements by providing built-in visibility into the database instances, infrastructure resources, and users it manages. This visibility supports tracking and accountability for the subset of technology assets that DSM governs. Organization-wide TAASD inventory across all asset categories requires organizational processes and additional tooling beyond DSM itself.

DSM tracks the association between deployed databases and the infrastructure policies under which they were provisioned. Administrators can review databases and their configuration details through the Databases tab in the Infrastructure Policies view of the DSM Administrator UI, which displays each policy alongside the databases bound to it. Because infrastructure policies define the compute, storage, and networking resources allocated to databases, including allowed VM classes, this view gives administrators a structured picture of how platform resources are being consumed. The About the DSM UI Views section confirms the Infrastructure Policies view lists all policies available in the environment and the databases associated with each.

DSM administrators can define and configure data service policies for the data services DSM manages, supporting compliance with organizational standards across tenants. Each policy can be tailored to specific requirements and assigned to one or more organizations to enforce consistent configurations. For tenant-facing self-service, the DSM Consumption Operator creates infrastructure policies as cluster-scoped resources in the consumption cluster and requires an allowedInfrastructurePolicies list that defines which policies a tenant cluster may use, giving administrators a clear inventory of the policies in scope per cluster. Tenant users create and consume databases under a Supervisor namespace through the VCF Automation Cloud Consumption Interface (CCI), and the DSM portal exposes a Consumption Operator endpoint that provides access to deployment artifacts.

For database-level visibility, the Database Health view in the DSM UI collects metric data for each database instance and cross-references alerts with resolution paths. DSM deploys a Telegraf agent on the Provider Appliance and a local Telegraf agent on each workload cluster to gather VM-level metrics such as CPU, memory, and disk usage, plus engine-specific metrics. DSM can forward metrics to an external Metrics target server, supporting integration with external monitoring or inventory aggregation systems.

For auditors, DSM's inventory-relevant information is accessible through the Administrator UI and is available to personnel with the Admin role. The Databases tab, Infrastructure Policies view, Database Health view, and Consumption Operator policy inventory collectively provide the granularity needed to account for DSM-managed database assets and the policies governing them. The documented DSM user roles (vSphere administrator, VCF Automation organization administrator, VCF Automation project user) clarify which personnel have visibility into which inventory views.

DSM provides resource tracking and visibility within its own management scope. DSM does not perform organization-wide asset discovery and does not inventory physical infrastructure, non-database applications, or data assets outside its management domain. A TAASD inventory program spanning all asset categories requires a CMDB or dedicated asset management solution that can aggregate DSM resource data alongside information from other platform components.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.7,"AST-09, AST-30, PRM-07, SEA-02.3, TDA-17",Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.,Contributes,Contributes,"VCF provides several capabilities that support secure logical disposal and sanitization of virtual resources, though the physical destruction or secure disposal of hardware remains an organizational responsibility outside VCF's scope.

vSAN data-at-rest encryption uses a two-tier key architecture with Key Encryption Keys (KEK) and Data Encryption Keys (DEK), managed through an external Key Management Server (KMS) or vSphere Native Key Provider. When decommissioning encrypted storage, destroying the encryption keys renders the data unrecoverable without requiring a full disk wipe, a technique known as cryptographic erasure. vSAN also provides an ""Erase disks before use"" option during encryption configuration that wipes existing data from storage devices. For devices being added to or removed from vSAN disk groups, residual data and partition information can be cleaned before the device is reclaimed or released. Administrators can wipe ineligible disks through the vSAN Management API after verifying the partition table and stored data. vSphere provides API methods for cryptographic key lifecycle management, including removeKey and removeKeys operations that delete encryption keys from host caches. These methods support a force parameter for definitive key removal.

VCF Operations includes a Reclamation dashboard and associated settings that help administrators identify virtual resources eligible for cleanup and disposal. The Reclamation Settings interface surfaces powered off VMs, idle VMs, snapshots, and orphaned disks, quantifying the resources that can be reclaimed. The Datastore Capacity Dashboard and ESX Capacity Dashboard both identify three specific reclamation opportunities: powered off VMs, snapshots, and orphaned VMDKs. These dashboards give operations and capacity teams visibility into resources that should be reviewed for secure removal before equipment is repurposed or decommissioned. The Reclamation Report tracks CPUs reclaimed, memory reclaimed, and storage reclaimed across different time periods, providing evidence of resource cleanup activity.

For the actual deletion of virtual resources, VCF Operations provides a DELETE VM(s) capability that removes selected powered off VMs, and a RECLAIM RESOURCES function that allows immediate execution of resource reclamation processes. VCF Automation extends this with a Delete action on Deployments that destroys an entire deployment and deletes all associated resources for reclamation. VCF Automation also supports the creation and deletion of secret reusable properties through its secrets management interface under Administration Secrets, which is relevant when sanitizing credential material before equipment reuse.

VCF Operations can disable virtual disk wiper and disk shrink operations on virtual machines through the isolation.tools.diskWiper.disable setting, which blocks data recovery attempts from within guest operating systems.

Core dump handling is another area where VCF provides disposal-relevant guidance. VMware recommends considering disabling core dumps on VMware vCenter systems to protect sensitive information. Unlike virtual machine core dumps, which are encrypted when VM encryption is active, vCenter core dumps are not encrypted by default; vCenter systems support core dump encryption through the core-dump-encryption setting, and encrypted core dumps can be decrypted or re-encrypted as needed. Core dumps may contain sensitive information such as host keys, and organizations should follow their security and privacy policies to protect this data. When decommissioning or repurposing hosts, addressing core dumps is an important step for reducing the likelihood of information recovery.

VCF also recommends securely deleting decrypted backup files after restore operations for VCF Operations, vCenter, and NSX components.

Auditors should verify that the organization has defined procedures for securely disposing of or repurposing VCF-managed infrastructure. This includes confirming that virtual resources (VMs, snapshots, orphaned disks, secrets) are deleted through VCF's reclamation and deletion tools before physical equipment is removed from service, and that encryption keys are destroyed via cryptographic erasure for storage that held sensitive data. Physical chain-of-custody procedures, media sanitization verification, and equipment tracking through the disposal lifecycle are organizational processes outside the scope of VCF.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 2.0,"AST-01, AST-01.2, GOV-04.1, HRS-03, HRS-04.1, HRS-05.1, HRS-05.4, SAT-01, SAT-03","Accountability structures are in place so that the appropriate teams and individuals are empowered, responsible, and trained for mapping, measuring, and managing AI risks.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 2.1,"AAT-01, AAT-08, GOV-04, GOV-04.1, GOV-04.2, HRS-03","Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",Contributes,Contributes,"VMware Private AI Services (PAIS) supports differentiated roles and responsibilities across the AI workload lifecycle through platform-level access controls layered on the VCF identity model. Platform administrators manage infrastructure setup: they deploy infrastructure, configure GPU-accelerated workload domains, and add the PAIS supervisor service to the supervisor before any AI workloads can be deployed. This role controls the foundational infrastructure on which AI operations depend.

Organization administrators control namespace imports and grant permissions for AI catalog items. The organization administrator token is required for API calls that import namespaces into VCF Automation organizations, centralizing oversight of which AI capabilities are exposed. Organization administrators must grant permissions before users can request AI catalog items, providing a gatekeeping function over AI deployments.

DevOps engineers are scoped to project and namespace membership for provisioning GPU-accelerated VMware Kubernetes Service (VKS) clusters and related infrastructure. Data scientists and MLOps engineers provision models and retrieval-augmented generation (RAG) applications through PAIS. The MLOps role carries specific validation responsibilities: MLOps engineers validate ML models against the security, privacy, and technical requirements of the organization before uploading them to the model gallery, including testing inference functionality and evaluating performance and safety against business use cases.

Access to PAIS is authorized through OIDC groups specified in the authorizedGroups configuration, tying role enforcement to VCF SSO. Namespace-scoped permissions confine each role's actions to assigned boundaries within the platform.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
