Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
DE.AE-03,Information is correlated from multiple sources,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
DE.AE-06,"Information on adverse events is provided to authorized staff and tools

[Withdrawn: Incorporated into DE.AE-06]",MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
DE.CM-01,"Networks and network services are monitored to find potentially adverse events

[Withdrawn: Incorporated into DE.CM-01, DE.CM-09]

[Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]",MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
GV.SC,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders

Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally

Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes

Suppliers are known and prioritized by criticality

Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties

Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships

The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship

Relevant suppliers and other third parties are included in incident planning, response, and recovery activities

Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle

Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement

[Withdrawn: Incorporated into GV.RR-02, GV.SC-02]

[Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]

[Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]

[Withdrawn: Moved to GV.SC-05]

[Withdrawn: Incorporated into GV.SC-07, ID.RA-10]

[Withdrawn: Incorporated into GV.SC-08, ID.IM-02]",TPM-03,vcenter-9.administration-client-plugins
GV.SC-06,"Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships

[Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]","TPM-03, TPM-04",vcenter-9.administration-client-plugins
GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship

[Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]

[Withdrawn: Incorporated into GV.SC-07, ID.RA-10]","TPM-03, TPM-04",vcenter-9.administration-client-plugins
ID.RA-07,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked

[Withdrawn: Incorporated into PR.PS-01, ID.RA-07]","CHG-02, CHG-04","esx-9.hardware-management-config-lock, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vsan-9.auto-policy-management, vsan-9.managed-disk-claim"
ID.RA-09,"The authenticity and integrity of hardware and software are assessed prior to acquisition and use

[Withdrawn: Incorporated into ID.RA-09, DE.CM-09]","AST-18, TDA-01.2","esx-9.hardware-tpm, esx-9.vib-acceptance-level-supported, operations-9.unsigned-pak"
PR.AA,"Identities and credentials for authorized users, services, and hardware are managed by the organization

Identities are proofed and bound to credentials based on the context of interactions

Users, services, and hardware are authenticated

Identity assertions are protected, conveyed, and verified

Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties

Physical access to assets is managed, monitored, and enforced commensurate with risk

[Withdrawn: Incorporated into PR.AA-01, PR.AA-05]

[Withdrawn: Moved to PR.AA-06]

[Withdrawn: Incorporated into PR.AA-03, PR.AA-05, PR.IR-01]

[Withdrawn: Moved to PR.AA-05]

[Withdrawn: Moved to PR.AA-02]

[Withdrawn: Moved to PR.AA-03]

[Withdrawn: Incorporated into PR.AA-06, PR.IR-01]",IAC-01.2,vcenter-9.administration-sso-groups
PR.AA-01,"Identities and credentials for authorized users, services, and hardware are managed by the organization

[Withdrawn: Incorporated into PR.AA-01, PR.AA-05]","IAC-02, IAC-04","esx-9.iscsi-mutual-chap, vcf-9.mfa, vsan-9.iscsi-mutual-chap"
