SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
esx-9.ad-admin-group-autoadd,ESX,The ESX host must not automatically grant administrative permissions to Active Directory groups.,P2,"IAC-16, IAC-21","ML1-P4, ML2-P4, ML3-P4"
esx-9.hardware-firmware-updates,ESX,"Ensure all system and device firmware is auditable, authentic, and up to date.",P0,VPM-05,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
esx-9.hardware-management-log-forwarding,ESX,Forward hardware management controller logs to a central log server.,P0,MON-02.2,"ML2-P3, ML2-P4, ML2-P5, ML2-P7, ML3-P3, ML3-P4, ML3-P5, ML3-P7"
esx-9.lockdown-dcui-access,ESX,Maintain the DCUI.Access list for administrative recovery if Lockdown Mode isolates the host.,P2,IAC-21,"ML1-P4, ML2-P4, ML3-P4"
esx-9.lockdown-exception-users,ESX,Keep the Lockdown Mode Exception Users list to the minimum necessary.,P2,IAC-21,"ML1-P4, ML2-P4, ML3-P4"
esx-9.log-audit-local,ESX,The ESX host must enable audit record logging.,P0,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
esx-9.log-audit-persistent,ESX,Configure a persistent log location for all locally stored audit records on the ESX host.,P0,MON-08,"ML2-P3, ML2-P4, ML2-P5, ML2-P7, ML3-P3, ML3-P4, ML3-P5, ML3-P7"
esx-9.log-filter,ESX,The ESX host must not enable log filtering.,P2,"MON-03, MON-08","ML2-P3, ML2-P4, ML2-P5, ML2-P7, ML3-P3, ML3-P4, ML3-P5, ML3-P7"
esx-9.log-level,ESX,The ESX host must produce audit records containing information to establish what type of events occurred.,P2,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
esx-9.log-persistent,ESX,Configure a persistent log location for all locally stored logs on the ESX host.,P0,MON-08,"ML2-P3, ML2-P4, ML2-P5, ML2-P7, ML3-P3, ML3-P4, ML3-P5, ML3-P7"
