Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
164.308(a)(3)(i),"Standard: Workforce security. Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.","CFG-08, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, operations-9.credential-ownership-enforcement, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
164.308(a)(3)(ii)(B),"Implementation specifications: 
Workforce clearance procedure (Addressable). Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.

",IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
164.308(a)(3)(ii)(C),"Implementation specifications: 
Termination procedures (Addressable). Implement procedures for terminating access to electronic protected health information when the employment of, or other arrangement with, a workforce member ends or as required by determinations made as specified in paragraph (a)(3)(ii)(B) of this section.",IAC-07,operations-9.non-imported-vidm
164.308(a)(7)(ii)(A),"Implementation specifications: 
Data backup plan (Required). Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.",BCD-11,nsx-9.backup
164.308(a)(7)(ii)(C),"Implementation specifications: 
Emergency mode operation plan (Required). Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.",BCD-02.2,"vcenter-9.drs, vcenter-9.service-resilience-evc, vcenter-9.service-resilience-ha, vcenter-9.service-resilience-vmotion, vsan-9.auto-raid"
164.308(b)(1),"Business associate contracts and other arrangements. A covered entity may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a), that the business associate will appropriately safeguard the information. A covered entity is not required to obtain such satisfactory assurances from a business associate that is a subcontractor.\",TPM-04,vcenter-9.administration-client-plugins
164.310(d)(2)(iv),"Implementation specifications: 
Data backup and storage (Addressable). Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",BCD-11,nsx-9.backup
164.312(a)(1),Standard: Access control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,IAC-21,"esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
164.312(a)(2)(i),"Implementation specifications: 
Unique user identification (Required). Assign a unique name and/or number for identifying and tracking user identity.",IAC-02,vcf-9.mfa
164.312(a)(2)(ii),"Implementation specifications: 
Emergency access procedure (Required). Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.",IAC-15.9,sddc-9.api-admin
164.312(a)(2)(iii),"Implementation specifications: 
Automatic logoff (Addressable). Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.","CFG-02, IAC-25","esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout, vcf-9.secure-baseline"
164.312(a)(2)(iv),"Implementation specifications: 
Encryption and decryption (Addressable). Implement a mechanism to encrypt and decrypt electronic protected health information.",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
164.312(b),"Standard: Audit controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.","MON-01.4, MON-03","esx-9.cpu-hyperthread-warning, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, esx-9.shell-warning, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
