Control ID,SCF ID,Description,Control Coverage,Response
GOV-01,GOV-01,Mechanisms exist to facilitate the implementation of cybersecurity and data protection governance controls.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-01.1,GOV-01.1,"Mechanisms exist to coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data protection and business executives, which meets formally and on a regular basis.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-01.2,GOV-01.2,Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization's cybersecurity and data protection program.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-01.3,GOV-01.3,"Mechanisms exist to commit appropriate resources needed for continual improvement of the organization's cybersecurity and data protection program, including:
 (1) Staffing;
 (2) Budget;
 (3) Processes; and
 (4) Technologies.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-02,GOV-02,"Mechanisms exist to establish, maintain and disseminate cybersecurity and data protection policies, standards and procedures.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-02.1,GOV-02.1,"Mechanisms exist to prohibit exceptions to standards, except when the exception has been formally assessed for risk impact, approved and recorded.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-03,GOV-03,"Mechanisms exist to review the cybersecurity and data protection program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-04,GOV-04,"Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity and data protection program.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-04.1,GOV-04.1,"Mechanisms exist to enforce an accountability structure so that appropriate teams and individuals are empowered, responsible and trained for mapping, measuring and managing data and technology-related risks.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-04.2,GOV-04.2,Mechanisms exist to establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing data and technology-related risks.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-05,GOV-05,"Mechanisms exist to develop, report and monitor cybersecurity and data protection program measures of performance.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-05.1,GOV-05.1,"Mechanisms exist to develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the cybersecurity and data protection program.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-05.2,GOV-05.2,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and data protection program.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-06,GOV-06,Mechanisms exist to identify and document appropriate contacts with relevant law enforcement and regulatory bodies.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-07,GOV-07,"Mechanisms exist to establish contact with selected groups and associations within the cybersecurity and data privacy communities to: 
 (1) Facilitate ongoing cybersecurity and data protection education and training for organizational personnel;
 (2) Maintain currency with recommended cybersecurity and data protection practices, techniques and technologies; and
 (3) Share current cybersecurity and/or data privacy-related information including threats, vulnerabilities and incidents.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-08,GOV-08,Mechanisms exist to define the context of its business model and document the organization's mission.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-09,GOV-09,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization's internal control system.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-10,GOV-10,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-11,GOV-11,"Mechanisms exist to monitor mission/business-critical Technology Assets, Applications and/or Services (TAAS) to ensure those resources are being used consistent with their intended purpose.",Contributes,"VMware Cloud Foundation provides robust mechanisms to monitor mission-critical Technology Assets, Applications, and Services (TAAS), ensuring their usage aligns with intended purpose. VCF Operations serves as the primary monitoring platform, continuously identifying non-compliant objects and flagging deviations against both industry standards and custom policies in near real-time. It offers service discovery dashboards for tracking operational states and, through the Telegraf adapter, collects application-level metrics to observe workload behavior. Performance monitoring within VCF Operations tracks resource consumption across the infrastructure stack, surfacing anomalies that indicate usage outside intended parameters.

Furthermore, VCF Automation enforces intended-use policies at the point of provisioning through request form validation, allowing administrators to add constraints and external validations that prevent unapproved resource deployments or modifications. Complementing this, vDefend's Security Intelligence provides traffic flow analysis, anomaly detection, and behavioral monitoring to identify network-level inconsistencies with intended purpose, such as unexpected lateral movement or unusual protocol usage. Its IDS/IPS signature validation and pre-deployment policy verification steps contribute to the auditability of network security configurations.

While these capabilities provide the essential technical instrumentation for observing and enforcing resource usage policies, the organization retains the responsibility for defining the specific intended purpose for each critical asset, establishing the associated policies, and implementing the necessary governance procedures for review, approval, and response to detected deviations."
GOV-12,GOV-12,"Mechanisms exist to avoid and/or constrain the forced exfiltration of sensitive/regulated information (e.g., Intellectual Property (IP)) to the host government for purposes of market access or market management practices.",Contributes,"VMware vDefend's Distributed Firewall and Gateway Firewall enforce network-level controls, effectively constraining unauthorized data transfers across network boundaries.

This includes robust management of file transfer protocols such as FTP and TFTP, with the TFTP ALG dynamically managing required ports and Security Intelligence providing deep visibility into FTP flow activity. The platform further enhances detection and blocking capabilities through TLS inspection and IDS/IPS, leveraging relevant signatures to identify and prevent potential data exfiltration or forced technology transfer attempts at the network layer.

Security Intelligence also provides critical forensic support by displaying detailed FTP flow information, including flows that persist after abrupt session termination, aiding in the investigation of suspicious transfers.

While vDefend provides the essential network enforcement and detection mechanisms, the broader governance, legal, and contractual dimensions inherent in preventing forced technology transfer to host governments for market access or management practices remain the responsibility of the customer. This includes establishing organizational policies, defining specific detection signatures, and implementing comprehensive incident response procedures."
GOV-13,GOV-13,"Mechanisms exist to constrain the host government's ability to leverage the organization's Technology Assets, Applications and/or Services (TAAS) for economic or political espionage and/or cyberwarfare activities.",Contributes,"VMware vDefend provides robust network-level detection and prevention capabilities essential for mitigating sophisticated threat activity, including advanced persistent threats (APT) and nation-state espionage tradecraft. Its integrated IDS/IPS, Advanced Threat Prevention (ATP) with sandboxing, and Security Intelligence Network Detection and Response (NDR) actively identify and block malicious network behaviors. Security Intelligence Suspicious Traffic detectors are designed to pinpoint anomalous network activity indicative of covert access or data exfiltration, while administrators can leverage traffic flow visualization and filtering tools to investigate hidden or unusual communications effectively.

While these technical controls establish a meaningful defense-in-depth at the network layer against espionage-related threats, they do not encompass the full scope of counterintelligence governance, personnel security, or physical security requirements inherent in constraining a host government's ability to leverage organizational assets."
GOV-14,GOV-14,Mechanisms exist to incorporate cybersecurity and data protection principles into Business As Usual (BAU) practices through executive leadership involvement.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-15,GOV-15,"Mechanisms exist to compel data and/or process owners to operationalize cybersecurity and data protection practices for each Technology Asset, Application and/or Service (TAAS) under their control.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-15.1,GOV-15.1,"Mechanisms exist to compel data and/or process owners to select required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-15.2,GOV-15.2,"Mechanisms exist to compel data and/or process owners to implement required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-15.3,GOV-15.3,"Mechanisms exist to compel data and/or process owners to assess if required cybersecurity and data protection controls for each Technology Asset, Application and/or Service (TAAS) under their control are implemented correctly and are operating as intended.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-15.4,GOV-15.4,"Mechanisms exist to compel data and/or process owners to obtain authorization for the production use of each Technology Asset, Application and/or Service (TAAS) under their control.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-15.5,GOV-15.5,"Mechanisms exist to compel data and/or process owners to monitor Technology Assets, Applications and/or Services (TAAS) under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity and data protection controls are operating as intended.",Contributes,"VMware Cloud Foundation provides the comprehensive monitoring infrastructure necessary for ongoing oversight of technology assets, applications, and services. VCF Operations continuously monitors the underlying infrastructure to identify compliance drift, surfacing non-compliant objects and associated violations through integrated dashboards and alerts. Administrators can define granular monitoring policies and customize settings per object to align with specific risk profiles. The platform supports extensive log analysis, troubleshooting, infrastructure diagnostics, and health checks across the environment.

VCF Operations for Logs aggregates critical log data from vCenter and ESX hosts, offering searchable dashboards and analytics that provide asset owners with deep visibility into component behavior. VCF Automation further enhances this by adding resource usage monitoring and permission controls through its Organizations model, enabling IT teams to track consumption and enforce governance boundaries.

For user security, VCF Operations continuously monitors user access patterns to detect security risks early and verify appropriate access levels, leveraging role-based access in vCenter, including a dedicated Operator role for monitoring and reporting. Complementing this, VMware vDefend's Security Intelligence delivers continuous network-level monitoring through flow visualization, anomaly detection, and Network Detection and Response (NDR) capabilities, directly supporting ongoing assessment of control effectiveness across in-scope workloads and services. Its integrated IDS/IPS and Advanced Threat Prevention (ATP) continuously monitor network traffic for threats, with Intelligent Assist providing event management capabilities to track investigation status and support structured response workflows. The Admin Dashboard and Intelligent Assist integrate with IDS/IPS, Detections, and Campaigns pages to surface security events and facilitate analyst workflows for continuous monitoring.

While the platform provides the robust technical tools and capabilities for monitoring assets, detecting threats, and verifying control operation, the organizational mechanisms to compel data and process owners to perform this monitoring, including defining specific policies, establishing monitoring cadences, and assigning human accountability structures, remain the responsibility of the customer. These governance aspects, along with broader program-level monitoring activities such as policy reviews, vendor assessments, or audit scheduling, fall outside the scope of the platform's direct technical capabilities."
GOV-16,GOV-16,Mechanisms exist to define materiality threshold criteria capable of designating an incident as material.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-16.1,GOV-16.1,Mechanisms exist to define criteria necessary to designate a risk as a material risk.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-16.2,GOV-16.2,Mechanisms exist to define criteria necessary to designate a threat as a material threat.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-17,GOV-17,"Mechanisms exist to submit status reporting of the organization's cybersecurity and/or data privacy program to applicable statutory and/or regulatory authorities, as required.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-18,GOV-18,"Mechanisms exist to govern a Quality Management System (QMS) to ensure cybersecurity and data protection processes conform with applicable statutory, regulatory and/or contractual obligations.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-19,GOV-19,"Mechanisms exist to define the basis for confidence that implemented practices conform to applicable security, compliance and resilience controls, where the control implementation performs as intended.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-19.1,GOV-19.1,"Mechanisms exist to utilize defined Assurance Levels (AL) for assessment activities to standardize the following assurance attributes:
 (1) Depth that addresses the rigor and level of detail of the assessment; and
 (2) Coverage that addresses the scope and breadth of the assessment.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-19.2,GOV-19.2,"Mechanisms exist to utilize defined Assessment Objectives (AO) to assess the implementation of requirements, when available.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-20,GOV-20,"Mechanisms exist to define standardized practices to conduct Mergers, Acquisitions and Divestiture (MA&D) activities.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOV-20.1,GOV-20.1,"Mechanisms exist to provision a Virtual Data Room (VDR), or similar technology, to securely share documentation among stakeholders to conduct Mergers, Acquisitions and Divestiture (MA&D) activities.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
AAT-01,AAT-01,"Mechanisms exist to ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
AAT-01.1,AAT-01.1,"Mechanisms exist to identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT).",Not Applicable,"End user activity or process, design decision, or activity out of scope."
AAT-01.2,AAT-01.2,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and data privacy-enhanced to minimize emergent properties or unintended consequences.",Contributes,"VMware Private AI Foundation with NVIDIA (PAIF), leveraging VMware Cloud Foundation (VCF), establishes robust infrastructure-level mechanisms that ensure AI and Autonomous Technologies are designed with inherent reliability, security, resilience, and data privacy enhancements.

Security is enforced through OIDC-based role-based access control, separating responsibilities across distinct roles like VI administrator, organization administrator, and data scientist, each scoped to specific namespaces and operations. Harbor registry projects restrict model access, and trust bundles secure HTTPS connections to critical services.

Reliability and resilience are provided by VCF's vSphere High Availability for automatic VM restarts, Distributed Resource Scheduler for workload balancing, and vMotion for live migration of GPU-accelerated VMs. Cluster sizing guidance further ensures unreserved GPU capacity and dedicated failover hosts. Model Gallery stores ML models as immutable OCI artifacts, enabling reliable rollback to known-good revisions.

Data privacy is enhanced by isolating AI workloads within dedicated workload domains, separate from the broader VCF environment, and through namespace-scoped permissions. The Harbor registry replica architecture further isolates the GPU-enabled workload domain by proxying container images through a DMZ, restricting communication to only docker push and pull. The platform's validate-then-publish workflow also contributes to model integrity and safety by requiring MLOps engineers to validate models against organizational security, privacy, and technical requirements, verifying integrity via hash codes, and enabling functional and performance evaluations before production deployment.

While PAIF provides a secure, reliable, resilient, and privacy-enhanced foundation, the platform does not inherently address the fairness, transparency, or explainability characteristics of AI models. These attributes are properties of the AI models and applications themselves, requiring organizations to implement separate controls for bias testing, model interpretability, and output explainability at the application layer. The ultimate responsibility for ensuring the overall safety and minimizing emergent properties or unintended consequences of AI systems rests with the organization's design, development, and operational practices for the AI applications deployed on the platform."
AAT-01.3,AAT-01.3,Mechanisms exist to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Not Applicable,"End user activity or process, design decision, or activity out of scope."
AAT-01.4,AAT-01.4,"Mechanisms exist to track the lifecycle of all AI models and AI agents, including ownership, intended purpose and status across:
 (1) Development;
 (2) Deployment;
 (3) Updates; and
 (4) Decommissioning.",Contributes,"VMware Private AI Foundation with NVIDIA provides robust infrastructure for tracking the lifecycle of AI models across development, deployment, and update phases. The Model Gallery, powered by Harbor, serves as a centralized inventory where models are stored as OCI artifacts with immutable manifests, ensuring integrity and providing a version-controlled audit trail through unique digests for each revision. During development, deep learning VMs provisioned from PAIF images facilitate prototyping, fine-tuning, and validation, with OCI metadata describing model contents and dependencies. For deployment, models are retrieved from the gallery by Model Runtime and deployed to inference endpoints, enforced by a validate-then-publish workflow that requires MLOps engineers to validate models against security, privacy, and technical requirements before uploading. Updates are managed through model revision tagging, requiring explicit version selection.

While the platform offers mechanisms for namespace deletion via REST API to support decommissioning, the comprehensive tracking of ownership, explicit intended purpose within model metadata, and the full status of a decommissioned model, including the explicit deletion of identity providers and ensuring all associated resources are removed, remain customer responsibilities. Customers must define and implement processes to record and track these attributes and ensure complete decommissioning procedures are followed to fully satisfy the control's requirements."
AAT-02,AAT-02,Mechanisms exist to develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party).,Contributes,"VMware Private AI Foundation with NVIDIA establishes a robust framework for developing and maintaining an inventory of internal Artificial Intelligence (AI) and Autonomous Technologies (AAT). A centralized inventory of AI models is provided through the Model Gallery within the Harbor Registry. Each model gallery is uniquely named and organized within Harbor projects, complete with configured user access controls to manage visibility and modification.

Model revisions are stored as immutable OCI artifacts, each assigned a unique digest, ensuring a verifiable and auditable record of every model version. OCI metadata comprehensively describes model contents and dependencies, facilitating the identification of compatible platforms and providing clear visibility into each model's operational requirements. Operators can directly view the inventory using the `vcf pais models list` command, which retrieves and displays all models available in a model gallery. Furthermore, Model Runtime tracks which models are actively deployed to inference endpoints, distinguishing between stored and operational models.

For third-party AI components, the platform validates running AI workloads based on NVIDIA GPU Cloud (NGC) containers, which represent a curated catalog of GPU-optimized, pre-tested containers. In environments with disconnected network access, a dedicated Harbor registry stores container images sourced from the NGC catalog. This registry acts as a controlled intermediary, making third-party AI components visible and trackable within the organization's infrastructure.

While the platform provides the comprehensive technical mechanisms for inventorying AI and AAT, the customer is responsible for defining the specific scope of their AI/AAT inventory, establishing the operational processes for developing and maintaining it, and ensuring consistent utilization of the provided tools and capabilities."
AAT-02.1,AAT-02.1,"Mechanisms exist to identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
AAT-02.2,AAT-02.2,Mechanisms exist to identify and document internal cybersecurity and data protection controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,Contributes,"VMware Private AI Foundation with NVIDIA incorporates a comprehensive suite of internal cybersecurity and data protection controls specifically designed for AI and Autonomous Technologies.

Access to Private AI Services is rigorously controlled through OIDC groups, integrating with the organization's identity provider for authorized access. A robust role-based administration model enforces separation of duties across roles such as VI administrator, organization administrator, project administrator, DevOps engineer, data scientist, and MLOps engineer, each with precisely scoped, namespace-level permissions.

Infrastructure isolation is fundamental, with GPU-accelerated workload domains deployed as distinct, isolated environments, ensuring network and compute separation for AI workloads.

Model integrity is maintained through hash code validation and unique content digests for every model revision, while registry authentication requires validated credentials and trusted CA certificates for secure artifact management. Further controls include restricting DCGM metrics endpoints to localhost to prevent unauthorized access to GPU telemetry.

While the platform provides these inherent security and data protection capabilities, the organization is responsible for establishing and maintaining formal mechanisms to identify and document these controls within its broader cybersecurity and data protection framework. This includes defining the processes for cataloging, describing, and formally recording the application of these technical controls to meet specific compliance and audit requirements."
AAT-02.3,AAT-02.3,Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) include reasonable cybersecurity and data protections that are commensurate with assessed risks and threats.,Contributes,"VMware Private AI Foundation with NVIDIA establishes a robust security posture for AI workloads through layered cybersecurity and data protection mechanisms.

Access control is rigorously enforced via OIDC group authorization, integrating with the organization's identity provider, and further refined by role-based access control that assigns namespace-scoped permissions across distinct roles such as VI administrator, organization administrator, project administrator, DevOps engineer, data scientist, and MLOps engineer.

Infrastructure isolation is achieved by deploying GPU-accelerated workload domains as isolated entities, establishing clear network and compute boundaries. AI services are confined to defined boundaries within the platform through namespace-scoped deployments.

Artifact integrity is maintained by requiring configured user access and authentication for Harbor registry projects, and by mandating the addition of the Harbor CA certificate to the Private AI Services certificate trust store, ensuring a verified chain of trust for artifact retrieval. Model integrity is protected through validation of hash codes prior to deployment, assignment of unique digests to each model revision, and storage of model revisions as immutable OCI artifacts.

Furthermore, DCGM metrics endpoints on deep learning VMs can be restricted to localhost to prevent exposure of GPU telemetry data, and a validate-then-publish workflow ensures MLOps engineers evaluate models for security, privacy, and safety before production deployment.

VMware vDefend augments these protections by providing risk-proportional network security controls for AI workloads.

Distributed Firewall and microsegmentation capabilities enable granular network-level protections that can be scaled according to each AI workload's risk profile.

Security Intelligence allows for the designation of critical applications, prioritizing them within the segmentation planning workflow for enhanced security attention.

IDS/IPS inspects traffic for exploit attempts, command-and-control, lateral movement, and exfiltration, while Malware Prevention analyzes incoming files for malicious content.

Security Intelligence also monitors for at-risk workloads, identifying potential exposure to connected neighbors and generating blast radius reports to quantify the number of unprotected workloads susceptible to lateral movement, thereby informing the adequacy of current protections relative to threat exposure.

While the platform provides comprehensive technical mechanisms for cybersecurity and data protection, the organization is responsible for establishing and maintaining the overarching risk assessment framework to identify and evaluate specific AI/AAT risks and threats.

This includes defining the policies, processes, and human accountability necessary to determine what constitutes ""reasonable"" and ""commensurate"" protections for their unique operational context, as well as implementing specific data governance policies such as data classification, retention, and privacy controls that extend beyond the platform's inherent capabilities."
AAT-02.4,AAT-02.4,"Mechanisms exist to conduct Artificial Intelligence (AI) and Autonomous Technologies (AAT)-specific threat modeling and risk assessments to address the following criteria across the lifecycle of the AAT:
 (1) Attack surfaces;
 (2) Adversarial threats; and 
 (3) Abuse / misuse scenarios.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
