Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
T1001,Data Obfuscation: Adversaries may obfuscate command and control traffic to make it more difficult to detect.,"CFG-02, NET-03, NET-04","esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vcf-9.secure-baseline, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
T1001.001,Junk Data: Adversaries may add junk data to protocols used for command and control to make detection more difficult.,"CFG-02, NET-03, NET-04","esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vcf-9.secure-baseline, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
T1001.002,Steganography: Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult.,"CFG-02, NET-03, NET-04","esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vcf-9.secure-baseline, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
T1001.003,Protocol or Service Impersonation: Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts.,"CFG-02, NET-03, NET-04","esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vcf-9.secure-baseline, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target"
T1003,"OS Credential Dumping: Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password.","BCD-11, CFG-02, CFG-03, CHG-04, CRY-05, IAC-02, IAC-10, IAC-20, IAC-21, NET-04, VPM-05","automation-9.activity-log, automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-firmware-updates, esx-9.hardware-management-config-lock, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.memory-tiering-encryption, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, esx-9.snmp, esx-9.ssh, esx-9.tpm-configuration, esx-9.updates, fleet-9.access-token, fleet-9.all-users-group, fleet-9.api-token, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, guest-9.tools-updates, guest-9.tools-upgrade, installer-9.security, nsx-9.backup, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, operations-9.non-imported-vidm, pnr-9.ssh, sddc-9.basic-auth-disable, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-discovery-protocol, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vami-updates, vcenter-9.vds-health-check-disable, vcf-9.mfa, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vm-9.virtual-hardware, vsan-9.encryption-rest, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.managed-disk-claim"
T1003.001,LSASS Memory: Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS).,"CFG-02, CFG-03, CHG-04, CRY-05, IAC-02, IAC-10, IAC-20, IAC-21, NET-04, SEA-10, VPM-05","automation-9.activity-log, automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.hardware-firmware-updates, esx-9.hardware-management-config-lock, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.memory-tiering-encryption, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, esx-9.snmp, esx-9.ssh, esx-9.tpm-configuration, esx-9.updates, fleet-9.access-token, fleet-9.all-users-group, fleet-9.api-token, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, guest-9.tools-updates, guest-9.tools-upgrade, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, operations-9.non-imported-vidm, pnr-9.ssh, sddc-9.basic-auth-disable, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-discovery-protocol, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vami-updates, vcenter-9.vds-health-check-disable, vcf-9.mfa, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vm-9.virtual-hardware, vsan-9.encryption-rest, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.managed-disk-claim"
T1003.002,Security Account Manager: Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored.,"CFG-02, CFG-03, CHG-04, CRY-05, IAC-02, IAC-10, IAC-20, IAC-21","automation-9.activity-log, automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-config-lock, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.memory-tiering-encryption, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, esx-9.tpm-configuration, fleet-9.access-token, fleet-9.all-users-group, fleet-9.api-token, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, operations-9.non-imported-vidm, pnr-9.ssh, sddc-9.basic-auth-disable, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.mfa, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.encryption-rest, vsan-9.hcl-internet, vsan-9.managed-disk-claim"
T1003.003,"NTDS: Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights.","BCD-11, CFG-02, CHG-04, CRY-05, IAC-02, IAC-10, IAC-20, IAC-21","automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-autoadd, esx-9.hardware-management-config-lock, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.memory-tiering-encryption, esx-9.tpm-configuration, fleet-9.access-token, fleet-9.all-users-group, fleet-9.api-token, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, nsx-9.backup, operations-9.non-imported-vidm, sddc-9.basic-auth-disable, vcf-9.mfa, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough, vsan-9.encryption-rest, vsan-9.managed-disk-claim"
T1003.004,"LSA Secrets: Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts.","CFG-02, CHG-04, CRY-05, IAC-02, IAC-10, IAC-20, IAC-21","automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-autoadd, esx-9.hardware-management-config-lock, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.memory-tiering-encryption, esx-9.tpm-configuration, fleet-9.access-token, fleet-9.all-users-group, fleet-9.api-token, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, operations-9.non-imported-vidm, sddc-9.basic-auth-disable, vcf-9.mfa, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough, vsan-9.encryption-rest, vsan-9.managed-disk-claim"
T1003.005,Cached Domain Credentials: Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.,"CFG-02, CFG-03, CHG-04, CRY-05, IAC-02, IAC-10, IAC-20, IAC-21, NET-04","automation-9.activity-log, automation-9.oidc-settings, automation-9.timeouts, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-config-lock, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.memory-tiering-encryption, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, esx-9.snmp, esx-9.ssh, esx-9.tpm-configuration, fleet-9.access-token, fleet-9.all-users-group, fleet-9.api-token, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, operations-9.non-imported-vidm, pnr-9.ssh, sddc-9.basic-auth-disable, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-discovery-protocol, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.mfa, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.encryption-rest, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.managed-disk-claim"
