SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
automation-9.activity-log,Automation,Retain the VCF Automation activity log for the audit window and keep debug output disabled.,P1,"CFG-03, MON-10","1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4, 10.5, 10.5.1"
automation-9.oidc-settings,Automation,Bound VCF Automation OIDC token lifetimes and keep redirect targets HTTPS-only.,P1,"CRY-03, IAC-10","4.2, 4.2.1, 4.2.1.2, 8.2.4, 8.3, 8.3.1, 8.3.2, 8.3.3, 8.3.5, 8.3.7, 8.3.9, 8.3.10.1, 8.3.11, 8.6.3, A2.1, A2.1.1, A2.1.2"
automation-9.timeouts,Automation,Limit the VCF Automation API token lifetime.,P1,IAC-10,"8.2.4, 8.3, 8.3.1, 8.3.3, 8.3.5, 8.3.7, 8.3.9, 8.3.10.1, 8.3.11, 8.6.3"
esx-9.account-lockout-duration,ESX,The ESX host must enforce an unlock timeout.,P2,IAC-22,8.3.4
esx-9.account-lockout-max-attempts,ESX,The ESX host must enforce a limit on consecutive invalid logon attempts by a user.,P2,IAC-22,8.3.4
esx-9.account-password-history,ESX,The ESX host must enforce password history for users.,P2,IAC-10.1,"8.3, 8.3.1, 8.3.3, 8.3.5, 8.3.6, 8.3.7, 8.3.9, 8.3.10.1, 8.6.3"
esx-9.ad-admin-group-autoadd,ESX,The ESX host must not automatically grant administrative permissions to Active Directory groups.,P2,"IAC-16, IAC-21","1.3, 3.4, 3.4.2, 7.1, 7.2, 7.2.1, 7.2.2, 7.2.3, 7.2.5, 7.2.6, 7.3, 7.3.1, 7.3.2, 7.3.3, 8.6, 8.6.1"
esx-9.ad-admin-group-name,ESX,"The ESX host must not use the default ""ESX Admins"" Active Directory group.",P0,IAC-10.8,"2.2.2, 2.3.1, 6.5.2"
esx-9.ad-admin-validate-interval,ESX,The ESX host must not disable validation of users and groups.,P2,IAC-17,"7.2.4, 7.2.5.1, A3.4.1"
esx-9.api-soap-timeout,ESX,The ESX host must configure a session timeout for the vSphere API.,P1,IAC-25,8.2.8
esx-9.ceip-disable,ESX,Disable the ESX Customer Experience Improvement Program.,P1,CFG-03,"1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4"
esx-9.cpu-hyperthread-warning,ESX,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,P2,MON-01.4,"10.2, 10.4, 10.4.1, 10.4.1.1, 10.4.3, 10.7, 10.7.1, 10.7.2, 10.7.3"
esx-9.dcui-timeout,ESX,Set a timeout to automatically terminate idle DCUI sessions on the ESX host.,P2,IAC-25,8.2.8
esx-9.deactivate-mob,ESX,The ESX Managed Object Browser (MOB) must be disabled.,P2,CFG-03,"1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4"
esx-9.deactivate-shell,ESX,The ESX Shell must be disabled.,P2,CFG-03,"1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4"
esx-9.disable-accounts-dcui,ESX,The ESX host must disable shell access for the dcui account.,P0,IAC-15.7,"8.6, 8.6.1"
esx-9.entropy,ESX,The ESX host must use sufficient entropy for cryptographic operations.,P2,CRY-01,"2.2.7, 3.3.2, 8.3.2, 12.3.3"
esx-9.firewall-incoming-default,ESX,The ESX host must configure the firewall to block network traffic by default.,P2,NET-04.1,"1.3, 1.3.1, 1.3.2, 1.3.3, 1.4.2"
esx-9.firewall-restrict-access,ESX,Configure the ESX host firewall to only allow traffic from authorized networks.,P0,"END-05, NET-04.1","1.3, 1.3.1, 1.3.2, 1.3.3, 1.4.2, 1.5.1"
esx-9.forensic-snapshots,ESX,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,P2,CFG-03,"1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4"
esx-9.hardware-cpu-amd-cc,ESX,"Enable AMD SEV-ES and SEV-SNP in system firmware where available, and size the SEV ASID pool appropriately.",P1,CRY-01,"2.2.7, 3.3.2, 8.3.2, 12.3.3"
esx-9.hardware-cpu-intel-cc,ESX,Enable Intel SGX and TDX in system firmware where available.,P1,CRY-01,"2.2.7, 3.3.2, 8.3.2, 12.3.3"
esx-9.hardware-firmware-updates,ESX,"Ensure all system and device firmware is auditable, authentic, and up to date.",P0,VPM-05,6.3.3
esx-9.hardware-management-config-lock,ESX,Lock the hardware management controller configuration after provisioning.,P1,CHG-04,1.2.8
esx-9.hardware-management-log-forwarding,ESX,Forward hardware management controller logs to a central log server.,P0,"MON-02, MON-02.2","10.3.3, 10.4, 10.4.1, 10.4.1.1"
esx-9.hardware-management-security,ESX,Harden integrated hardware management controllers.,P0,"CFG-03, IAC-10.8","1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.2, 2.2.4, 2.3.1, 6.5.2"
esx-9.hardware-management-time,ESX,Synchronize hardware management controller time with organizational reference sources.,P0,"MON-07.1, SEA-20","10.6, 10.6.1, 10.6.2, 10.6.3"
esx-9.hardware-ports,ESX,Disable or physically protect unused external server ports.,P1,CFG-03,"1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4"
esx-9.hardware-tpm,ESX,Install and enable a TPM 2.0 on each ESX host.,P0,CRY-09,"3.5.1.1, 3.6, 3.6.1, 3.6.1.1, 3.6.1.2, 3.6.1.3, 3.6.1.4, 3.7, 3.7.1, 3.7.2, 3.7.3, 3.7.4, 3.7.5, 3.7.6, 3.7.7, 4.2.1.1"
esx-9.hardware-virtual-nic,ESX,The ESX host must not enable virtual hardware management network interfaces.,P0,CFG-03,"1.2.5, 1.2.6, 1.4, 1.4.1, 1.4.2, 2.2.4"
esx-9.key-persistence,ESX,Disable Key Persistence on ESX hosts that do not have controlled physical access.,"P2, Upon Feature Enablement",CRY-09,"3.5.1.1, 3.6, 3.6.1, 3.6.1.1, 3.6.1.2, 3.6.1.3, 3.6.1.4, 3.7, 3.7.1, 3.7.2, 3.7.3, 3.7.4, 3.7.5, 3.7.6, 3.7.7, 4.2.1.1"
esx-9.lockdown-dcui-access,ESX,Maintain the DCUI.Access list for administrative recovery if Lockdown Mode isolates the host.,P2,IAC-21,"1.3, 3.4, 3.4.2, 7.1, 7.2, 7.2.1, 7.2.2, 7.2.6, 7.3, 7.3.1, 7.3.2, 7.3.3, 8.6, 8.6.1"
esx-9.lockdown-exception-users,ESX,Keep the Lockdown Mode Exception Users list to the minimum necessary.,P2,IAC-21,"1.3, 3.4, 3.4.2, 7.1, 7.2, 7.2.1, 7.2.2, 7.2.6, 7.3, 7.3.1, 7.3.2, 7.3.3, 8.6, 8.6.1"
esx-9.lockdown-mode,ESX,The ESX host must enable Lockdown Mode.,P0,IAC-20,"7.2.1, 7.2.2, 7.2.5, 7.2.6"
esx-9.log-audit-forwarding,ESX,The ESX host must transmit audit records to a remote host.,P0,MON-02,"10.3.3, 10.4, 10.4.1, 10.4.1.1"
