SCG ID,"Secure Controls
Framework ID",DISA STIG ID,PCI DSS 4.0.1 ID,"Component
Name",Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,"Implementation
Priority",Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
esx-9.account-lockout-duration,"IAC-22
IAC-10
IAC-10.1",VCFE-9X-000108,8.3.4,ESX,9.0.0,Base,The ESX host must enforce an unlock timeout of 15 minutes.,"By enforcing a reasonable unlock timeout after multiple failed logon attempts, the risk of unauthorized access via user password guessing, otherwise known as brute forcing, is reduced. Users must wait for the timeout period to elapse before subsequent logon attempts are allowed.",None.,P2,Security.AccountUnlockTime,900,900,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountUnlockTime,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900
esx-9.account-lockout-max-attempts,"IAC-22
IAC-10
IAC-10.1",VCFE-9X-000005,8.3.4,ESX,9.0.0,Base,The ESX host must enforce the limit of five consecutive invalid logon attempts by a user.,"Protects against brute-force attacks and unauthorized access attempts by temporarily disabling the affected account, preventing further login attempts until the lockout period expires or is manually reset by an administrator.","A low threshold for login failures can create an avenue for denial-of-service attacks, whether intentional or unintentional, such as with SSH connection retries.",P2,Security.AccountLockFailures,5,5,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountLockFailures,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5
esx-9.account-password-history,"IAC-10.1
IAC-10",N/A,8.3.7,ESX,9.0.0,Base,The ESX host must enforce password history for users.,Protects against reuse of passwords.,None.,P2,Security.PasswordHistory,5,5,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordHistory,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5
esx-9.ad-admin-group-autoadd,IAC-21,VCFE-9X-000240,7.2.2,ESX,9.0.0,Active Directory,The ESX host must not automatically grant administrative permissions to Active Directory groups.,"When adding ESX hosts to Active Directory, the group specified by the ""Config.HostAgent.plugins.hostsvc.esxAdminsGroup"" advanced setting can be automatically granted administrative access to ESX. This behavior should be disabled and access intentionally granted if appropriate.",Access must be granted manually.,P2,Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd,FALSE,FALSE,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd | Set-AdvancedSetting -Value FALSE
esx-9.ad-admin-group-name,IAC-10.8,VCFE-9X-000239,7.2.2,ESX,9.0.0,Active Directory,The ESX host must not use the default Active Directory ESX Admin group.,"When adding ESX hosts to Active Directory, all user/group accounts assigned to the Active Directory group ""ESX Admins"" will have full administrative access to the host.
 
If this group is not controlled or known to the system administrators, it may be used for inappropriate access to the host. Therefore, the default group must be changed to a site-specific Active Directory group and membership must be severely restricted.",None.,P0,Config.HostAgent.plugins.hostsvc.esxAdminsGroup,"""ESX Admins""","Anything But ""ESX Admins""",NO,Modify,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroup,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroup | Set-AdvancedSetting -Value $ANYTHING_ELSE
esx-9.ad-admin-validate-interval,IAC-17,VCFE-9X-000241,7.2.4,ESX,9.0.0,Active Directory,The ESX host must not disable validation of users and groups.,"When joined to Active Directory, ESX will periodically validate group membership for any groups with permissions to the host. This process ensures any changes made to groups in Active Directory are synced to ESX and must not be disabled.",None.,P2,Config.HostAgent.plugins.vimsvc.authValidateInterval,90,90,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vimsvc.authValidateInterval,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vimsvc.authValidateInterval | Set-AdvancedSetting -Value 90
esx-9.api-soap-timeout,IAC-25,VCFE-9X-000226,8.2.8,ESX,9.0.0,Base,The ESX host must configure a session timeout for the vSphere API.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",None.,P2,Config.HostAgent.vmacore.soap.sessionTimeout,30,30,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 30
esx-9.cpu-hyperthread-warning,END-04.7,VCFE-9X-000227,5.3.5,ESX,9.0.0,Base,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,"Hyperthreading security warnings signify unaddressed CPU vulnerabilities in the system, and ignoring these could mask potential risks. Ensure that hardware remediations align with your organization's accepted risk, and if suppressing a warning, document the decision and rationale.",None.,P2,UserVars.SuppressHyperthreadWarning,0,0,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning | Set-AdvancedSetting -Value 0
esx-9.dcui-timeout,IAC-25,VCFE-9X-000201,8.2.8,ESX,9.0.0,Base,Set a timeout to automatically terminate idle DCUI sessions on the ESX host.,"DCUI allows direct login to the ESX host for managing tasks. To prevent unintended DCUI usage from leftover login sessions, It is essential to terminate idle connections.",None.,P2,UserVars.DcuiTimeOut,600,600,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.DcuiTimeOut,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600
esx-9.deactivate-mob,CFG-03,VCFE-9X-000046,2.2.4,ESX,9.0.0,Base,The ESX Managed Object Browser (MOB) should be deactivated.,Services which are not in use and are not essential for operations should be deactivated.,None.,P2,Config.HostAgent.plugins.solo.enableMob,False,False,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob | Set-AdvancedSetting -Value False
