Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
AC.L1-b.1.i,"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems)","IAC-02, IAC-20","esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcf-9.mfa"
AC.L2-3.1.1,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).","IAC-02, IAC-20","esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcf-9.mfa"
AC.L2-3.1.3,Control the flow of CUI in accordance with approved authorizations.,NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
AC.L2-3.1.5,"Employ the principle of least privilege, including for specific security functions and privileged accounts.","IAC-16, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcenter-9.bashshelladministrators, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
AC.L2-3.1.8,Limit unsuccessful logon attempts.,IAC-22,"esx-9.account-lockout-duration, esx-9.account-lockout-max-attempts, fleet-9.password-policy, nsx-9.account-lockout-max-attempts, operations-9.account-lockout, vcenter-9.account-lockout-duration, vcenter-9.account-lockout-max-attempts, vcenter-9.account-lockout-reset"
AC.L2-3.1.9,Provide privacy and security notices consistent with applicable CUI rules.,SEA-18,"esx-9.etc-issue, esx-9.login-message, networks-9.login-message, nsx-9.login-message, operations-9.login-message, vcenter-9.etc-issue, vcenter-9.login-message"
AC.L2-3.1.10,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,IAC-24,vm-9.vmrc-lock
AC.L2-3.1.11,Terminate (automatically) a user session after a defined condition.,IAC-25,"esx-9.api-soap-timeout, esx-9.dcui-timeout, esx-9.session-timeout, esx-9.shell-interactive-timeout, esx-9.shell-timeout, networks-9.session-timeout, nsx-9.session-timeout, operations-9.session-timeout, vcenter-9.session-timeout"
AC.L2-3.1.12,Monitor and control remote access sessions.,NET-14,pnr-9.ssh
AC.L2-3.1.15,Authorize remote execution of privileged commands and remote access to security-relevant information.,NET-14.4,"esx-9.ssh, vcenter-9.ssh"
AC.L3-3.1.3e,Secured Information Transfer,NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
