Destination URL / FQDN,Port(s),Category,Business Justification & Configuration Notes,Safe to Publish,VCF Configuration Scope,Scan Evidence
dl.broadcom.com,TCP 443,Software Updates,"VCF lifecycle updates, ESXi patches, binaries. [Bypass SSL]",YES,All VCF,Scan 3 (glcm) — proxy validation default
packages.broadcom.com,TCP 443,Software Updates,VCF lifecycle updates and package downloads. [Bypass SSL],YES,All VCF + VKS,Scan 4 (NSX) + Scan 25 (Salt)
packages.vmware.com,"TCP 80, 443",Software Updates,"Legacy Photon OS + VMware Tools repo — used in VCF BUILD PIPELINES (cayman_photon packer.json ISO download; vmsp CI scripts) NOT customer runtime. vidb-consolidated Dockerfile explicitly migrates to internal Artifactory. Customer production firewall: NOT required — redirect to packages.broadcom.com.",LEGACY — BUILD ONLY,N/A (build-time),"cayman_photon packer.json: ISO download URL; vmsp error_logs_ds.yaml: Photon RPM download logs; vidb-consolidated Dockerfile: sed migration away from packages.vmware.com → build-artifactory.packages.vcfd.broadcom.net"
projects.packages.broadcom.com,TCP 443,Software Updates,"Broadcom OCI registry — AKO/NSX-ALB images, OCI Helm charts. [Bypass SSL]",YES,VKS + VKS-NSX-ALB,Scan 46 (vksaas-config) VERIFIED — AKO images + OCI Helm chart confirmed
pais-docker.packages.broadcom.com,TCP 443,Container Registries,"Private AI Foundation Services (PAIFS) OCI registry — The VCF Supervisor must authenticate here to pull Private AI Infrastructure service artefacts. Required for VCF Private AI workflow. [Bypass SSL]",YES,VCF + Private AI Foundation Services,"glcm VERIFIED — vip_en.json:503-504: 'The Private AI Services service is hosted on the https://pais-docker.packages.broadcom.com OCI registry that requires authentication. The Supervisor must authenticate to the registry to be able to access the service artefacts.' Source: vcf-installer-ui/private-ai-setup component"
dev.packages.broadcom.com,TCP 443,Software Updates,Developer/test packages repository. [Bypass SSL],NO,N/A,"Dev/test endpoint — do NOT include in customer production firewall rules"
dl.dell.com,TCP 443,Software Updates,Required if using Dell hardware (VxRail/ESXi custom images).,CONDITIONAL,Hardware-Specific,Pre-scan baseline
hostupdate.broadcom.com,TCP 443,Software Updates,vSphere Lifecycle Manager (VLCM) ESXi host patches and firmware updates. [Bypass SSL],YES,vSphere LCM,"Customer confirmed active egress (German financial institution); NOT found in VKS source code — ESXi/VLCM infrastructure layer requirement, not VKS node-level"
registry.k8s.io,TCP 443,Container Registries,CAPI upstream Kubernetes controller images — cluster-api-controller; kubeadm-bootstrap/control-plane; cluster-api-vsphere-controller. [Bypass SSL],YES,VKS (Connected),"Scan 7 (kubernetes-service) — found in CAPI bundle manifests; customer confirms active egress in connected deployment"
projects.registry.vmware.com,TCP 443,Container Registries,"VMware TKG Kubernetes control plane images — tkg/etcd, tkg/coredns, tkg/kube-apiserver, tkg/kube-controller-manager, tkg/kube-proxy, tkg/kube-scheduler, tkg/pause, tkg/packages/standard/harbor, Multus CNI, Carvel. [Bypass SSL]",YES,VKS (Connected),Scan 44 (cayman_photon) VERIFIED — container-image-owners.yaml confirms all 8 K8s image families
registry.tkg.vmware.run,TCP 443,Container Registries,"TKG kubeadm bootstrap registry — provides etcd, CoreDNS, and kubeadm ClusterConfiguration images during VKS cluster provisioning. [Bypass SSL] Distinct from projects.registry.vmware.com/tkg/* (Supervisor/OVA path). Both registries are required for a complete VKS bootstrap.",YES,VKS (Connected),"kubernetes-service VERIFIED — TKG/TKR BOM files (tkg-bom-v3.0.0.yaml, tkr-bom-v1.18/v1.19.yaml) all set imageRepository: registry.tkg.vmware.run for kubeadm ClusterConfiguration + etcd + CoreDNS; confirmed active egress by customer (German financial institution, Zscaler)"
quay.io,TCP 443,Container Registries,Prometheus / Alertmanager / Grafana images used by kube-prometheus-stack add-on. [Bypass SSL],CONDITIONAL,VKS + Observability,"Scan 46 (vksaas-config) — kube-prometheus-stack values.yaml uses quay.io as default registry; only needed if add-on installed without private mirror"
ghcr.io,TCP 443,Container Registries,"Kyverno Helm chart (oci://ghcr.io/kyverno/charts/kyverno); ESO upstream images (BYO install mode only). [Bypass SSL]",CONDITIONAL,VKS + Policy / VKS + ESO,"Scan 46 (vksaas-config) — Kyverno Helm chart; Scan 50 (external-secrets-vks-addon) — ESO production images relocated to internal Artifactory; only needed for community/BYO install path"
storage.googleapis.com,TCP 443,Container Registries,Google Cloud Storage — CAPI artifact distribution and kubectl binary downloads. [Bypass SSL],CONDITIONAL,VKS (Connected),"Scan 7 (CI-only context); Scan 44 (build-time for HAProxy OVA); customer confirms runtime egress in connected deployment — may be CAPI artifact path"
scapi.telemetry.broadcom.com,TCP 443,Telemetry & Support,VCF / VCFA SuperCollider CEIP telemetry endpoint. [Bypass SSL],YES,CEIP/Telemetry (All VCF),"Scan 1 (vmsp) + Scan 29 (nsx-eas) VERIFIED — 4 prod Helm ConfigMaps; can be blocked if CEIP disabled"
api.marketplace.cloud.vmware.com,TCP 443,Cloud Services & APIs,Connects to VMware Cloud Marketplace. [Bypass SSL],YES,VCF Connected,Pre-scan baseline
api.prod.nsxti.vmware.com,TCP 443,Cloud Services & APIs,NSX Intelligence telemetry and cloud API. [Bypass SSL],YES,VCF Connected (NSX),Pre-scan baseline
csp-console.broadcom.com,TCP 443,Cloud Services & APIs,Cloud Services Provider (CSP) console API. [Bypass SSL],YES,VCF Connected,Pre-scan baseline
console.cloud.vmware.com,TCP 443,Cloud Services & APIs,"STILL ACTIVE in product runtime code — upgrade from LEGACY. (1) hms (vSphere Replication) APIConstants.java: CSP_AUTH_API_HOST hardcoded constant used for CSP authentication. (2) hcx-mgmtplatform notification_service: HCXActivationConfirmationTemplate.html loads fonts + images from console.cloud.vmware.com/csp/gateway/portal/assets/ at email delivery time. Migration to console.cloud.broadcom.com is in progress. Keep in whitelist until hms + HCX release migration. [Bypass SSL]",CONDITIONAL,VCF Connected (HCX + vSphere Replication),"hms/vrops/VrAdapter/APIConstants.java:20 — CSP_AUTH_API_HOST = ""console.cloud.vmware.com""; hcx-mgmtplatform/notification_service/HCXActivationConfirmationTemplate.html — fonts + logo assets loaded from console.cloud.vmware.com/csp/gateway/portal/assets/"
console.tanzu.broadcom.com,TCP 443,Cloud Services & APIs,Tanzu cloud management console API. [Bypass SSL],YES,VKS / Tanzu,Pre-scan baseline
platform.lumos.svlumg1.vmw.saas.broadcom.com,TCP 443,Cloud Services & APIs,INTERNAL SaaS backend routing subdomain — do not publish.,NO,N/A,"Scan 31 (lumos-reverse-proxy) CONFIRMED INTERNAL — nginx upstream config uses *.lumos.splumg1.vmw.saas.broadcom.com as internal SaaS backend routing; NOT customer PROXY_WHITELIST. Customer-facing URL is lumos.broadcom.com."
lumos.broadcom.com,TCP 443,Cloud Services & APIs,Lumos IPF platform production backend. [Bypass SSL],YES,VCF Connected,Scan 31 (lumos-reverse-proxy) VERIFIED — migrated production backend
lumos.vmware.com,TCP 443,Cloud Services & APIs,"STILL ACTIVE in production code — upgrade from LEGACY. hcx-leo-ui/telemetry.constants.ts: LUMOS_PROD_URL = 'https://lumos.vmware.com/assets/lumos.js' — loaded at HCX+ aaS UI runtime as an analytics/telemetry JS asset. This is a LIVE network request from the browser when customers use the HCX+ cloud UI. Migration to lumos.broadcom.com is tracked as 🟠 open finding. Keep in whitelist for HCX+ cloud deployments. [Bypass SSL]",CONDITIONAL,VCF Connected (HCX+),"hcx-leo-ui/libs/shared/platform/src/lib/telemetry/telemetry.constants.ts — LUMOS_PROD_URL = 'https://lumos.vmware.com/assets/lumos.js' (open 🟠 finding — Scan 17)"
