Control ID,SCF ID,Description,Control Coverage,Response
21.1,"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, CPL-01, CPL-03, CPL-03.2, RSK-01, RSK-04, SEA-01","Member States shall ensure that essential and important entities take appropriate and proportionate technical, operational and organisational measures to manage the risks posed to the security of network and information systems which those entities use for their operations or for the provision of their services, and to prevent or minimise the impact of incidents on recipients of their services and on other services.
Taking into account the state-of-the-art and, where applicable, relevant European and international standards, as well as the cost of implementation, the measures referred to in the first subparagraph shall ensure a level of security of network and information systems appropriate to the risks posed. When assessing the proportionality of those measures, due account shall be taken of the degree of the entity’s exposure to risks, the entity’s size and the likelihood of occurrence of incidents and their severity, including their societal and economic impact.
",Contributes,"VMware Cloud Foundation provides robust mechanisms for ensuring the technical configuration state of the underlying infrastructure aligns with defined security policies and benchmarks. It offers continuous compliance monitoring against industry standards and custom policies, calculating compliance scores and identifying non-compliant objects and violations.

vSphere Configuration Profiles and Lifecycle Manager assess ESX host configurations against approved baselines, detecting and remediating drift, while NSX provides its own compliance status reporting for network configurations.

VMware vDefend extends these capabilities to network security, offering specific compliance assessment, policy analysis, and segmentation scoring. It evaluates microsegmentation policy enforcement, provides policy recommendation analysis to identify gaps between desired and actual network security, and offers a Threat Event Monitoring dashboard for visibility into security issues. vDefend also embeds secure engineering principles like zero-trust microsegmentation and defense-in-depth, supporting the implementation of principled network security designs.

While the platform provides comprehensive technical and operational tools for managing the security of network and information systems, the overarching responsibility for defining appropriate and proportionate organizational measures, conducting comprehensive risk assessments across all entity operations, and establishing the full scope of incident prevention and minimization strategies remains with the customer.

Organizations must define their specific cybersecurity and data protection policies, establish the processes for assessing proportionality based on their unique exposure, size, and potential impact, and implement broader secure systems engineering governance and SDLC integration.

Furthermore, functional validation of whether security controls are actively operating as intended requires periodic security assessments or controlled test scenarios beyond the configuration-state reviews provided by the platform."
21.2,GOV-01,"The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(a)  policies on risk analysis and information system security;
(b)  incident handling;
(c)  business continuitness of cybersecurity risk-management measures;
(g) basic cyber hygiene practices and cybersecurity training;
(h) policies and procedures regarding the use of cryptography and, where appropriate, encryption;
(i) human resources security, access control policies and asset management;
(j) the use of multi-factor authentication or continuous authentication solutions, secured voice, video and text communications and secured emergency communication systems within the entity, where appropriate.y, such as backup management and disaster recovery, and crisis management;
(d) supply chain security, including security-related aspects concerning the relationships between each entity and its direct suppliers or service providers;
(e) security in network and information systems acquisition, development and maintenance, including vulnerability handling and disclosure;
(f) policies and procedures to assess the effective",Not Applicable,"End user activity or process, design decision, or activity out of scope."
21.2(a),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, RSK-01","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(a)  policies on risk analysis and information system security;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
21.2(b),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, IRO-01, IRO-02","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(b)  incident handling;",Contributes,"VMware Cloud Foundation, extended by VMware Live Recovery and VMware vDefend, provides comprehensive technical capabilities that support multiple phases of incident handling. Automated event detection is facilitated by VCF Operations, which correlates infrastructure events into faults, triggers notifications, and leverages vCenter Server alarms for condition-based actions. VMware vDefend significantly enhances detection with automated threat detection, IDS/IPS, network detection features, and the correlation of individual threat events into multi-stage attack campaigns, prioritizing them by impact and severity. VMware Live Recovery contributes by detecting data protection incidents through its event logging and alarm framework.

For analysis and investigation, VCF Operations offers a Troubleshooting Incidents page for managing incidents, identifying root causes, and integrating with ITSM workflows, while vDefend's Security Services Platform enables deep investigation of correlated events and network detection data.

Containment is supported by VCF's ability to isolate affected workloads via VM power state changes and network reconfiguration, with vDefend providing more targeted containment through quarantine policies and AI-guided remediation workflows that create immediate network-level containment rules.

Recovery capabilities include VCF's vSphere HA, Proactive HA, and vSphere Fault Tolerance for automated workload restarts and protection, complemented by VMware Live Recovery's structured recovery plans, automated failover orchestration, and non-disruptive testing for disaster recovery scenarios.

While these platforms deliver robust technical tools for incident handling, they do not govern organization-wide incident response processes, maintain incident response documentation, or manage incident metadata such as status tracking, impact levels, and urgency classifications. The customer is responsible for establishing and maintaining comprehensive incident response policies, procedures, and playbooks, including manual intake elements, defining full recovery phases, and addressing any required human intervention for remediation cleanup or post-incident review."
21.2(c),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, BCD-01, BCD-11, BCD-12","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(c)  business continuitness of cybersecurity risk-management measures;",Contributes,"VMware Cloud Foundation (VCF) provides robust capabilities for ensuring the business continuity of the underlying infrastructure and workloads that host cybersecurity risk-management measures. This includes vSphere High Availability (HA) for workload resilience, vSAN stretched clusters for site-level recovery, and vSAN Data Protection for snapshot-based point-in-time recovery. VCF mandates regular backup schedules and retention policies for all management components, including SDDC Manager, vCenter, and NSX, with support for file-based and image-based backups, Changed Block Tracking (CBT), and integration with third-party backup solutions via VADP.

VMware Live Recovery (VLR) further enhances this by providing comprehensive mechanisms for secure recovery and reconstitution of virtual machine workloads. Recovery plans define the sequence and priority for failover operations, supporting non-disruptive testing and offering both planned migration and disaster recovery modes. VLR leverages vSphere Replication for continuous host-based replication with configurable RPOs, array-based replication, and vSAN Data Protection for managing snapshots.

VMware vDefend contributes by ensuring the continuity of the security posture through NSX Federation, which maintains distributed firewall rules and microsegmentation policies across sites during workload failovers. The Security Services Platform (SSP) within vDefend provides backup and restore capabilities for its own control plane, covering firewall rules, microsegmentation policies, and IDS/IPS configurations, with recurring schedules and encrypted transmission to protect against data loss and enable recovery of the security management plane.

While the platform provides the essential technical foundation for the continuity and recovery of infrastructure, workloads, and security policies, the overarching responsibility for defining, implementing, and managing the business continuity of cybersecurity risk-management measures rests with the customer. This includes establishing the broader Business Continuity Management System (BCMS), developing comprehensive COOP and BC/DR playbooks, conducting impact analyses, and implementing organizational governance processes. The customer must define the specific cybersecurity risk-management measures, policies, and procedures, and assign human accountability to ensure their continuous operation and effectiveness, leveraging the platform's capabilities as foundational technical enablers."
21.2(d),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, RSK-01, RSK-09, TPM-01, TPM-03","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(d) supply chain security, including security-related aspects concerning the relationships between each entity and its direct suppliers or service providers;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
21.2(e),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, MNT-01, NET-01, TDA-01, TPM-01, VPM-01","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(e) security in network and information systems acquisition, development and maintenance, including vulnerability handling and disclosure;",Contributes,"VMware Cloud Foundation (VCF) provides robust capabilities for ensuring security throughout the lifecycle of network and information systems, encompassing acquisition, development, and maintenance, alongside comprehensive vulnerability handling and disclosure for the platform itself.

VCF Operations delivers integrated lifecycle management, orchestrating infrastructure updates and patch deployment through a patch planner, pre-update validation, and automated installation. vSphere Lifecycle Manager enforces desired-state configurations for ESX hosts, including firmware and drivers, by scanning for deviations and remediating non-compliant systems. Continuous compliance management within VCF Operations monitors for policy violations, highlights risks, and offers automated remediation. VCF Diagnostics automatically detects known issues and vulnerabilities within the software stack, providing root cause analysis and remediation steps.

For acquisition and development, VCF establishes a secure foundation through its architecture, including built-in network security controls via NSX, centralized policy management with role-based access control, and inherent network segmentation. Security baselines published through the Security Configuration Guide and DISA STIGs provide hardening settings enforced by vSphere Lifecycle Manager. Broadcom directly addresses vulnerability disclosure for the VCF platform by publishing security advisories and releasing patches.

VMware vDefend further enhances vulnerability handling by providing advanced network-layer detection, virtual patching, and security posture monitoring. Its Distributed IDS/IPS offers signature-based detection of exploitation attempts across east-west traffic, enabling the deployment of custom signatures for virtual patching against newly disclosed vulnerabilities before official patches are available. The IDS/IPS dashboard provides visibility into intrusion events, while malicious IP reputation feeds automatically block known attacker infrastructure.

Security Intelligence and the Security Services Platform offer security posture dashboards, threat event monitoring, and the Security Explorer for visualizing workload traffic and identifying potentially exposed systems. Advanced Threat Prevention extends these capabilities with behavioral analysis and sandboxing to detect zero-day exploits.

While VCF and vDefend provide extensive technical capabilities for securing network and information systems, including robust vulnerability management and platform-level disclosure, organizations remain responsible for establishing and enforcing their own comprehensive security policies and procedures.

This includes defining secure acquisition processes for third-party components, implementing secure development lifecycle practices for custom applications, establishing internal vulnerability handling workflows, and developing formal vulnerability disclosure policies for their own systems and services running on the VCF platform."
21.2(f),"GOV-01, GOV-01.1, GOV-02, GOV-05, GOV-15, GOV-15.1, GOV-15.2, RSK-01","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(f) policies and procedures to assess the effective",Not Applicable,"End user activity or process, design decision, or activity out of scope."
21.2(g),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, SAT-01","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(g) basic cyber hygiene practices and cybersecurity training;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
21.2(h),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, CRY-01","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(h) policies and procedures regarding the use of cryptography and, where appropriate, encryption;",Contributes,"VMware Cloud Foundation implements comprehensive cryptographic protections using known public standards and FIPS 140-3 validated cryptographic modules across its component stack.

This includes TLS 1.3 and 1.2 for internal and management network communications, with customizable PKI keypair and certificate options, and centralized certificate lifecycle management.

Data-at-rest encryption is provided via vSAN cluster-based encryption or VM Encryption, utilizing AES-NI and managed through KMIP 1.1-compatible external Key Management Servers (KMS) or vSphere Native Key Provider (NKP), establishing a three-element domain of trust. VCF supports a three-tier key hierarchy with automatic key rotation and offers guest-level security features such as vTPM 2.0 and Secure Boot.

Data-in-transit encryption is supported for vSAN, vSphere vMotion, and Memory Tiering, with specific implementations varying by architecture and configuration. VM Encryption provides protection across all datastore types, and ESX stores configuration data in encrypted form, leveraging TPM 2.0. Fine-grained privileges control cryptographic operations, and vSAN includes secure disk wipe capabilities per NIST 800-88.

VMware Live Recovery extends these protections to disaster recovery workflows, encrypting all replication traffic between protected and recovery sites using TLS 1.2, supporting the replication of encrypted virtual machines, and utilizing shared KMS or Native Key Provider for key management. Site pairing relies on certificate-based trust establishment.

VMware vDefend further contributes by securing communication between its product components using certificates and secure TLS versions with approved cipher suites, providing certificate lifecycle management, encrypting stored data using AES 256-bit, and offering TLS Inspection capabilities within its Gateway Firewall for enhanced threat detection in encrypted traffic.

While the VMware Cloud Foundation platform, including VMware Live Recovery and VMware vDefend, provides extensive technical capabilities for implementing cryptography and encryption, the establishment of formal organizational policies and procedures regarding their use remains the responsibility of the customer. The platform furnishes the robust technical mechanisms and controls necessary to enforce such policies, but it does not define the specific governance, operational guidelines, or human accountability required for a comprehensive cryptographic policy framework."
