Control ID,SCF ID,Description,Control Coverage,Response
CIP-002-5.1a 1.1,RSK-02.1,"Each Responsible Entity shall implement a process that considers each of the
following assets for purposes of parts 1.1 through 1.3: [Violation Risk Factor:
High][Time Horizon: Operations Planning]
i.Control Centers and backup Control Centers;
ii.Transmission stations and substations;
iii.Generation resources;
iv.Systems and facilities critical to system restoration, including Blackstart
Resources and Cranking Paths and initial switching requirements;
v.Special Protection Systems that support the reliable operation of the Bulk
Electric System; and
vi.For Distribution Providers, Protection Systems specified in Applicability
section 4.2.1 above.
1.1. Identify each of the high impact BES Cyber Systems according to
Attachment 1, Section 1, if any, at each asset;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
CIP-002-5.1a 1.2,RSK-02.1,"Each Responsible Entity shall implement a process that considers each of the
following assets for purposes of parts 1.1 through 1.3: [Violation Risk Factor:
High][Time Horizon: Operations Planning]
i.Control Centers and backup Control Centers;
ii.Transmission stations and substations;
iii.Generation resources;
iv.Systems and facilities critical to system restoration, including Blackstart
Resources and Cranking Paths and initial switching requirements;
v.Special Protection Systems that support the reliable operation of the Bulk
Electric System; and
vi.For Distribution Providers, Protection Systems specified in Applicability
section 4.2.1 above.

1.2. Identify each of the medium impact BES Cyber Systems according to
Attachment 1, Section 2, if any, at each asset; and
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
CIP-002-5.1a 1.3,RSK-02.1,"Each Responsible Entity shall implement a process that considers each of the
following assets for purposes of parts 1.1 through 1.3: [Violation Risk Factor:
High][Time Horizon: Operations Planning]
i.Control Centers and backup Control Centers;
ii.Transmission stations and substations;
iii.Generation resources;
iv.Systems and facilities critical to system restoration, including Blackstart
Resources and Cranking Paths and initial switching requirements;
v.Special Protection Systems that support the reliable operation of the Bulk
Electric System; and
vi.For Distribution Providers, Protection Systems specified in Applicability
section 4.2.1 above.

1.3. Identify each asset that contains a low impact BES Cyber System
according to Attachment 1, Section 3, if any (a discrete list of low impact
BES Cyber Systems is not required). ",Contributes,"The VCF platform provides comprehensive inventory and asset management capabilities for its managed virtual infrastructure, encompassing compute, storage, and networking components. It identifies and lists all deployed virtual machines, hosts, network devices, and storage arrays, along with their configurations and interdependencies.

This foundational data is essential for any asset identification process, providing the necessary visibility into the underlying infrastructure that may host or comprise NERC CIP-defined assets.

While the platform inventories its managed components, the determination of which specific assets *contain* a low impact BES Cyber System, as defined by NERC CIP Attachment 1, Section 3, remains a customer responsibility.

The customer must establish and implement processes to classify these identified virtual infrastructure components according to NERC CIP impact levels and maintain the definitive list of assets containing low impact BES Cyber Systems. The platform does not inherently understand or apply NERC CIP-specific asset classifications."
CIP-002-5.1a 2.1,GOV-03,"The Responsible Entity shall: [Violation Risk Factor: Lower] [Time Horizon: Operations
Planning]

2.2 Have its CIP Senior Manager or delegate approve the identifications
required by Requirement R1 at least once every 15 calendar months,
even if it has no identified items in Requirement R1.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
CIP-002-5.1a 2.2,GOV-03,"The Responsible Entity shall: [Violation Risk Factor: Lower] [Time Horizon: Operations
Planning]

2.2 Have its CIP Senior Manager or delegate approve the identifications
required by Requirement R1 at least once every 15 calendar months,
even if it has no identified items in Requirement R1.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
CIP-003-8 1.1,AST-01,"Each Responsible Entity shall review and obtain CIP Senior Manager approval at least
once every 15 calendar months for one or more documented cyber security policies
that collectively address the following topics: [Violation Risk Factor: Medium] [Time
Horizon: Operations Planning]
1.1. For its high impact and medium impact BES Cyber Systems, if any:
1.1.1. Personnel and training (CIP-004);
1.1.2. Electronic Security Perimeters (CIP-005) including Interactive Remote
Access;
1.1.3. Physical security of BES Cyber Systems (CIP-006);
1.1.4. System security management (CIP-007);
1.1.5. Incident reporting and response planning (CIP-008);
1.1.6. Recovery plans for BES Cyber Systems (CIP-009);
1.1.7. Configuration change management and vulnerability assessments (CIP010);
1.1.8. Information protection (CIP-011); and
1.1.9. Declaring and responding to CIP Exceptional Circumstances.",Contributes,"VMware Cloud Foundation (VCF) provides robust capabilities for IT Asset Management, forming a critical technical foundation for asset tracking and governance. VCF Operations groups logically discover and inventory compute, storage, and networking resources across the environment, offering detailed lists.

The Service Discovery adapter automatically identifies applications, services, and their associated metrics running on managed infrastructure, with export capabilities for integration into external asset tracking systems. For organizations utilizing ServiceNow, VCF offers direct integration paths through its Management Pack and Automation extensibility, populating and synchronizing the ServiceNow CMDB with discovered resources and supporting day-2 resource actions.

VCF Automation further enhances governance by linking users, catalog items, and IaaS resources through projects, applying policies to govern provisioned resources like VMs and Kubernetes clusters, and controlling access to management actions via tags and Day 2 Action policies.

While VCF delivers the technical infrastructure and data necessary for comprehensive asset management, the platform does not define or establish the overarching cybersecurity policies required by this control.

The responsibility for developing, documenting, and obtaining senior management approval for these policies, which collectively address personnel and training, electronic and physical security, system security management, incident response, recovery, configuration management, information protection, and exceptional circumstances, remains with the customer.

Establishing asset governance policies, defining ownership lifecycles, and maintaining organizational accountability are external program responsibilities."
CIP-003-8 1.1.1,HRS-01,"Each Responsible Entity shall review and obtain CIP Senior Manager approval at least
once every 15 calendar months for one or more documented cyber security policies
that collectively address the following topics: [Violation Risk Factor: Medium] [Time
Horizon: Operations Planning]
1.1. For its high impact and medium impact BES Cyber Systems, if any:
1.1.1. Personnel and training (CIP-004);
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
CIP-003-8 1.1.2,"IAC-01, NET-01","Each Responsible Entity shall review and obtain CIP Senior Manager approval at least
once every 15 calendar months for one or more documented cyber security policies
that collectively address the following topics: [Violation Risk Factor: Medium] [Time
Horizon: Operations Planning]
1.1. For its high impact and medium impact BES Cyber Systems, if any:
1.1.1. Personnel and training (CIP-004);
1.1.2. Electronic Security Perimeters (CIP-005) including Interactive Remote
Access;
1.1.3. Physical security of BES Cyber Systems (CIP-006);
1.1.4. System security management (CIP-007);
1.1.5. Incident reporting and response planning (CIP-008);
1.1.6. Recovery plans for BES Cyber Systems (CIP-009);
1.1.7. Configuration change management and vulnerability assessments (CIP010);
1.1.8. Information protection (CIP-011); and
1.1.9. Declaring and responding to CIP Exceptional Circumstances.",Contributes,"VMware Cloud Foundation provides a comprehensive architecture for establishing and governing Electronic Security Perimeters and managing Interactive Remote Access.

VCF SSO delivers centralized identity and access management, supporting identity federation with enterprise providers, multifactor authentication, and granular role-based access control across all platform components, including vCenter, SDDC Manager, NSX Manager, and Kubernetes workloads.

NSX, the networking component, enables centralized network policy management with administrative RBAC, robust network segmentation for critical traffic (management, vMotion, storage), and consistent security policies enforced via vSphere Distributed Switches. VMware vDefend extends these capabilities by providing the technical enforcement layer for network security controls, including Distributed Firewall policy management and identity-aware network enforcement through integration with Active Directory, applying firewall policies based on authenticated user identity.

VCF publishes security baselines and utilizes vSphere Lifecycle Manager to enforce desired-state configurations, preventing drift.

Solution users authenticate between VCF components using certificates for secure service-to-service communications.

While the platform provides the technical mechanisms to implement and enforce the requirements for Electronic Security Perimeters and Interactive Remote Access, the core requirement for a documented cyber security policy, its periodic review, and formal approval by a CIP Senior Manager remains an organizational responsibility. The development, documentation, and governance of these procedures are outside the scope of the platform's technical capabilities."
CIP-003-8 1.1.3,PES-01,"Each Responsible Entity shall review and obtain CIP Senior Manager approval at least
once every 15 calendar months for one or more documented cyber security policies
that collectively address the following topics: [Violation Risk Factor: Medium] [Time
Horizon: Operations Planning]
1.1. For its high impact and medium impact BES Cyber Systems, if any:

1.1.2. Electronic Security Perimeters (CIP-005) including Interactive Remote
Access;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
CIP-003-8 1.1.4,"GOV-01, SEA-01","Each Responsible Entity shall review and obtain CIP Senior Manager approval at least
once every 15 calendar months for one or more documented cyber security policies
that collectively address the following topics: [Violation Risk Factor: Medium] [Time
Horizon: Operations Planning]
1.1. For its high impact and medium impact BES Cyber Systems, if any:

1.1.4. System security management (CIP-007);
",Contributes,"VMware vDefend embeds secure engineering principles directly into its network security architecture, implementing zero-trust microsegmentation through the Distributed Firewall, defense-in-depth through layered controls spanning L2–L7, and least-privilege network access enforcement. This includes capabilities such as Gateway Firewall, IDS/IPS, malware prevention, URL filtering, and TLS inspection.

Security Intelligence recommends implementing structured security projects like Secure External Communications to protect workloads with inbound or outbound connections, reflecting a principled approach to network security design. The Security Engineer role within the Security Services Platform is formally defined to build, implement, and maintain security policies, supporting role-based separation of duties in security engineering activities. vDefend operationalizes these secure engineering principles within its network security domain, providing the technical foundation for robust system security management.

The platform does not generate or maintain the formal documented cybersecurity policies required by this control. The customer is responsible for developing, reviewing, and obtaining CIP Senior Manager approval for these policies at least every 15 calendar months.

Broader organizational secure systems engineering governance and integration into the Software Development Life Cycle (SDLC) also remain outside the scope of vDefend."
