SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
automation-9.activity-log,Automation,Retain the VCF Automation activity log for the audit window and keep debug output disabled.,P1,"CFG-03, MON-10","AIS-02.1, LOG-04.1"
automation-9.oidc-settings,Automation,Bound VCF Automation OIDC token lifetimes and keep redirect targets HTTPS-only.,P1,"CRY-03, IAC-10","CEK-03.1, DSP-10.1, IAM-14.1, IAM-15.1"
automation-9.timeouts,Automation,Limit the VCF Automation API token lifetime.,P1,IAC-10,"IAM-14.1, IAM-15.1"
esx-9.account-password-history,ESX,The ESX host must enforce password history for users.,P2,IAC-10.1,"IAM-13.1, IAM-13.2, IAM-14.1, IAM-15.1"
esx-9.ad-admin-group-autoadd,ESX,The ESX host must not automatically grant administrative permissions to Active Directory groups.,P2,"IAC-16, IAC-21","IAM-05.1, IAM-09.1, IAM-10.1, IAM-10.2, IAM-11.1, IAM-13.1, IAM-13.2"
esx-9.ad-admin-group-name,ESX,"The ESX host must not use the default ""ESX Admins"" Active Directory group.",P0,IAC-10.8,IAM-15.1
esx-9.ad-admin-validate-interval,ESX,The ESX host must not disable validation of users and groups.,P2,IAC-17,"IAM-08.1, IAM-09.1, IAM-10.1, IAM-10.2, IAM-11.1"
esx-9.ceip-disable,ESX,Disable the ESX Customer Experience Improvement Program.,P1,CFG-03,AIS-02.1
esx-9.cpu-hyperthread-warning,ESX,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,P2,MON-01.4,"LOG-03.1, LOG-03.2"
esx-9.deactivate-mob,ESX,The ESX Managed Object Browser (MOB) must be disabled.,P2,CFG-03,AIS-02.1
esx-9.deactivate-shell,ESX,The ESX Shell must be disabled.,P2,CFG-03,AIS-02.1
esx-9.entropy,ESX,The ESX host must use sufficient entropy for cryptographic operations.,P2,CRY-01,"CEK-01.1, CEK-01.2, CEK-02.1, CEK-03.1, CEK-04.1, DSP-10.1, LOG-11.1"
esx-9.firewall-restrict-access,ESX,Configure the ESX host firewall to only allow traffic from authorized networks.,P0,END-05,UEM-10.1
esx-9.forensic-snapshots,ESX,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,P2,CFG-03,AIS-02.1
esx-9.hardware-cpu-amd-cc,ESX,"Enable AMD SEV-ES and SEV-SNP in system firmware where available, and size the SEV ASID pool appropriately.",P1,CRY-01,"CEK-01.1, CEK-01.2, CEK-02.1, CEK-03.1, CEK-04.1, DSP-10.1, LOG-11.1"
esx-9.hardware-cpu-intel-cc,ESX,Enable Intel SGX and TDX in system firmware where available.,P1,CRY-01,"CEK-01.1, CEK-01.2, CEK-02.1, CEK-03.1, CEK-04.1, DSP-10.1, LOG-11.1"
esx-9.hardware-management-config-lock,ESX,Lock the hardware management controller configuration after provisioning.,P1,CHG-04,CCC-04.1
esx-9.hardware-management-security,ESX,Harden integrated hardware management controllers.,P0,"CFG-03, IAC-10.8","AIS-02.1, IAM-15.1"
esx-9.hardware-management-time,ESX,Synchronize hardware management controller time with organizational reference sources.,P0,SEA-20,LOG-06.1
