Control ID,SCF ID,Description,Aggregate Coverage,VCF Coverage,VCF Response,VMware vDefend Coverage,VMware vDefend Response,VCF Protection and Recovery Coverage,VCF Protection and Recovery Response,VMware Data Services Manager Coverage,VMware Data Services Manager Response,VMware Avi Load Balancer Coverage,VMware Avi Load Balancer Response
4.1.1,"GOV-01.1, GOV-04","Assumption of overall responsibility for information security: The topmost management level of every government agency and company is responsible for the or- ganisation working in a targeted and proper manner and is therefore also responsible for assuring in- formation security both on the inside and out. Depending on the country and type of organisation, this can also be governed by various laws.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.1.2,"GOV-01, GOV-01.1, PRM-01.1, PRM-03","Initiating, managing, and supervising information security: The topmost management level must initiate, manage and supervise the security process. This, for example, involves the following tasks: - • A strategy for information security and security objectives must be agreed upon and commu- nicated.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.1.3,"GOV-01, GOV-14, GOV-15, IRO-01, PRM-01, PRM-02","Integration of information security: Information security is a cross-sectional function and must therefore be integrated in all processes and projects of the organisation processing information. Examples of this include: - • project management: already in the planning phase of a project, the protection requirements of the information to be processed in the future as a result must be assessed and, building thereon, suitable security safeguards must be planned.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.1.4,"PRM-01, PRM-04, PRM-05, PRM-06",Setting objectives that can be achieved: Projects frequently fail because the objectives that have been set are unrealistic or too ambitious. This is no different in the field of information security.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.1.5,PRM-01,Pondering security costs against benefits: One of the most difficult tasks is to ponder the costs for information security against the benefits and risks. It is very important to initially invest in safeguards that are particularly effective or provide pro- tection against especially high risks.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.1.6,"GOV-04, GOV-04.1, GOV-04.2","Role model function: The management level must assume a role model function also when it comes to information security. Among other things, this includes that the management level takes into account all specified security rules, participates in training measures, and supports other managers regarding the execution of their role model function.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.2,"HRS-03.1, SAT-03.6, THR-03.1",Communication and knowledge: Communication is an important cornerstone regarding the achievement of the set security objectives in all phases of the security process. Misunderstandings and lack of knowledge are the most common causes for security issues.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.3,"GOV-01.1, GOV-01.2, GOV-05",Performance review within the security process: The management level must regularly check the performance and assess the security process (man- agement assessment). If required (e.g.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.4,"GOV-01.1, GOV-01.3","Continuous improvement of the security process: The results of the performance review must be used consistently to make appropriate corrections. This might mean that the security objectives, the security strategy, or the security concept must be changed and the security organisation must be adapted to the requirements.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5,"PRM-01, PRM-02","Resources for information security: Maintaining a particular level of security always requires financial, personnel, and time-related re- sources that must be made available in sufficient quantities by the management level. If set objectives cannot be achieved due to a lack of resources, it is not the fault of the persons responsible for the im- plementation, but rather the fault of the superiors who have set unrealistic objectives or have not pro- vided the necessary resources.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6,"HRS-01, HRS-01.1, HRS-02, HRS-03.1, SAT-01, SAT-01.1, SAT-02, SAT-03, SAT-03.6","Involving employees in the security process: Information security affects all employees without any exceptions. By acting responsibly and with quality awareness, every individual can avoid damages and contribute to success.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7,"PRM-01, PRM-01.1","The security process: The management level must define the security objectives knowing all of the relevant framework conditions, the environmental analysis, and based on the business objectives of the company or the role of the government agency and must create the prerequisites for their implementation. The ap- proach is planned with a security strategy to establish a continuous security process.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.1,GOV-01,"Planning of the security process: The creation of information security is not an end in itself, but information security contributes to the objectives of an organisation being achieved and being able to reliably execute business processes and tasks. For this, it is required that the organisation identifies and analyses all framework conditions, defines the security objectives, and draws up a security strategy containing basic statements on how the set objectives should be achieved.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
