Control ID,SCF ID,Description,Control Coverage,Response
1.1,"CFG-02, NET-01, NET-04, PRM-04, PRM-05, SEA-01.1",1.1 Processes and mechanisms for installing and maintaining network security controls are defined and understood.,Meets,"VMware Cloud Foundation (VCF) provides comprehensive capabilities for defining, implementing, and maintaining network security controls across the infrastructure stack.

VCF develops, documents, and maintains secure baseline configurations consistent with industry-accepted hardening standards, including the VCF Security Baseline, component hardening guides, and DISA Security Technical Implementation Guides (STIGs) with network-specific settings.

NSX, as the networking component, delivers centralized network policy management with role-based access control, allowing for the definition and enforcement of network segmentation, routing, and connectivity rules from a single management plane.

vSphere Distributed Switches provide centralized management of virtual networking, ensuring consistent VLAN configurations and security policies.

VCF Operations includes compliance scanning capabilities that evaluate infrastructure against baseline configurations, helping maintain consistent configurations and detect drift.

vSphere Lifecycle Manager enforces desired-state configuration for hosts, automatically remediating deviations that could weaken network security posture.

VCF Automation maintains Access Control Lists (ACLs) for object-level access control, complementing role-based access controls.

Audit logging captures all policy changes, providing a clear record of modifications to network security controls.


VMware Live Recovery: Contributes | VMware Live Recovery (VLR) provides configurable security baseline settings and documentation for its replication infrastructure, contributing to the definition and maintenance of network security controls within its specific domain. The product's TLS configuration is controlled through parameters that administrators can adjust to enforce stricter TLS requirements, and VLR documents specific network encryption requirements for replication traffic. This provides the technical specifications needed to develop and maintain secure baseline configurations for disaster recovery infrastructure.

The broader organizational processes for defining and understanding comprehensive network security controls, beyond the scope of replication infrastructure, remain a customer responsibility.


VMware vDefend: Contributes | VMware vDefend provides robust technical mechanisms for installing and maintaining network security controls within its domain, including structured configuration management capabilities, predefined security profiles, and configuration integrity controls. The Distributed Firewall supports draft configuration management with locking and comment requirements, while the Gateway Firewall offers predefined TLS Decryption Action Profiles representing vendor-defined baseline configurations.

The Security Services Platform validates configuration changes before implementation and supports backup and restore of configuration data.

vDefend provides the technical enforcement layer for Network Security Control (NSC) implementation, including Distributed Firewall policy management, security policy generation, and publishing to NSX Manager.

Security Intelligence observes traffic flows to generate granular, application-level policy recommendations, supporting the identification of authorized traffic and the move toward least-privilege rule sets.

While vDefend provides the technical capabilities and enforcement, the procedural and governance aspects of developing, updating, and managing NSC procedures, such as change management processes, periodic ACL reviews, and documentation of authorized flows, are organizational responsibilities that vDefend's technical capabilities support but do not fulfill on their own."
1.1.1,"GOV-02, GOV-03, OPS-01, OPS-01.1","1.1.1 All security policies and operational procedures that are identified in Requirement 1 are: 
 • Documented.
 • Kept up to date.
 • In use.
 • Known to all affected parties.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
1.1.2,"GOV-04, HRS-03, HRS-03.1, SAT-03, SAT-03.5","1.1.2 Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
1.2,"NET-01, SEA-01, SEA-02",1.2 Network security controls (NSCs) are configured and maintained.,Contributes,"VMware Cloud Foundation delivers comprehensive capabilities for configuring and maintaining network security controls across the infrastructure stack. NSX, the networking component, provides centralized network policy management with robust role-based access control, enabling delegation of security responsibilities through defined administrative roles such as VPC Admin, Security Admin, and Network Admin. Security policies are logically organized into categories like Infrastructure and Application to prevent conflicts and ensure governance across multiple administrators.

vSphere Distributed Switches centralize virtual networking management, ensuring consistent VLAN configurations and security policies across all hosts. Network segmentation is architecturally embedded, isolating management, vMotion (on non-routable networks), and storage traffic on dedicated networks.

VMware Cloud Foundation publishes security baselines through the Security Configuration Guide and DISA STIGs, which include specific network hardening settings, and vSphere Lifecycle Manager enforces desired-state configuration, automatically detecting and remediating any configuration drift that could compromise network security posture.

NSX VPC extends these controls to multi-tenant environments, allowing tenant administrators to configure their own network and security policies within isolated VPC boundaries, with all policy changes meticulously captured in audit logs detailing the user, module, operation, and result.

VMware vDefend provides the technical enforcement layer underpinning these network security controls, implementing zero-trust microsegmentation via the Distributed Firewall and defense-in-depth through layered L2–L7 controls, including Gateway Firewall, IDS/IPS, malware prevention, URL filtering, and TLS inspection.

The Security Services Platform enables users to generate and centrally publish associated security policies for infrastructure services and environments, supporting the governance of NSC deployment.

The Security Engineer role within the Security Services Platform is formally defined to build, implement, and maintain security policies, supporting role-based separation of duties in security engineering activities.

While VMware Cloud Foundation and vDefend provide the robust technical framework and enforcement mechanisms for network security controls, the organization remains responsible for establishing and maintaining the overarching procedural and governance aspects. This includes developing and updating formal NSC procedures, integrating secure systems engineering governance into the broader organizational SDLC, and defining the specific operational processes for ongoing policy management and incident response."
1.2.1,"CLD-01, CFG-02, CFG-02.5, NET-06, NET-08.1, SEA-03","1.2.1 Configuration standards for NSC rulesets are:
 • Defined.
 • Implemented.
 • Maintained.",Meets,"VMware Cloud Foundation (VCF) and VMware vDefend provide comprehensive capabilities to ensure configuration standards for network security controller (NSC) rulesets are defined, implemented, and maintained. VCF develops, documents, and maintains secure baseline configurations, including the VCF Security Baseline, component-specific hardening guides, and DISA STIGs, which serve as defined standards. VCF Operations includes compliance scanning capabilities that continuously evaluate infrastructure against these baselines and custom policies, identifying non-compliant objects and providing actionable remediation recommendations. Automated remediation actions can be configured to bring objects back into the expected configuration state, ensuring consistent implementation and maintenance.

VMware vDefend further contributes within its network security domain by providing structured configuration management, predefined security profiles, and configuration integrity controls. The vDefend Gateway Firewall offers vendor-defined baseline configurations through predefined TLS Decryption Action Profiles. The Distributed Firewall enforces microsegmentation policies at the vNIC level, implementing defined standards across workloads. Security Services Platform validates configuration changes before implementation, supports backup and restore of configuration data, and provides a Security Assessment capability to evaluate whether configurations meet expected security standards. Segmentation Monitoring continuously watches traffic for adherence to defined policies, ensuring ongoing maintenance of the security posture.

While VCF and vDefend provide robust technical mechanisms and pre-defined baselines, organizations are responsible for formally adopting, tailoring, and documenting these configuration standards to align with their specific risk posture and compliance requirements. Establishing internal policies and operational procedures for the lifecycle management of these standards, including review cycles and change management processes, is also a customer responsibility."
1.2.2,"CHG-01, CHG-02, CHG-02.1","1.2.2 All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.
 Applicability Notes
 Changes to network connections include the addition, removal, or modification of a connection. 
 Changes to NSC configurations include those related to the component itself as well as those affecting how it performs its security function.",Contributes,"VMware Cloud Foundation provides robust technical controls to ensure changes to network connections and security component configurations are approved and managed.

VCF Automation includes workflow capabilities with approval policies that require project administrators to review changes to deployed catalog instances before they take effect, and integrates with IT Service Management (ITSM) platforms for comprehensive change tracking and approval. Role-based access control across VCF components, NSX Manager, and Kubernetes environments restricts who can initiate configuration changes, enforcing authorization boundaries.

VMware vDefend further enhances this by offering policy locking for Distributed Firewall and Gateway Firewall TLS Inspection policies, preventing unauthorized concurrent modifications, and employs a deployment wizard that conducts thorough validations before implementing any configuration changes. Security Services Platform enforces immutability on published security policies, requiring defined workflows rather than direct edits, and supports staged policy enforcement for controlled transitions.

The platform actively manages configuration integrity through vSphere Lifecycle Manager (vLCM) and VCF Operations, which utilize desired-state configuration to maintain consistency, detect configuration drift from approved baselines, and offer automated remediation. VCF Operations tracks each configuration change to the authenticated user or scheduled job, and integrates configuration templates with source control repositories for versioning, auditing, and review-based change control.

VMware Live Recovery defines granular privilege levels that separate change authority across disaster recovery functions, generates audit log events for permission and configuration changes, and provides structured orchestrator workflows and scripting APIs for repeatable and auditable changes. vSphere Replication generates detailed configuration change events, and configuration modifications are performed through structured tools like hms-configtool and the DR IP Customizer, ensuring controlled and documented processes.

Audit logging across all VCF components captures change activity for accountability and review.

While the platform provides extensive technical mechanisms for enforcing approval, managing changes, detecting drift, and maintaining an audit trail, the organization is responsible for defining the overarching change control process (as referenced in Requirement 6.5.1), establishing specific approval workflows, integrating with their chosen ITSM platforms, and assigning human accountability for review and authorization."
1.2.3,"AST-04, AST-04.2, NET-02.2, NET-06, NET-08.1, NET-12.1","1.2.3 An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.
 Applicability Notes
 A current network diagram(s) or other technical or topological solution that identifies network connections and devices can be used to meet this requirement.",Meets,"VMware Cloud Foundation provides an end-to-end interactive network map within VCF Operations for Networks, which dynamically displays a detailed model of both physical and virtual devices, including connections between them. This map updates based on collected data, ensuring it reflects the current network topology. Flow Insights further visualizes and analyzes data flows using 5-tuple values, presenting application topology maps that illustrate traffic movement between application tiers, internet endpoints, and shared services. NSX network connectivity workflows and the vSphere Client also offer built-in topology visualizations, correlating configurations with resulting network architectures. The PCI Compliance page in VCF Operations for Networks specifically generates network flow diagrams showing data flows, firewall placement, and connections relevant to security documentation.

VMware vDefend Security Intelligence complements this with graphical visualizations of NSX components, virtual machines, and network traffic flows, which automatically refresh to reflect the current security posture and network state. It provides detailed flow information, including security group relationships and color-coded indicators for protected, unprotected, and blocked traffic. Network Detection and Response (NDR) extends this by visualizing correlated security events and threat activity across the network.

VMware Live Recovery contributes by maintaining detailed network mappings between protected and recovery sites, and provides tools to export networking configurations of protected virtual machines, ensuring that disaster recovery topologies and replication traffic paths are documented.

While these platforms provide robust, dynamic, and accurate technical and topological solutions for identifying network connections and data flows, the organization remains responsible for formally defining the boundaries of the Cardholder Data Environment (CDE) and other networks. The customer must also establish processes to integrate these dynamic technical representations into their formal compliance documentation and governance frameworks, ensuring that the scope of control applicability aligns with organizational policies."
1.2.4,"AST-04, NET-06, NET-08.1, TDA-02.1","1.2.4 An accurate data-flow diagram(s) is maintained that meets the following: 
 • Shows all account data flows across systems and networks.
 • Updated as needed upon changes to the environment.
 Applicability Notes
 A data-flow diagram(s) or other technical or topological solution that identifies flows of account data across systems and networks can be used to meet this requirement.",Contributes,"VMware Cloud Foundation, VMware Live Recovery, and VMware vDefend collectively provide a robust technical solution for visualizing and documenting data flows across systems and networks, ensuring accuracy and currency.

VCF Operations for Networks offers an interactive network map that dynamically updates to reflect the current physical and virtual topology, alongside Flow Insights for visualizing and analyzing 5-tuple flow data and application topology maps. NSX and vSphere Client provide built-in topology visualizations, and the PCI Compliance page within VCF Operations for Networks generates network flow diagrams.

VMware Live Recovery contributes by maintaining detailed network mappings between protected and recovery sites, including test network configurations, and offers tools to export these networking configurations for virtual machines.

VMware vDefend Security Intelligence generates live, interactive visualizations of network traffic patterns, security group relationships, and firewall rule coverage, automatically refreshing to reflect changes in the environment. It provides detailed flow information, including Layer 7 application IDs and FQDNs, and visually distinguishes between protected, unprotected, and blocked traffic. Network Detection and Response further enhances this with Campaign Blueprint, an interactive graphical representation of correlated security events and threat activity.

These capabilities directly address the requirement for a technical or topological solution that identifies data flows and is updated as needed.

The ultimate responsibility for formally maintaining these data flow diagrams or technical solutions, defining what constitutes ""account data"" within the organization's context, and ensuring the tools are configured to capture and present all relevant account data flows rests with the customer. The platforms provide the authoritative data and visualization mechanisms, but the organizational process of adopting, validating, and utilizing these outputs as the official record for compliance purposes is a customer obligation."
1.2.5,"CFG-03, NET-06, NET-08.1, TDA-02.5, TPM-04.2","1.2.5 All services, protocols and ports allowed are identified, approved, and have a defined business need.",Contributes,"VMware Cloud Foundation provides robust mechanisms to identify and restrict services, protocols, and ports. ESX hosts incorporate a built-in firewall that controls access to services and ports, supporting specification of allowed hosts and individual service management. Lockdown mode further restricts host access, centralizing management through vCenter. At the network layer, VCF leverages distributed switches with port group security policies and VLANs to control traffic flow and establish communication boundaries. VCF Operations includes Service Discovery to monitor connections, identify listening ports, and map application relationships, providing visibility into active usage. It also offers live data-flow diagramming and an API for recommended firewall rules, aiding in documenting communication patterns. VCF publishes its own port and protocol requirements, serving as a reference for necessary network connectivity.

VMware vDefend extends these capabilities by providing the primary enforcement mechanism for least functionality at the network layer. The vDefend Distributed Firewall operates at the vNIC level, enforcing granular rules that specify allowed ports, protocols, and services, including Layer 2 through Layer 7 filtering based on application identity. Rule optimization analysis identifies overly permissive rules, and governance recommendations explicitly warn against broad allowances.

The Gateway Firewall provides similar allow/drop/reject actions at the perimeter of logical network segments, restricting external access. Security Intelligence visualizes flow details, flags uncommonly used ports, and provides policy recommendations based on observed traffic.

Port Profiler and Server Port Profiler detectors identify unusual or undocumented port usage by any entity, including external service providers. vDefend IDS/IPS inspects traffic for attack signatures, and Network Detection and Response (NDR) correlates events to identify multi-stage attack campaigns, providing continuous monitoring and threat detection for allowed communications.

VMware Live Site Recovery documents its specific network port and protocol requirements, including dedicated VMkernel adapters for replication traffic, providing clear guidelines for necessary connectivity.

While the VMware platforms provide comprehensive technical tools for identifying, restricting, and monitoring services, protocols, and ports, the ultimate responsibility for formal approval, defining the business need for each allowed communication, and maintaining associated documentation rests with the customer. The platforms cannot independently establish organizational policies, contractual requirements for external service providers, or the governance processes necessary to formally justify and approve network access. These aspects require customer-defined governance, risk, and compliance processes to ensure all allowed services, protocols, and ports are formally identified, approved, and have a documented business need."
1.2.6,"CFG-02, CFG-03, NET-06, NET-08.1, RSK-06.2, TDA-02.6","1.2.6 Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.",Meets,"VMware Cloud Foundation establishes a robust foundation for defining and implementing security features for services, protocols, and ports. It provides secure baseline configurations through the VCF Security Baseline, component hardening guides, and DISA STIGs.

VCF implements least functionality principles by enabling ESX host firewalls, allowing individual service control (e.g., SSH), enforcing lockdown mode, and supporting the disabling of unexposed features. Network-level controls include distributed switch port group security policies, isolation of management traffic on dedicated networks, and automatic firewall rule configuration for services like vSAN.

VCF Operations supports firewall hardening and collects security properties to ensure consistent configuration. Furthermore, VCF enforces TLS for management API connections and provides mechanisms to mitigate risks from insecure ports and protocols through port group security policies and the removal of unused port groups.

VMware vDefend significantly extends these capabilities by providing granular, application-aware enforcement and active identification of insecure communication.

vDefend explicitly identifies insecure protocols such as HTTP, Telnet, and FTP, tracking workloads exposed to them through metrics like ""Workloads without Obsolete OS and Risky Protocols."" Its Security Intelligence offers protocol and port-based traffic flow analysis, generating policy recommendations to restrict or exclude insecure port and protocol combinations. The Port Profiler and Server Port Profiler detectors identify anomalous port usage, signaling potential insecure configurations or unauthorized activity.

The vDefend Distributed Firewall operates at the vNIC level, enforcing Layer 2 through Layer 7 rules that permit only essential ports and protocols, effectively microsegmenting workloads to block insecure services. The Gateway Firewall provides similar enforcement at network perimeters.

vDefend also includes IDS/IPS, malware prevention, URL filtering, and TLS inspection as direct security features, and its rule optimization analysis helps eliminate overly permissive rules, ensuring policies align with a least-privilege security model. Intelligent Assist further aids in creating targeted remediation policies to stop attacks, functioning as a technical compensating countermeasure."
