Control ID,SCF ID,Description,Control Coverage,Response,,,,,,,,,,,,,,,,,,,,,
164.306(a)(1),"GOV-01, GOV-15, GOV-15.1, GOV-15.2, GOV-15.3, GOV-15.4, GOV-15.5","General requirements. Covered entities and business associates must do the following:

Ensure the confidentiality, integrity, and availability of all electronic protected health information the covered entity or business associate creates, receives, maintains, or transmits
",Contributes,"VMware Cloud Foundation provides the foundational infrastructure for ensuring the confidentiality, integrity, and availability of electronic protected health information. VCF Operations continuously monitors the infrastructure for compliance drift, surfacing non-compliant objects and associated violations through dashboards and alerts. Administrators define monitoring policies, customizing settings per object to tailor monitoring to specific risk profiles. Platform operators configure alerts, perform log analysis, troubleshoot, and run diagnostics and health checks across the VCF environment.

VCF Operations for Logs aggregates log data from vCenter and ESX hosts, providing searchable dashboards and analytics for asset owners. VCF Automation adds resource usage monitoring and permission controls through its Organizations model, enforcing governance boundaries. On the user security side, VCF Operations supports continuous monitoring of user access patterns to detect security risks and verify appropriate access levels, with role-based access in vCenter allowing delegation of monitoring responsibilities.

Complementing this, VMware vDefend's Security Intelligence delivers continuous network-level monitoring through flow visualization, anomaly detection, and Network Detection and Response (NDR) capabilities, supporting ongoing assessment of control effectiveness for in-scope workloads and services. IDS/IPS and Advanced Threat Prevention (ATP) continuously monitor network traffic for threats, while Intelligent Assist provides event management to track investigation status and support structured response workflows. The Admin Dashboard and Intelligent Assist integrate with IDS/IPS, Detections, and Campaigns pages to surface security events and support analyst workflows for ongoing monitoring.

While these capabilities provide robust technical tools for monitoring assets for threats, misconfigurations, and control failures at both the infrastructure and network layers, the overarching organizational policies that mandate such monitoring, define its cadence, and establish accountability structures are governance responsibilities that reside with the customer. Furthermore, broader program-level monitoring activities, including policy reviews, vendor assessments, and audit scheduling, fall outside the scope of these technical platforms.",,,,,,,,,,,,,,,,,,,,,
164.306(a)(2),GOV-01,"General requirements. Covered entities and business associates must do the following:


Protect against any reasonably anticipated threats or hazards to the security or integrity of such information.

",Not Applicable,"VCF establishes a robust, secure infrastructure foundation, incorporating security best practices, hardening, and continuous patching to mitigate known vulnerabilities and reduce the attack surface. It provides a secure environment for workloads, ensuring the integrity and availability of the underlying platform components.

The platform does not perform threat intelligence, risk assessments, or define the customer's overall security governance program. Establishing processes for identifying reasonably anticipated threats, conducting risk analyses, and implementing comprehensive organizational policies and procedures to protect against these threats remains the customer's responsibility. The customer must define and maintain their security governance program, including threat anticipation and response strategies, which operate within and leverage the secure VCF infrastructure.",,,,,,,,,,,,,,,,,,,,,
164.306(a)(3),"GOV-01, DCH-01, RSK-01","General requirements. Covered entities and business associates must do the following:

Protect against any reasonably anticipated uses or disclosures of such information that are not permitted or required under subpart E of this part.",Contributes,"VMware Cloud Foundation provides comprehensive technical controls to protect against unauthorized uses and disclosures of information. Data at rest is secured through vSAN encryption and VM Encryption, both leveraging FIPS 140-3 validated cryptographic modules and integrating with external key management systems. Data in transit between VCF components is protected by TLS, and vSphere Replication encrypts replication traffic between sites.

VMware vDefend enforces microsegmentation policies at the vNIC level via the Distributed Firewall, restricting network access to data stores and application tiers based on workload identity and security tags, thereby limiting the blast radius of potential compromises and preventing lateral movement. Security Intelligence identifies risky clear text protocols and detects anomalous traffic patterns indicative of data exfiltration, while vDefend IDS/IPS inspects east-west traffic for data theft signatures and Malware Prevention analyzes files for malicious payloads.

Data resiliency is ensured through vSAN data protection, VMware Live Site Recovery for orchestrated disaster recovery, and VMware Kubernetes Service data protection built on Velero, providing robust backup, replication, and recovery capabilities with configurable RPOs and retention rules. Access to operational data within VCF Operations is controlled through privilege-based access controls, restricting visibility based on user roles.

While the platform provides the technical mechanisms to enforce protection, the organization remains responsible for defining what constitutes ""permitted or required"" uses and disclosures of information. This includes establishing comprehensive information security policies, procedures, and an overarching program to govern data handling, access provisioning, risk assessments, and incident response. The customer must also identify and document ""reasonably anticipated"" threats and vulnerabilities to inform the configuration and ongoing management of these protective controls.",,,,,,,,,,,,,,,,,,,,,
164.306(b)(1),"GOV-09, GOV-15, SEA-01, SEA-02, SEA-03",Covered entities and business associates may use any security measures that allow the covered entity or business associate to reasonably and appropriately implement the standards and implementation specifications as specified in this subpart.,Contributes,"VMware Cloud Foundation (VCF) provides a comprehensive, layered security architecture designed to enable the reasonable and appropriate implementation of diverse security measures.

At the infrastructure layer, ESX hosts support TPM-based measured boot and attestation, alongside UEFI Secure Boot for firmware and hypervisor integrity.

The hypervisor and storage layers offer vSAN data-at-rest encryption and VM encryption, operating independently of guest operating systems.

Network security is delivered through NSX, providing software-defined networking, overlay-backed segments, network profiles for isolation, and NSX Projects for departmental separation.

Identity and access management are centralized via VCF SSO and granular Role-Based Access Control (RBAC) across all components, with the VMware Certificate Authority (VMCA) handling service-to-service authentication.

All management interfaces and API endpoints utilize TLS encryption, with configurable protocol versions and cipher suites.

Furthermore, VCF includes a Security Baseline, a security dashboard, and component-specific Security Configuration Guides to aid in compliance and hardening.

VMware vDefend extends VCF's capabilities by operationalizing secure engineering principles within its network security domain, implementing a defense-in-depth strategy with multiple independent layers.

The Distributed Firewall provides hypervisor-level Layer 2 through Layer 7 traffic inspection and microsegmentation, enforcing policies at the vNIC regardless of guest OS state.

The Deep Packet Inspection (DPI) engine independently identifies applications for Layer 7 rule matching.

Threat detection is enhanced with IDS/IPS for signature-based and behavioral analysis, and Advanced Threat Prevention (ATP) for malware sandboxing, both operating independently of firewall policies.

Security Intelligence and the Security Services Platform offer traffic flow analysis, posture assessment, and policy lifecycle management, enabling structured segmentation planning and verification.

Each of these layers operates independently, ensuring that a failure or misconfiguration in one layer does not compromise the effectiveness of others.

While VCF and vDefend provide a robust and flexible suite of technical security measures, the covered entity remains responsible for defining what constitutes ""reasonable and appropriate"" implementation based on their specific risk profile and regulatory obligations.

This includes establishing organizational security policies, integrating secure systems engineering governance into their broader SDLC, and ensuring human accountability through formally defined roles and responsibilities for security engineering activities.

The platform provides the tools; the customer must define and enforce the overarching strategy and processes.",,,,,,,,,,,,,,,,,,,,,
164.306(b)(2)(i),"GOV-08, PRM-06","In deciding which security measures to use, a covered entity or business associate must take into account the following factors:

The size, complexity, and capabilities of the covered entity or business associate.

",Not Applicable,"The VCF platform delivers a standardized, secure, and hardened infrastructure foundation, incorporating a comprehensive suite of integrated security controls and best practices. These inherent capabilities establish a robust baseline for security measures within the environment.

However, the platform does not automate or directly participate in the organizational-level decision-making process for selecting security measures. The responsibility for evaluating the organization's specific size, complexity, and capabilities, and subsequently determining the appropriate security measures to implement across the entire enterprise, remains with the customer. This includes defining the governance framework and risk management processes that inform such decisions.",,,,,,,,,,,,,,,,,,,,,
164.306(d)(3)(i),"CPL-02, CPL-03, CPL-03.2","When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity or business associate must-

Assess whether each implementation specification is a reasonable and appropriate safeguard in its environment, when analyzed with reference to the likely contribution to protecting electronic protected health information; and

",Contributes,"VMware Cloud Foundation (VCF) Operations provides comprehensive compliance management capabilities, continuously monitoring infrastructure against industry-standard security benchmarks and custom policies. It calculates a compliance score for managed objects, identifying non-compliant configurations and enabling administrators to review violations and take remedial action. Organizations define custom compliance benchmarks to codify their cybersecurity and data protection policies, ensuring consistent enforcement across deployments. At the host layer, vSphere Configuration Profiles and vSphere Lifecycle Manager assess ESX host configurations against approved baselines, detecting and remediating drift. NSX also provides compliance status reporting for network configurations. These mechanisms verify that infrastructure configurations align with desired baselines and meet compliance benchmarks, providing essential data for assessing the appropriateness of safeguards.

VMware vDefend further enhances this by providing network security-specific compliance assessment, policy analysis, and segmentation scoring. The Security Services Platform includes a Security Segmentation score and report generation, offering a quantitative measure of microsegmentation policy enforcement. Its metrics service collects key performance indicators across vDefend components, forming a robust data foundation for ongoing compliance reviews. Security Intelligence offers policy recommendation analysis, comparing recommended rules against current NSX inventory to identify gaps between desired and actual security policy, directly supporting the assessment of network security safeguard reasonableness and appropriateness. The Threat Event Monitoring dashboard provides consolidated visibility into security issues and policy violations, creating an evidence trail for compliance reviews.

While these platforms provide extensive technical tools and data for assessing safeguard configurations and effectiveness, the ultimate determination of whether an implementation specification is a reasonable and appropriate safeguard in a specific environment, particularly for addressable specifications, requires organizational policy definition, risk-based decision-making, and periodic functional validation beyond automated configuration checks.",,,,,,,,,,,,,,,,,,,,,
164.306(d)(3)(ii)(A),GOV-15.2,"When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity or business associate must-

As applicable to the covered entity or business associate-

Implement the implementation specification if reasonable and appropriate; or
",Not Applicable,"VCF delivers a robust, secure infrastructure foundation designed to support the technical implementation of various security controls. The platform provides the underlying capabilities for standards such as access control, audit logging, and data protection.

However, VCF does not perform the organizational assessment or risk analysis required to determine the reasonableness and appropriateness of addressable implementation specifications for a covered entity or business associate. The evaluation and decision-making process for adopting or documenting alternatives for addressable specifications remains a direct responsibility of the customer, encompassing their specific operational context, risk posture, and policy framework.",,,,,,,,,,,,,,,,,,,,,
164.306(d)(3)(ii)(B)(1),GOV-02.1,"When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity or business associate must-

As applicable to the covered entity or business associate-

If implementing the implementation specification is not reasonable and appropriate:

Document why it would not be reasonable and appropriate to implement the implementation specification; 
",Not Applicable,"The control requires the documentation of rationale for not implementing addressable implementation specifications. This is a governance and policy-level activity that involves organizational decision-making, risk assessment, and formal documentation processes.

VCF provides the underlying cloud infrastructure and its associated technical controls, but it does not perform or automate the creation of policy documents, risk justifications, or the formal recording of decisions regarding the applicability and implementation of regulatory requirements.

The responsibility for establishing and documenting the rationale for addressable implementation specifications, including the justification for non-implementation, rests entirely with the customer.",,,,,,,,,,,,,,,,,,,,,
164.306(d)(3)(ii)(B)(2),RSK-06.2,"When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity or business associate must-

As applicable to the covered entity or business associate-

If implementing the implementation specification is not reasonable and appropriate-

Implement an equivalent alternative measure if reasonable and appropriate.

",Contributes,"VMware vDefend directly implements technical compensating countermeasures at the network layer through Distributed Firewall microsegmentation, IDS/IPS, malware prevention, URL filtering, and TLS inspection. These capabilities inherently reduce risk exposure and limit the impact of threats. Intelligent Assist further recommends and enables the creation of targeted or comprehensive remediation policies, which function as compensating controls when primary preventive measures are insufficient, effectively stopping attacks such as lateral propagation.

The activation of these remediation policies requires manual enablement following administrator due diligence and verification, necessitating human oversight.

Organizational risk governance and the formal documentation of compensating controls remain outside the platform's scope. Customers are responsible for establishing the processes to determine when primary implementation specifications are not reasonable and appropriate, and for the formal documentation and activation of equivalent alternative measures.",,,,,,,,,,,,,,,,,,,,,
164.306(e),CPL-03.2,"When a standard adopted in § 164.308, § 164.310, § 164.312, § 164.314, or § 164.316 includes addressable implementation specifications, a covered entity or business associate must-

Maintenance. A covered entity or business associate must review and modify the security measures implemented under this subpart as needed to continue provision of reasonable and appropriate protection of electronic protected health information, and update documentation of such security measures in accordance with § 164.316(b)(2)(iii).",Contributes,"VMware Cloud Foundation (VCF) provides robust mechanisms for the continuous review of technology assets, ensuring adherence to established cybersecurity and data protection policies.

VCF Operations includes comprehensive compliance management capabilities that monitor the infrastructure against industry-standard security benchmarks and custom organizational policies. It calculates a compliance score for managed objects, highlighting non-compliant assets and associated violations, thereby streamlining the identification of areas requiring attention. Organizations can define and implement custom compliance benchmarks, ensuring consistent policy enforcement across multiple deployments.

At the host layer, vSphere Configuration Profiles and vSphere Lifecycle Manager continuously assess ESX host configurations against approved baselines, detecting and alerting administrators to configuration drift, with options for automated remediation. NSX further extends this by providing its own compliance status reporting, detailing non-compliant configurations by standard, resource, and specific codes. These capabilities collectively verify that infrastructure configurations align with desired baselines and meet defined compliance benchmarks.

VMware vDefend complements these capabilities by contributing to the functional review of cybersecurity controls, specifically within the network security domain.

The Security Services Platform offers a Security Segmentation score and report generation, enabling compliance officers to assess and demonstrate adherence to network security best practices. Its metrics service collects key performance indicators and operational data from Distributed Firewall, Gateway Firewall, Intrusion Detection and Prevention System, and TLS inspection, forming a data foundation for ongoing compliance reviews.

Security Intelligence provides policy recommendation analysis, comparing suggested rules, groups, and services against the current NSX inventory to identify gaps between desired and actual security policy. Administrators utilize the Monitor & Plan interface to review and manage these recommendations, pinpointing where current firewall rules may diverge from optimal traffic patterns.

The Threat Event Monitoring dashboard within Security Services Platform offers consolidated visibility into security issues, detected threats, and policy violations, creating an auditable evidence trail. The platform's operational model inherently supports an iterative review cycle, advising administrators to monitor traffic and refine policies post-publication. A dedicated Auditor role within Security Services Platform's role-based access control facilitates independent compliance and security reviews.

While the platform provides extensive technical tools for reviewing configuration states, assessing network security posture, and identifying potential policy gaps or non-compliance, the ultimate responsibility for defining organizational cybersecurity and data protection policies, performing periodic functional validation of security controls, making decisions regarding necessary modifications, and formally updating documentation of security measures rests with the customer. The platform identifies areas for review and modification, but the human judgment, policy refinement, and formal documentation updates are external organizational processes.",,,,,,,,,,,,,,,,,,,,,
