Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
Overarching Security Measures,,, , , ,,,,,,,,,,,,,,,,,,,
M1.01,"AST-02, NET-03",Providers shall maintain accurate records of all externally-facing systems.,"3(3)(c),(d),(e); 3(4); 3(5); 4(4)(b); 6(4); 8(3)","VCF/TCP provides API integration support for third-party tools including IT asset management (ITAM) systems, configuration management databases (CMDB), and security assessment tools. The VCF Operations suite, which includes VCF Operations for Networks, VCF Operations for Logs, and VCF Operations, works with VMware vDefend to deliver security assessment and continuous monitoring. VCF Operations for Networks specifically discovers and maps all externally-facing systems and their traffic flows, providing a real-time view of the infrastructure and its dependencies. Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs. VCF/TCP supports VMware APIs for Data Protection (VADP) for third-party backup integration.",Contributes,,,,,,,,,,,,,,,,,,,
M1.02,"VPM-07, IAO-02","Security testing on externally-facing systems, excluding CPE, should normally be performed at least every two years, and in any case shortly after a significant change occurs.","3(3)(a)(iv); 3(3)(c),(d),(e); 3(5); 4(4)(b); 8(3); 14","While the formal process of security testing is an organizational responsibility, VCF/TCP provides integrated tools to support this requirement. The VMware vDefend Distributed Firewall includes an Intrusion Detection System/Intrusion Prevention System (IDS/IPS) that performs continuous assessment of externally-facing systems. This engine uses signature-based detection to identify known attack patterns and anomaly-based detection to identify suspicious activity that could indicate an unknown or zero-day threat. This provides a continuous, automated layer of security testing in addition to periodic manual assessments.",Contributes,,,,,,,,,,,,,,,,,,,
M1.03,"NET-08.1, NET-06.3, NET-03.7",Equipment in the exposed edge shall not host sensitive data or security critical functions.,"3(3)(a),(d); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b)","This is primarily an architectural and organizational policy that VCF/TCP directly enables. VCF/TCP's Workload Domain architecture allows providers to create logically and often physically separate infrastructure pools. A provider would deploy their ""exposed edge"" services into a dedicated Edge Workload Domain, while ensuring that ""security critical functions"" (like vCenter, NSX Manager, and VCF Operations) reside in the separate, highly secured Management Domain. VMware vDefend and NSX then enforce strict, ""default-deny"" firewall policies to isolate the Management Domain, preventing the edge from accessing or hosting sensitive data and functions.",Contributes,,,,,,,,,,,,,,,,,,,
M1.04,"NET-06, NET-03.7",Physical and logical separation shall be implemented between the exposed edge and security critical functions. Note that this measure may not be necessary once datasets and functions can be cryptographically-protected from compromise.,"3(3)(c),(d),(e); 3(5); 4(4)(b)","VCF/TCP achieves this separation using a multi-layered approach. Logical separation is enforced by the VMware vDefend Distributed Firewall, which applies distributed, stateful firewalling and zero-trust policies to isolate the exposed edge from critical functions, regardless of their physical location. Physical separation is enabled through the Workload Domain architecture. Providers can deploy critical functions (like the VCF Management Domain) on a dedicated cluster of hosts, while edge services run on a separate physical cluster, ensuring no shared hardware or ""blast radius.""",Contributes,,,,,,,,,,,,,,,,,,,
M1.05,"NET-03, NET-03.7",Security boundaries shall exist between the exposed edge and critical or sensitive functions that implement protective measures.,"3(3)(c),(d); 3(5); 4(4)(b)","VCF/TCP establishes robust security boundaries using VMware vDefend and NSX Edge Gateways. The vDefend Gateway Firewall acts as the primary North-South security boundary, providing stateful inspection, NAT, and VPN capabilities. Behind this, the VMware vDefend Distributed Firewall (DFW) provides granular, east-west firewalling, creating a ""default-deny"" internal security boundary that isolates every workload. This ensures that even if the edge is compromised, lateral movement to critical functions is blocked by this internal boundary.",Contributes,,,,,,,,,,,,,,,,,,,
M1.06,"NET-06, NET-03.7","Equipment in the exposed edge shall not be able to impact operation or routing within the core network. As an example, the exposed edge shall not be a PE-node within the provider's IP Core.","3(3)(c),(d); 3(5); 4(4)(b)","This is an architectural principle that VCF/TCP's networking model supports. The ""exposed edge"" services (e.g., customer-facing VMs or CNFs) run as workloads on the VCF/TCP; they are not VCF/TCP's routing infrastructure itself. VCF/TCP's core network routing is managed by NSX Edge Nodes, which act as the provider's PE-nodes (or connect to them). These Edge Nodes are part of the secured infrastructure, logically separate from the workloads. By using vDefend firewall rules, the provider can ensure that workloads in the exposed edge domain cannot access or interact with the management interfaces of the NSX Edge Nodes, preventing them from impacting core network routing.",Contributes,,,,,,,,,,,,,,,,,,,
Management Plane 1,,, , , ,,,,,,,,,,,,,,,,,,,
M2.01,"IAC-17, IAC-15",Privileged user access rights shall be regularly reviewed and updated as part of business-as-usual management. This shall include updating privileged user rights in line with any relevant changes to roles and responsibilities within the organisation.,"8(4); 8(5)(a),(b),(e); 11(a)","While the business process for performing access reviews is an organizational responsibility, VCF/TCP provides the centralized visibility and logging required to conduct them effectively. VCF SSO and identity federation centralize authentication, allowing administrators to review all assigned roles and permissions for users and groups directly within the vCenter Client. To support this review, the VCF Operations Audit Events framework and VCF Operations for Logs capture detailed information on privileged user activity, including logins, configuration changes, and API calls. This data can be forwarded to external SIEM systems or analyzed within VCF Operations to generate reports, enabling auditors to verify that user access aligns with their documented roles and responsibilities.",Contributes,,,,,,,,,,,,,,,,,,,
M2.02,"MON-03.3, IAC-21.4",All privileged access shall be logged.,"4(4)(b); 6(2)(a),(b); 6(3)(a),(b); 8(5)(a); 8(5)(d)(i),(ii)","VCF/TCP logs all privileged access. VCF SSO logs all successful and failed authentication attempts. The VCF Operations Audit Events framework and Kubernetes audit logging then capture all subsequent privileged actions, including API calls, configuration modifications, and user-driven tasks. These logs are attributable to unique users and can be viewed in the vSphere Client or forwarded via syslog to VCF Operations for Logs for centralized retention and analysis.",Meets,,,,,,,,,,,,,,,,,,,
