SCG ID,Secure Controls Framework ID,DISA STIG ID,PCI DSS 4.0.1 ID,NIST 800-53R5 ID,Component Name,Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,Implementation Priority,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
automation-9.activity-log,"MON-10, CFG-03",N/A,10.5.1,"AU-11, CM-07",Automation,9.1.0,Base,Retain the VCF Automation activity log for the audit window and keep debug output disabled.,"VCF Automation's activity log records administrative and tenant actions taken through the platform: who did what, to what, and when. It is the audit trail for changes made through VCF Automation. Log history retention controls how many days entries are kept before they are purged; if it is shorter than the window your investigations and audit obligations require, the record of an action can be gone before anyone looks for it, so set it to cover that window. A separate setting limits only how far back the on-screen view reaches and does not affect retention. Display of debug information adds internal paths and configuration detail to the log output; left disabled, as it ships, the log does not expose that internal detail to whoever can read it.

Not applicable if VCF Automation is not deployed.","Extending activity-log retention keeps the record of administrative and tenant actions available for later investigation, bounded by the storage the log consumes. Too short a retention purges the audit trail before a change can be reviewed. Enabling debug output places internal path and configuration detail into the log, widening what a reader of the log can learn about the system.",P1,N/A,Log history retained 90 days; debug information display disabled,Log history retained to cover the organization's audit-retention requirement (longer than the default); debug information display disabled,NO,Modify,UI: VCF Automation Provider interface > Administration > General Settings,N/A,N/A
automation-9.oidc-settings,"IAC-10, CRY-03",N/A,4.2.1,"IA-05, SC-08",Automation,9.1.0,Base,Bound VCF Automation OIDC token lifetimes and keep redirect targets HTTPS-only.,"When VCF Automation federates authentication to an OpenID Connect (OIDC) identity provider, these settings govern the lifetimes of the tokens it issues and which callback URLs it will return them to. The access token lifetime sets how long an issued access token is accepted; keep it aligned with the access-token and session lifetimes used elsewhere in the environment so a captured access token does not outlive its peers. The refresh token lifetime sets how long a refresh token can be used to obtain new access tokens without re-authenticating, so a longer refresh lifetime means a stolen refresh token keeps yielding fresh access tokens for that period. The redirect URL policy controls which callback URLs the service will return tokens to; restricting it to HTTPS-only targets, as it ships, keeps authorization responses from being sent to an unencrypted endpoint where they could be intercepted.

Not applicable if VCF Automation is not deployed or OIDC federation is not configured.","Shorter access and refresh token lifetimes cause clients to obtain new tokens and re-authenticate more often; set them short enough to limit the reuse window of a captured token but long enough not to disrupt federated logins and integrations. Allowing non-HTTPS redirect URLs, or leaving token lifetimes long, widens the window and the channel through which an OIDC token could be captured and replayed.",P1,"Access Token Lifetime, Refresh Token Lifetime, Redirect URL Policy",Access token lifetime 3600 seconds; refresh token lifetime 604800 seconds; redirect URL policy HTTPS-only,Access token lifetime 900 seconds; refresh token lifetime 86400 seconds; redirect URL policy HTTPS-only,NO,Modify,UI: VCF Automation Provider interface > Administration > OIDC Services > General Settings,N/A,N/A
automation-9.operation-limits,CAP-02,VCFA-9X-000104,N/A,"SC-05, SC-06",Automation,9.1.0,Base,Configure operation limits in VCF Automation to bound resource-intensive operations.,"VCF Automation lets tenants invoke resource-intensive operations (deployments, deletions, large catalog actions) on shared infrastructure. Without explicit per-operation limits, a misbehaving or malicious tenant can saturate the orchestration plane or the downstream targets it manages. That saturation is a denial-of-service against other tenants of the platform. Configure each resource-intensive operation limit to a bounded value rather than leaving it unlimited.

Not applicable if VCF Automation is not deployed.",Legitimate large-scale automation jobs may be slowed or rejected when the operation limit is reached. Tune the limits upward where heavy workloads are expected rather than reverting to unlimited. Leaving operation limits unlimited preserves the saturation risk this control closes.,P0,N/A,Unlimited (for some operation types),Each Operation Limit set to a bounded value (between 1 and 100000); none configured as unlimited,NO,Modify,UI: VCF Automation Provider interface > Administration > General Settings > Operation Limits,N/A,N/A
automation-9.timeouts,IAC-10,N/A,8.2.8,"IA-05, IA-05(01)",Automation,9.1.0,Base,Limit the VCF Automation API token lifetime.,"VCF Automation issues API tokens for programmatic access, and the API token lifetime caps how long an issued token remains valid. The default is long enough that a token captured from a script, a log, a CI system, or a backup stays usable to an attacker for an extended period, and a value of 0 removes the limit entirely so the token never expires. Set it to a bounded, finite value: the shortest maximum that still meets the needs of the integrations that depend on API tokens, and never 0.

The section's other settings (host refresh frequency, host hung timeout, and transfer session timeout) tune host-health polling and upload-task handling. They are operational timeouts, not security controls, so this control addresses only the API token lifetime.

Not applicable if VCF Automation is not deployed.","Shorter API token lifetimes mean integrations renew their tokens more often; set the value short enough to limit the reuse window of a captured token but long enough not to break automated workflows. A long lifetime, or 0 (unlimited), leaves a captured token usable indefinitely.",P1,API Token Lifetime,API token lifetime 129600 minutes (90 days),"API token lifetime set to a bounded, finite value (not 0, which is unlimited), reduced to the shortest maximum that meets operational needs",NO,Modify,UI: VCF Automation Provider interface > Administration > General Settings > Timeouts,N/A,N/A
esx-9.account-lockout-duration,IAC-22,VCFE-9X-000108,8.3.4,AC-07,ESX,9.1.0,Base,The ESX host must enforce an unlock timeout.,This setting controls how long an ESX local account stays locked out after exceeding the failed-login limit. The timeout paces password-guessing attempts (also called brute forcing) without permanently locking out a legitimate user who typoed their password.,"Setting this value to 0 prevents accounts from unlocking automatically, requiring administrative intervention to restore access after a lockout. Values below the recommended value shorten the lockout window and reduce the friction the lockout imposes on a password-guessing attempt.",P2,Security.AccountUnlockTime,900,900,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountUnlockTime,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900
esx-9.account-lockout-max-attempts,IAC-22,VCFE-9X-000005,8.3.4,AC-07,ESX,9.1.0,Base,The ESX host must enforce a limit on consecutive invalid logon attempts by a user.,"After this many consecutive failed login attempts, the ESX local account is temporarily locked, blocking further attempts until the lockout duration expires or an administrator resets it manually. The lockout is the primary defense against online password-guessing (brute forcing). Setting the threshold too low is itself a denial-of-service avenue: automated systems retrying connections, such as SSH from an orchestrator, can trip the lockout and disable accounts that are still in legitimate use. The recommended value limits brute-force attempts while tolerating occasional mistyped passwords by legitimate users.","Lowering the threshold increases accidental lockouts from automation (for example, SSH connection retries) and creates a denial-of-service avenue. Raising it weakens the lockout against password-guessing attempts.",P2,Security.AccountLockFailures,5,5,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountLockFailures,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5
esx-9.account-password-history,IAC-10.1,N/A,8.3.7,IA-05(01),ESX,9.1.0,Base,The ESX host must enforce password history for users.,"Password history is the number of previous passwords ESX remembers and refuses to accept on a password change. The intent is to discourage password reuse: if an old password has been disclosed, history forces the user to choose a different value rather than rotating straight back to the compromised one. The product default satisfies many regulatory compliance requirements.","Setting the value to 0 disables password history and allows immediate reuse, which may conflict with regulatory compliance requirements but is otherwise acceptable. Setting a very high value forces longer chains of distinct passwords, which can push users toward predictable patterns.",P2,Security.PasswordHistory,5,5,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordHistory,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5
esx-9.ad-admin-group-autoadd,"IAC-16, IAC-21",VCFE-9X-000240,7.2.2,"AC-06, SA-08(14)",ESX,9.1.0,Active Directory,The ESX host must not automatically grant administrative permissions to Active Directory groups.,"When ESX hosts are joined to Active Directory, the ""Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd"" setting controls whether membership in the AD group named by ""Config.HostAgent.plugins.hostsvc.esxAdminsGroup"" automatically receives administrative permissions on ESX. With auto-add enabled, anyone able to add a user to that AD group (an Active Directory administrator, for example) effectively gains root access on every ESX host joined to the domain. Disable auto-add and grant ESX administrative permissions through vCenter's role and permission model instead.",Access must be granted manually through vCenter's role and permission model instead of being inherited automatically from Active Directory group membership. Leaving auto-add enabled means anyone with rights to modify the configured AD group can grant themselves root on every ESX host in the domain.,P2,Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd,FALSE,FALSE,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd | Set-AdvancedSetting -Value FALSE
esx-9.ad-admin-group-name,IAC-10.8,VCFE-9X-000239,7.2.2,"IA-05, IA-05(05)",ESX,9.1.0,Active Directory,"The ESX host must not use the default ""ESX Admins"" Active Directory group.","When an ESX host is joined to Active Directory, the Active Directory group named in ""Config.HostAgent.plugins.hostsvc.esxAdminsGroup"" is granted administrative permissions on ESX. The default value ""ESX Admins"" is a well-known name: an attacker or a careless Active Directory administrator can create or repurpose that group to grant themselves ESX root access. Change the value to a site-specific group whose membership is tightly controlled. ESX hosts not joined to Active Directory should leave this setting empty.","Changing the group name to a site-specific value adds the operational step of provisioning an AD group with appropriate membership before ESX joins the domain. Leaving the default ""ESX Admins"" group in place lets anyone who can create or modify that AD group obtain root access on every ESX host that joins the domain.",P0,Config.HostAgent.plugins.hostsvc.esxAdminsGroup,"""ESX Admins""","Site-Specific Active Directory group, or empty for non-AD-joined hosts",NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroup,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroup | Set-AdvancedSetting -Value $ADAdminGroup
esx-9.ad-admin-validate-interval,IAC-17,VCFE-9X-000241,7.2.4,AC-06(07),ESX,9.1.0,Active Directory,The ESX host must not disable validation of users and groups.,"When an ESX host is joined to Active Directory, ESX periodically re-validates the membership of any AD groups granted permissions on the host. The interval is set in minutes by the ""Config.HostAgent.plugins.vimsvc.authValidateInterval"" parameter. Without periodic validation, a user removed from an AD group in Active Directory continues to hold their ESX permissions until ESX next syncs or restarts, opening a window where revoked users still have access. The default is the longest interval recommended; a value of 0 disables validation entirely and should not be used.","Setting the value to 0 disables AD group membership validation, allowing users removed from privileged AD groups to retain ESX access until the host restarts or the setting is re-enabled. Setting a value above the recommended value lengthens the window during which revoked AD users still hold ESX permissions.",P2,Config.HostAgent.plugins.vimsvc.authValidateInterval,90,90,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vimsvc.authValidateInterval,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vimsvc.authValidateInterval | Set-AdvancedSetting -Value 90
