Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
1.1,SWIFT Environment Protection,"NET-04, NET-04.1, NET-06, NET-06.1, NET-06.4","esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, esx-9.hardware-management-authentication, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, esx-9.nfs-traffic-protection, esx-9.vmk-management, esx-9.vmk-storage, esx-9.vmk-vmotion, operations-9.firewall-hardening, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.2,Operating System Privileged Account Control,"IAC-16, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, vcenter-9.bashshelladministrators, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
1.3,Virtualisation Platform Protection,CFG-02,vcf-9.secure-baseline
1.4,Restriction of Internet Access,NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
1.5,Customer Environment Protection,"NET-03, NET-04, NET-04.1, NET-06, NET-14","esx-9.firewall-incoming-default, esx-9.firewall-restrict-access, esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, nsx-9.ibgp-source-loopback, nsx-9.reverse-path-forwarding, operations-9.firewall-hardening, pnr-9.ssh, vcenter-9.network-mac-learning, vcenter-9.network-reject-forged-transmit-dvportgroup, vcenter-9.network-reject-mac-changes-dvportgroup, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-reset-port, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-restrict-port-level-overrides, vcenter-9.network-restrict-port-mirroring, vcenter-9.network-vgt, vcenter-9.vami-firewall-restrict-access, vcf-9.perimeter-firewall, vm-9.dvfilter, vsan-9.file-services-access-control-nfs, vsan-9.hcl-internet, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
2.1,Internal Data Flow Security,"CRY-03, CRY-04","automation-9.oidc-settings, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.bgp-encryption, nsx-9.load-balancer-fips, nsx-9.ospf-encryption, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
2.2,Security Updates,"VPM-04, VPM-04.1, VPM-05, VPM-05.8","esx-9.hardware-firmware-updates, esx-9.supported, esx-9.updates, guest-9.tools-updates, guest-9.tools-upgrade, vcenter-9.supported, vcenter-9.vami-updates, vm-9.virtual-hardware"
2.3,System Hardening,"CFG-02, CFG-03, IAC-21","automation-9.activity-log, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
2.4,"Back Office Data Flow Security: Ensure the confidentiality, integrity, and mutual authenticity of data flows between local or remote SWIFT infrastructure components and the back-office first hops they connect to.",NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
2.5A,External Transmission Data Protection: Protect the confidentiality of SWIFT-related sensitive data transmitted or stored outside of the secure zone as part of operational processes.,"CRY-03, CRY-04, CRY-05","automation-9.oidc-settings, esx-9.log-forwarding-tls-ciphers, esx-9.memory-tiering-encryption, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.tpm-configuration, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.bgp-encryption, nsx-9.load-balancer-fips, nsx-9.ospf-encryption, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-rest, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
