Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
AIS-02.1,"Are baseline requirements to secure applications established, documented, and maintained?","CFG-02, CFG-02.7, CFG-03, CFG-03.1","automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.inactive-interfaces, nsx-9.multicast-disable, nsx-9.routing-protocols-unused, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-inactive-interfaces, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
BCR-03.1,"Are strategies being established to reduce the impact of business disruptions, and are resiliency and recovery from business disruptions being improved?","BCD-02.2, BCD-11.7, BCD-12.2","nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.drs, vcenter-9.service-resilience-evc, vcenter-9.service-resilience-ha, vcenter-9.service-resilience-vmotion, vsan-9.auto-raid"
BCR-08.1,Are backups performed periodically?,"BCD-11, BCD-11.4","nsx-9.backup, vcenter-9.native-key-provider-backup"
BCR-08.2,"Is the confidentiality, integrity, and availability of the backup ensured?","BCD-11, BCD-11.4","nsx-9.backup, vcenter-9.native-key-provider-backup"
BCR-08.3,Can backups be restored appropriately for resiliency?,"BCD-11, BCD-11.4","nsx-9.backup, vcenter-9.native-key-provider-backup"
BCR-11.1,"Are business-critical equipment supplemented with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance, in accordance with applicable industry standards?","BCD-11.7, BCD-12.2","nsx-9.service-resilience, operations-9.service-resilience, vcenter-9.service-resilience-ha"
CCC-02.1,"Is a defined quality change control, approval and testing process, incorporating baselines, testing, and release standards, established, maintained and implemented?",CHG-02,vsan-9.auto-policy-management
CCC-03.1,"Is a change management procedure implemented to manage the risks associated with applying changes to assets, owned, controlled or used by the organization?",CHG-02,vsan-9.auto-policy-management
CCC-04.1,"Is a procedure to authorize the addition, removal, update, and management of assets owned, controlled, or used by the organization, implemented and enforced?",CHG-04,"esx-9.hardware-management-config-lock, guest-9.tools-add-feature, guest-9.tools-allow-transforms, guest-9.tools-globalconf, guest-9.tools-prevent-recustomization, guest-9.tools-remove-feature, vsan-9.managed-disk-claim"
CCC-05.1,Are provisions to limit changes directly impacting service customer-owned environments (tenants) to explicitly authorized requests included within service level agreements?,CHG-02,vsan-9.auto-policy-management
CCC-06.1,"Are change management and configuration baselines established, documented and implemented for all relevant authorized changes on organizational assets?",CFG-02,vcf-9.secure-baseline
CCC-06.2,Are the baselines reviewed and updated at least annually or upon significant changes?,CFG-02,vcf-9.secure-baseline
CCC-08.1,"Is a procedure implemented to manage exceptions, including emergencies, in the change and configuration process?",CFG-02.7,vcf-9.secure-baseline
CCC-08.2,Is the procedure aligned with the requirements of the GRC-04: Policy Exception Process?,CFG-02.7,vcf-9.secure-baseline
CCC-09.1,"Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?",CHG-02,vsan-9.auto-policy-management
CEK-01.1,"Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually, upon significant changes?",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-02.1,"Are cryptography, encryption, and key management roles and responsibilities defined and implemented?",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-03.1,"Are data protection at-rest and in-transit, and where applicable in use, provided using cryptographic libraries certified to approved standards?","CRY-01, CRY-03, CRY-05","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.memory-tiering-encryption, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.tpm-configuration, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-rest, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
CEK-04.1,"Are encryption algorithms following industry standards utilized for protecting data, based on the data classification and associated risks?",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
CEK-05.1,"Are standard change management procedures established to review, approve, implement and communicate cryptography, encryption, and key management technology changes that accommodate internal and external sources?",CHG-02,vsan-9.auto-policy-management
CEK-08.1,Are service providers providing service customers with the capacity to manage their own data encryption keys?,CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-10.1,Are cryptographic keys generated using industry-accepted and approved cryptographic libraries that specify algorithm strength and random number generator specifications?,CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-11.1,"Are private keys provisioned for a unique purpose managed, and is cryptography secret?",CRY-09,"esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vsan-9.rekey-interval"
CEK-12.1,Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks and legal and regulatory requirements?,"CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-13.1,"Are cryptographic keys revoked and removed before the end of the established cryptoperiod (when a key is compromised, or an entity is no longer part of the organization) per defined, implemented, and evaluated processes, procedures, and technical measures to include legal and regulatory requirement provisions?","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-14.1,"Are processes, procedures and technical measures to securely destroy cryptographic keys when they are no longer needed, defined, implemented, and evaluated, and include provisions for legal and regulatory requirements?","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
CEK-15.1,"Are processes, procedures, and technical measures to create keys in a pre-activated state (i.e., when they have been generated but not authorized for use) being defined, implemented, and evaluated to include legal and regulatory requirement provisions?","CRY-09, CRY-09.3","esx-9.hardware-tpm, esx-9.key-persistence, esx-9.tpm-recovery-key-backup, vcenter-9.native-key-provider-backup, vsan-9.rekey-interval"
