Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
B2.a,"Identity Verification, Authentication and Authorisation: You robustly verify, authenticate and authorise access to network and information systems supporting your essential function(s).",IAC-02,vcf-9.mfa
B2.b,"Device Management: You fully know and have trust in the devices that are used to access your networks, information systems and data that support your essential function(s).",IAC-04,"esx-9.iscsi-mutual-chap, vsan-9.iscsi-mutual-chap"
B2.c,Privileged User Management: You closely manage privileged user access to network and information systems supporting your essential function(s).,IAC-16,"esx-9.ad-admin-group-autoadd, vcenter-9.bashshelladministrators"
B3.b,Data in Transit: You have protected the transit of data important to the operation of network and information systems supporting your essential function(s). This includes the transfer of data to third parties.,CRY-03,"automation-9.oidc-settings, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
B3.c,Stored Data: You have protected stored soft and hard copy data important to the operation of network and information systems supporting your essential function(s).,CRY-05,"esx-9.memory-tiering-encryption, esx-9.tpm-configuration, vsan-9.encryption-rest"
B4,Principle B4 System Security: Network and information systems and technology critical for the operation of essential functions are protected from cyber attack. An organisational understanding of risk to essential functions informs the use of robust and reliable protective security measures to effectively limit opportunities for threat actors to compromise networks and systems.,CFG-02,vcf-9.secure-baseline
B4.b,Secure Configuration: You securely configure network and information systems that support the operation of your essential function(s).,CFG-02,vcf-9.secure-baseline
B5.c,Backups: You hold accessible and secured current backups of data and information needed to recover operation of your essential function(s) following an adverse impact to network and information systems.,BCD-11,nsx-9.backup
C1.a,Sources and Tools for Logging and Monitoring: The data sources and tools that you include in your logging and monitoring allow for timely identification of events which might adversely affect the security or resiliency of network and information system(s) supporting the operation of your essential function(s).,"MON-01.4, MON-03","esx-9.cpu-hyperthread-warning, esx-9.log-audit-local, esx-9.log-filter, esx-9.log-level, esx-9.shell-warning, guest-9.tools-logs, networks-9.audit-identity, nsx-9.log-level, vcenter-9.logs-level-global, vm-9.log-enable"
C1.b,"Securing Logs: You hold log data securely and grant appropriate user and system access only to accounts with a business need. Log data is held for a suitable retention period, after which it is deleted.","MON-08, MON-10","automation-9.activity-log, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-persistent, operations-9.action-history-retention, operations-9.log-retention, operations-9.logs-authenticated-ingestion, vcenter-9.events-database-retention, vm-9.log-retention"
C1.c,Generating Alerts: Evidence of potential security incidents contained in your monitoring data is reliably identified and where appropriate triggers alerts.,MON-01.4,"esx-9.cpu-hyperthread-warning, esx-9.shell-warning"
