Control ID,SCF ID,Description,Control Coverage,Response
CCSC 1 (4.2),SEA-01,Essential functions: The component shall provide the capability to continue to perform its essential functions during a security event.,Contributes,"VMware vDefend embeds secure engineering principles directly into its network security architecture, implementing zero-trust microsegmentation through the Distributed Firewall, defense-in-depth through layered controls spanning L2–L7, including Gateway Firewall, IDS/IPS, malware prevention, URL filtering, and TLS inspection. This architecture enforces least-privilege network access, significantly enhancing the capability of components to continue essential functions by preventing and containing security events within the network domain. The Security Engineer role within the Security Services Platform is formally defined to build, implement, and maintain security policies, supporting role-based separation of duties in security engineering activities.

While vDefend operationalizes secure engineering principles within its network security domain, the broader organizational definition of essential functions, secure systems engineering governance, and integration into the customer's Software Development Life Cycle (SDLC) remain outside its scope. Customers are responsible for establishing these overarching policies, processes, and defining their specific essential functions to ensure comprehensive resilience during security events."
CCSC 2 (4.3),RSK-06.2,Compensating countermeasures: The component shall support compensating countermeasures if a requirement cannot be met directly.,Contributes,"VMware vDefend directly implements technical compensating countermeasures at the network layer, leveraging Distributed Firewall microsegmentation, IDS/IPS, malware prevention, URL filtering, and TLS inspection. These capabilities inherently reduce risk exposure and limit the impact of threats by providing a robust layer of defense that can activate when primary preventive measures are insufficient. Intelligent Assist further enhances this by recommending and enabling the creation of targeted or comprehensive remediation policies designed to halt active attacks, such as preventing lateral propagation within the environment.

While vDefend provides the essential technical mechanisms for these compensating countermeasures, the activation of remediation policies requires manual administrator due diligence and verification. This ensures human oversight in the decision-making process for activating critical controls. Organizational risk governance and the formal documentation of compensating controls remain outside the technical scope of vDefend and are responsibilities of the customer."
CCSC 3 (4.4),IAC-21,Least privilege: The component shall be designed and configured such that it operates using the least privilege necessary.,Contributes,"VMware Cloud Foundation implements least privilege through a granular role-based access control (RBAC) model that spans all platform components, including vCenter, ESX, NSX, and SDDC Manager. Permissions are scoped by function and inventory location, allowing administrators to define custom roles with only the minimum set of required privileges, aided by a privilege check recording feature that tracks exercised privileges. The CloudAdmin role model restricts access to platform-level operations, and centralized authentication via VCF SSO ensures consistent enforcement.

For Kubernetes workloads, vSphere Namespaces support tiered permission roles that map to Kubernetes ClusterRoles, restricting access to operational need. VMware Live Recovery further supports least privilege through role granularity and custom role creation, enabling administrators to clone and modify predefined roles to deselect specific privileges, such as managing replication servers. VCF Operations orchestrator workflows for replication management require administrator privileges, preventing unauthorized sensitive operations.

VMware vDefend enforces least privilege at both the network and administrative levels. Its Distributed Firewall restricts workload-to-workload communication to only explicitly permitted flows using default-deny rule bases and microsegmentation, with Security Intelligence providing recommendations for precise policy creation. For administrative access, Security Services Platform and Security Intelligence enforce role-based access control with multiple predefined roles, ensuring personnel are granted only the privileges necessary for their assigned responsibilities.

While the platform provides robust technical mechanisms and tools for implementing least privilege, the customer is responsible for defining the specific organizational roles and responsibilities, creating and assigning custom roles with the minimum necessary privileges, and configuring network policies to restrict communication to only essential flows. This includes actively avoiding overly permissive configurations and regularly reviewing and adjusting privilege assignments and policies to align with evolving operational needs and security posture."
CCSC 4 (4.5),TDA-06,Software development process: The component shall be developed using a secure software development process in accordance with IEC 62443-4-1.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
CR 1.1 (5.3.1),"IAC-02, IAC-03","Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys.",Contributes,"VMware Cloud Foundation (VCF) establishes a robust, centralized identity and access management framework through VCF SSO, serving as the identity broker for all platform components including vCenter, ESX, NSX, SDDC Manager, VCF Operations, and VCF Automation. This architecture ensures unique identification and authentication for all human users and automated processes across all interfaces. VCF SSO issues SAML tokens for authenticated sessions and supports federation with enterprise identity providers via SAML or OIDC, enabling organizations to leverage their existing AAA infrastructure, including multifactor authentication for access from untrusted networks.

Service-to-service authentication utilizes certificate-based Principal Identity users, providing unique, auditable identities for automated processes.

Authorization is enforced through comprehensive role-based access control (RBAC) across all VCF components, including vCenter, NSX, VCF Automation, and Kubernetes workloads, ensuring granular control over operations and data access.

Audit logging captures all authentication and authorization events, providing a complete record of user and process activity.

VMware vDefend further supports authentication for its management plane using local or directory-managed accounts, enforcing separation of duties with distinct administrative and audit roles.

While VCF provides the foundational technical capabilities for identity and access management, the organization is responsible for defining identity governance policies, managing the integrated enterprise identity provider infrastructure, establishing role assignment procedures, and configuring specific security settings such as lockout policies for invalid login attempts. The platform relies on the federated identity provider to enforce specific authentication policies like multifactor authentication and to manage user lifecycle.

Specific UI/UX elements such as obscuring authenticator feedback during entry or displaying system use notifications are typically managed at the identity provider or application layer, and their explicit enforcement within VCF components requires customer configuration or is delegated to the integrated identity provider.

The secure management and hardware-based protection of symmetric keys, if utilized for authentication within the environment, are responsibilities that extend beyond the explicitly detailed VCF platform capabilities, often residing with the customer's identity provider or underlying infrastructure."
CR 1.1 (5.3.3(1)),"IAC-02, IAC-03","Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys.",Contributes,"VMware Cloud Foundation provides robust centralized identity and access management through VCF SSO, serving as the identity broker for all platform components including vCenter, ESX, NSX, SDDC Manager, VCF Operations, and VCF Automation. This architecture ensures unique identification and authentication for all human users and service accounts across all interfaces. VCF SSO supports identity federation with enterprise identity providers via SAML and OIDC, enabling organizations to extend their existing AAA infrastructure, including multifactor authentication for access from untrusted networks, and automated user lifecycle management. Authorization is enforced through comprehensive role-based access control (RBAC) across all VCF components, with predefined roles such as CloudAdmin, Enterprise Admin, Auditor, and the ability to create custom roles. Service-to-service authentication leverages certificate-based Principal Identity users, ensuring unique identification and auditability for automated processes. All authentication and authorization events are captured in centralized audit logs. VMware vDefend supports authentication for its management plane using local accounts or directory-managed accounts, providing distinct admin and audit roles for separation of duties within its scope.

While the platform provides the foundational technical capabilities for identification, authentication, and authorization, several aspects of this control require explicit customer implementation and policy definition. The enforcement of multifactor authentication, while supported through federation, relies on the configuration and policies of the customer's enterprise identity provider. The platform's capabilities for obscuring authenticator feedback during entry, enforcing limits on unsuccessful login attempts before lockout or delay, and displaying system use notifications prior to user identification are not explicitly detailed as platform-managed features. Furthermore, the provided information does not detail how VCF manages symmetric keys securely or provides hardware-based protection for them, which are explicit requirements of the control. Therefore, organizational processes are essential to define identity governance policies, manage identity provider infrastructure, establish role assignment procedures, and implement specific configurations to fully meet all aspects of this control."
CR 1.1 (5.3.3(2)),"IAC-06, IAC-06.1, IAC-06.2, IAC-06.3","Human user identification and authentication: Provide the capability to identify and authenticate all human users on all interfaces capable of human user access.

Unique identification and authentication: Capability to uniquely identify and authenticate all human users.

Multifactor authentication for untrusted networks: Capability to employ multi-factor authentication for all human user access from an untrusted network.

Authenticator feedback: Obscure feedback of authentication information (e.g., asterisks) during entry.

Unsuccessful login attempts: Enforce a limit of consecutive invalid login attempts before lockout or delay.

System use notification: Display a notification message before establishing user identification.

Access via untrusted networks: Monitor and control all access attempts from untrusted networks.

Strength of symmetric key-based authentication: Capability to manage symmetric keys securely.

Symmetric key protection: Hardware-based protection for symmetric keys.",Contributes,"VMware Cloud Foundation (VCF) provides robust capabilities for human user identification and authentication across all interfaces capable of human user access. It supports unique identification and authentication for all human users by enabling federation with enterprise identity providers such as Okta, Ping Identity, and Microsoft AD FS, utilizing industry-standard protocols like SAML 2.0 and OpenID Connect (OIDC). This federation allows for the enforcement of multi-factor authentication (MFA) for all interactive access to VCF management interfaces, including vCenter, SDDC Manager, and NSX Manager, particularly for access originating from untrusted networks. VCF's Identity Broker and vCenter support the OAuth 2.0 Authorization Code grant type, which is compatible with MFA-capable authentication flows, ensuring that both privileged and non-privileged accounts are subject to these policies. The platform's role-based access control model ensures that all administrative roles, including those with cryptographic operation privileges, authenticate through these federated identity providers where MFA can be enforced. Service-to-service authentication between VCF components relies on certificate-based solution user accounts, which operate outside the MFA flow.

VCF does not include a native, built-in MFA mechanism; the MFA capability itself is provided by the external identity provider. Therefore, the organization is responsible for deploying and configuring an external identity provider that supports MFA policies and then federating VCF SSO to it, ensuring the use of the Authorization Code grant type. The platform's capabilities regarding obscuring authenticator feedback during entry, enforcing specific limits on unsuccessful login attempts for federated users, displaying system use notifications before establishing user identification, and providing hardware-based protection for symmetric keys are not directly provided or fully detailed within the VCF architecture. While password complexity, lockout policies, and session timeouts offer compensating controls for local accounts, these are not universally applied or detailed for federated access."
CR 1.2 (5.4.1),IAC-04,"Software process and device identification and authentication: Capability to identify and authenticate all software processes and devices.

Unique identification and authentication: Capability to uniquely identify and authenticate all software processes and devices.",Contributes,"VMware Cloud Foundation provides robust capabilities for unique identification and authentication of its core infrastructure components.

ESX hosts authenticate to vCenter using unique machine SSL certificates and mutual TLS, ensuring bidirectional cryptographic verification. NSX Manager authentication mechanisms are resistant to replay attacks. VCF Operations authenticates discovered network devices using appropriate credentials, including SNMPv3 with cryptographic verification, and remediates default passwords. Storage devices leverage mutual CHAP for bidirectional cryptographic authentication. VCF Automation employs OAuth device authorization flows and holder-of-key tokens for replay-resistant authentication of programmatic device access.

VMware Live Recovery further contributes by providing certificate-based site pairing and TLS-protected communications between paired sites, with administrators verifying certificates during the pairing workflow. VMware vDefend contributes to device authentication through unique registration tokens for its NDR Sensors.

While the platform provides extensive technical mechanisms for its managed components, the comprehensive identification and authentication of all software processes and devices across an entire enterprise environment, including those outside the direct management scope of VCF, Live Recovery, or vDefend, remains a customer responsibility. This includes establishing and managing a comprehensive PKI infrastructure, defining authentication policies for non-VCF managed devices, and ensuring the proper configuration and enforcement of these capabilities across their broader IT landscape."
CR 1.2 (5.4.3(1)),IAC-04,"Software process and device identification and authentication: Capability to identify and authenticate all software processes and devices.

Unique identification and authentication: Capability to uniquely identify and authenticate all software processes and devices.",Meets,"VMware Cloud Foundation provides robust, cryptographically-based mechanisms for the unique identification and authentication of its software processes and devices.

ESX hosts establish their identity with vCenter through unique machine SSL certificates and mutual TLS authentication, ensuring bidirectional verification. NSX Manager authentication mechanisms are inherently resistant to replay attacks. VCF Operations authenticates discovered and managed network devices using appropriate credentials, including SNMPv3 with cryptographic verification, and actively remediates default manufacturer passwords. Storage devices leverage mutual CHAP authentication for bidirectional cryptographic verification. VCF Automation supports standards-based OAuth device authorization flows, and all token-based authentication throughout VCF, including holder-of-key tokens, provides replay-resistant access for both users and programmatic device interactions.

VMware Live Recovery extends this capability by providing device-level identification and authentication through certificate-based site pairing, where the identity of remote vCenter sites is verified via certificate validation, and all inter-VLR communications utilize TLS with certificate-based authentication.

VMware vDefend further contributes by authenticating its NDR Sensors during onboarding using unique registration tokens generated by the Security Services Platform, establishing device-level authentication for these critical components.

The platform delivers comprehensive technical capabilities for identifying and authenticating its core infrastructure and managed devices.

Customers are responsible for the proper configuration and management of these inherent capabilities, including certificate lifecycle management, credential rotation, and extending these authentication principles to any custom applications or unmanaged devices integrated within their VCF environment."
CR 1.3 (5.5.1),IAC-01,"Account management: Support management of all accounts by authorized users (adding, activating, modifying, disabling, removing).",Meets,"VMware Cloud Foundation provides comprehensive, centralized account management capabilities across its entire environment. VCF SSO serves as the foundational identity and access management service, supporting federation with enterprise identity providers such as Microsoft Entra ID, ADFS, and Okta. This architecture enables the synchronization of user accounts and groups from external directories, facilitating their activation and modification within the VCF ecosystem.

Role-based access control (RBAC) is enforced consistently across all VCF components, including vCenter, SDDC Manager, NSX Manager, VCF Operations, and VCF Automation, ensuring that only authorized users can perform account management functions.

Specific capabilities include importing users and groups, assigning predefined or custom roles with granular privileges, and the ability to disable users and groups at the organization level to revoke access without permanent deletion.

For Kubernetes workloads, VMware Kubernetes Service integrates with VCF SSO and OpenID Connect providers, offering distinct namespace permission roles that map to Kubernetes ClusterRoles for managing access.

NSX further integrates with LDAP and external identity services for administrative access to network configurations.

The platform fully provides the technical mechanisms for authorized users to add, activate, modify, disable, and remove accounts across the entire VCF environment.

The customer's responsibility lies in configuring these capabilities, defining appropriate roles and permissions, and integrating with their chosen enterprise identity providers to leverage the platform's inherent account lifecycle management features."
