SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
automation-9.activity-log,Automation,Retain the VCF Automation activity log for the audit window and keep debug output disabled.,P1,"CFG-03, MON-10","CIP-006-6 1.9, CIP-006-6 2.3, CIP-007-6 1.1, CIP-007-6 4.3"
automation-9.oidc-settings,Automation,Bound VCF Automation OIDC token lifetimes and keep redirect targets HTTPS-only.,P1,IAC-10,CIP-007-6 5.6
automation-9.timeouts,Automation,Limit the VCF Automation API token lifetime.,P1,IAC-10,CIP-007-6 5.6
esx-9.account-lockout-duration,ESX,The ESX host must enforce an unlock timeout.,P2,IAC-22,CIP-007-6 5.7
esx-9.account-lockout-max-attempts,ESX,The ESX host must enforce a limit on consecutive invalid logon attempts by a user.,P2,IAC-22,CIP-007-6 5.7
esx-9.account-password-history,ESX,The ESX host must enforce password history for users.,P2,IAC-10.1,"CIP-007-6 5.5.1, CIP-007-6 5.5.2"
esx-9.ad-admin-group-name,ESX,"The ESX host must not use the default ""ESX Admins"" Active Directory group.",P0,IAC-10.8,CIP-007-6 5.4
esx-9.ad-admin-validate-interval,ESX,The ESX host must not disable validation of users and groups.,P2,IAC-17,"CIP-004-7 4.3, CIP-004-7 6.2, CIP-004-7 6.2.1, CIP-004-7 6.2.2"
esx-9.api-soap-timeout,ESX,The ESX host must configure a session timeout for the vSphere API.,P1,IAC-25,"CIP-005-7 2.5, CIP-005-7 3.2"
esx-9.ceip-disable,ESX,Disable the ESX Customer Experience Improvement Program.,P1,CFG-03,CIP-007-6 1.1
esx-9.cpu-hyperthread-warning,ESX,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,P2,MON-01.4,"CIP-007-6 4.1, CIP-007-6 4.2"
esx-9.dcui-timeout,ESX,Set a timeout to automatically terminate idle DCUI sessions on the ESX host.,P2,IAC-25,"CIP-005-7 2.5, CIP-005-7 3.2"
esx-9.deactivate-mob,ESX,The ESX Managed Object Browser (MOB) must be disabled.,P2,CFG-03,CIP-007-6 1.1
esx-9.deactivate-shell,ESX,The ESX Shell must be disabled.,P2,CFG-03,CIP-007-6 1.1
esx-9.entropy,ESX,The ESX host must use sufficient entropy for cryptographic operations.,P2,CRY-01,CIP-006-6 1.10
esx-9.forensic-snapshots,ESX,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,P2,"CFG-03, IRO-08","CIP-007-6 1.1, CIP-008-6 2.3, CIP-009-6 1.5"
esx-9.hardware-cpu-amd-cc,ESX,"Enable AMD SEV-ES and SEV-SNP in system firmware where available, and size the SEV ASID pool appropriately.",P1,CRY-01,CIP-006-6 1.10
esx-9.hardware-cpu-intel-cc,ESX,Enable Intel SGX and TDX in system firmware where available.,P1,CRY-01,CIP-006-6 1.10
esx-9.hardware-firmware-updates,ESX,"Ensure all system and device firmware is auditable, authentic, and up to date.",P0,VPM-05,"CIP-007-6 1.3, CIP-007-6 2.3"
esx-9.hardware-management-security,ESX,Harden integrated hardware management controllers.,P0,"CFG-03, IAC-10.8","CIP-007-6 1.1, CIP-007-6 5.4"
esx-9.hardware-ports,ESX,Disable or physically protect unused external server ports.,P1,"CFG-03, END-12","CIP-007-6 1.1, CIP-007-6 1.2"
esx-9.hardware-virtual-nic,ESX,The ESX host must not enable virtual hardware management network interfaces.,P0,CFG-03,CIP-007-6 1.1
esx-9.iscsi-mutual-chap,ESX,Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"P0, Upon Feature Enablement",IAC-04,CIP-005-7 1.4
esx-9.log-audit-local,ESX,The ESX host must enable audit record logging.,P0,MON-03,"CIP-007-6 4.1, CIP-007-6 4.1.1, CIP-007-6 4.1.2, CIP-007-6 4.1.3"
esx-9.log-audit-local-capacity,ESX,The ESX host must store audit records for a time period consistent with your records retention policy.,P1,MON-10,"CIP-006-6 1.9, CIP-006-6 2.3, CIP-007-6 4.3"
esx-9.log-audit-persistent,ESX,Configure a persistent log location for all locally stored audit records on the ESX host.,P0,MON-10,"CIP-006-6 1.9, CIP-006-6 2.3, CIP-007-6 4.3"
esx-9.log-filter,ESX,The ESX host must not enable log filtering.,P2,MON-03,"CIP-007-6 4.1, CIP-007-6 4.1.1, CIP-007-6 4.1.2, CIP-007-6 4.1.3"
esx-9.log-level,ESX,The ESX host must produce audit records containing information to establish what type of events occurred.,P2,MON-03,"CIP-007-6 4.1, CIP-007-6 4.1.1, CIP-007-6 4.1.2, CIP-007-6 4.1.3"
