SCF ID,Core VCF Category,Core VCF Category Description,Correlated Baseline Technical Controls,DORA RTS on ICT Risk Management Reference
GOV-01,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Artilce 6, 1."
GOV-01.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-01.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-02,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (b)
Article 2, 2. (f)"
GOV-02.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (c)(ii),(iii)"
GOV-03,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-04,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (i)"
GOV-04.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (g)
Article 11 (b)"
GOV-04.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-05,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-05.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-05.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-06,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-07,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-08,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-09,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-10,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-11,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-12,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-13,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
GOV-14,Change Management Governance,"VMware Cloud Foundation (VCF) with VMware Aria Automation provides workflow processes including change approval mechanisms to support organizational change management requirements. The platform implements granular role-based access control (RBAC) and additional authorization mechanisms to enforce access policies across infrastructure operations, as well as detailed logging to monitor changes.",Not Applicable,
GOV-15,Change Management Governance,"VMware Cloud Foundation (VCF) with VMware Aria Automation provides workflow processes including change approval mechanisms to support organizational change management requirements. The platform implements granular role-based access control (RBAC) and additional authorization mechanisms to enforce access policies across infrastructure operations, as well as detailed logging to monitor changes.",Not Applicable,Article 11
GOV-15.1,Change Management Governance,"VMware Cloud Foundation (VCF) with VMware Aria Automation provides workflow processes including change approval mechanisms to support organizational change management requirements. The platform implements granular role-based access control (RBAC) and additional authorization mechanisms to enforce access policies across infrastructure operations, as well as detailed logging to monitor changes.",Not Applicable,
GOV-15.2,Change Management Governance,"VMware Cloud Foundation (VCF) with VMware Aria Automation provides workflow processes including change approval mechanisms to support organizational change management requirements. The platform implements granular role-based access control (RBAC) and additional authorization mechanisms to enforce access policies across infrastructure operations, as well as detailed logging to monitor changes.",Not Applicable,
GOV-15.3,Change Management Governance,"VMware Cloud Foundation (VCF) with VMware Aria Automation provides workflow processes including change approval mechanisms to support organizational change management requirements. The platform implements granular role-based access control (RBAC) and additional authorization mechanisms to enforce access policies across infrastructure operations, as well as detailed logging to monitor changes.",Not Applicable,
GOV-15.4,Change Management Governance,"VMware Cloud Foundation (VCF) with VMware Aria Automation provides workflow processes including change approval mechanisms to support organizational change management requirements. The platform implements granular role-based access control (RBAC) and additional authorization mechanisms to enforce access policies across infrastructure operations, as well as detailed logging to monitor changes.",Not Applicable,
GOV-15.5,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",Not Applicable,"Article 2, 2. (c)(i)
Article 6, 5."
GOV-16,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (k)"
GOV-16.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (k)"
GOV-16.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 2, 2. (k)"
GOV-17,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-01,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-01.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-01.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-01.3,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-02,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-02.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-02.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-03,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-03.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-04,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-04.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-04.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-04.3,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-04.4,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-05,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-06,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-07,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-07.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-07.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-07.3,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-08,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-09,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AAT-10,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.3,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.4,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.5,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.6,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.7,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.8,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.9,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.10,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.11,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.12,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.13,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-10.14,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-11,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-11.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-11.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-11.3,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-11.4,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-12,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-12.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-12.2,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AAT-13,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-13.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-14,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-14.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-14.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-15,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-15.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-15.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-16,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AAT-16.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-16.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-16.3,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-16.4,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-16.5,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AAT-16.6,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-16.7,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-17,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-17.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-17.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-17.3,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AAT-18,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AAT-18.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AST-01,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",Not Applicable,"Article 4, 1. 
Article 11(2)(c)"
