Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
AC-02,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system; b. Assign account managers; c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership; d. Specify: 1. Authorized users of the system; 2. Group and role membership; and 3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account; e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts; f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria]; g. Monitor the use of accounts; h. Notify account managers and [Assignment: organization-defined personnel or roles] within: 1. [Assignment: organization-defined time period] when accounts are no longer required; 2. [Assignment: organization-defined time period] when users are terminated or transferred; and 3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual; i. Authorize access to the system based on: 1. A valid access authorization; 2. Intended system usage; and 3. [Assignment: organization-defined attributes (as required)]; j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency]; k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and l. Align account management processes with personnel termination and transfer processes.",NET-12,"nsx-9.snmp, vcenter-9.snmp, vcenter-9.snmp3"
AC-02(03),###### Disable accounts within [Assignment: organization-defined time period] when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for [Assignment: organization-defined time period].,IAC-15.3,fleet-9.jit-inactivity
AC-02(05),Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].,IAC-24,vm-9.vmrc-lock
AC-02(09),Only permit the use of shared and group accounts that meet [Assignment: organization- defined conditions for establishing shared and group accounts].,IAC-15.5,vcenter-9.bashshelladministrators
AC-03,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"IAC-20, NET-12","esx-9.lockdown-mode, fleet-9.all-users-group, nsx-9.snmp, operations-9.non-imported-vidm, vcenter-9.snmp, vcenter-9.snmp3"
AC-04,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].,NET-04,"esx-9.network-bpdu, esx-9.network-dvfilter, esx-9.network-rpf-promisc, esx-9.network-standard-reject-forged-transmit, esx-9.network-standard-reject-mac-changes, esx-9.network-standard-reject-promiscuous-mode, vcenter-9.network-reject-promiscuous-mode-dvportgroup, vcenter-9.network-restrict-netflow-usage, vcenter-9.network-vgt, vm-9.dvfilter, vsan-9.file-services-access-control-nfs"
AC-04(21),"Information Flow Enforcement | Physical or Logical Separation of Information Flows
Separate information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].",NET-06,"esx-9.nfs-traffic-protection, esx-9.vmk-storage, esx-9.vmk-vmotion, vsan-9.network-isolation-vsan-iscsi-target, vsan-9.storage-cluster-traffic-protection"
AC-05,a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and b. Define system access authorizations to support separation of duties.,NET-12,"nsx-9.snmp, vcenter-9.snmp, vcenter-9.snmp3"
AC-06,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.","IAC-20, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
AC-06(07),"(a) Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
