Control ID,SCF ID,Description,Control Coverage,Response
4.1,CPL-01,"Financial entities shall implement the rules in Chapter II in accordance with the proportionality principle, considering their size and overall risk profile, and the nature, scale and complexity of their services, activities and operations.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.2,CPL-01,"The application of Chapters III, IV and V (Section I) by financial entities shall be proportionate to their size, overall risk profile, and the nature, scale and complexity of their services, activities and operations, as specifically provided for in those Chapters.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
4.3,CPL-01,Competent authorities shall consider the proportionality principle when reviewing the consistency of the ICT risk management framework based on reports submitted under Article 6(5) and Article 16(2).,Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.1,GOV-01,Financial entities shall have an internal governance and control framework that ensures effective and prudent management of ICT risk to achieve a high level of digital operational resilience.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2,"GOV-01.1, GOV-04","The management body shall define, approve, oversee, and be responsible for the implementation of all arrangements related to the ICT risk management framework.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(b),"GOV-01.1, GOV-04","The management body shall put in place policies that aim to ensure the maintenance of high standards of availability, authenticity, integrity and confidentiality, of data.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(c),"GOV-01.1, GOV-04, HRS-03",The management body shall set clear roles and responsibilities for all ICT-related functions and establish appropriate governance arrangements.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(d),"GOV-01.1, GOV-04","The management body bears the overall responsibility for setting and approving the digital operational resilience strategy (Article 6(8)), including determining the appropriate risk tolerance level for ICT risk and analyzing the impact tolerance for ICT disruptions.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(e),"GOV-01.1, GOV-04","The management body shall approve, oversee and periodically review the implementation of the financial entity's ICT business continuity policy (Article 11(1)) and ICT response and recovery plans (Article 11(3)).",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(f),"GOV-01.1, GOV-04","The management body shall approve and periodically review the financial entity's ICT internal audit plans, ICT audits and material modifications to them.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(g),"GOV-01.1, GOV-04","The management body shall allocate and periodically review the appropriate budget to fulfil digital operational resilience needs, including security awareness programmes, training, and ICT skills for staff.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(h),"GOV-01.1, GOV-04",The management body shall approve and periodically review the financial entity's policy on arrangements regarding the use of ICT services provided by ICT third-party service providers.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(i),GOV-01.2,"The management body shall put in place, at corporate level, reporting channels to be duly informed of ICT third-party arrangements, material changes, and major ICT-related incidents.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(i)(i),"GOV-01.1, GOV-04",The reporting channels shall cover arrangements concluded with ICT third-party service providers on the use of ICT services.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(i)(ii),"GOV-01.1, GOV-04",The reporting channels shall cover any relevant planned material changes regarding the ICT third-party service providers.,Not Applicable,"End user activity or process, design decision, or activity out of scope."
