Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
ISM-0109,Event logs from workstations are analysed in a timely manner to detect cyber security events.,MON-02,"esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
ISM-0137,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,IRO-08,esx-9.forensic-snapshots
ISM-0138,The integrity of evidence gathered during an investigation is maintained by investigators: -  recording all of their actions -  maintaining a proper chain of custody -  following all instructions provided by relevant law enforcement agencies.,IRO-08,esx-9.forensic-snapshots
ISM-0142,"The compromise or suspected compromise of cryptographic equipment or associated keying material is reported to the chief information security officer, or one of their delegates, as soon as possible after it occurs.",CRY-01,"esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3"
ISM-0231,"When using cryptographic equipment to permit different levels of conversation for different kinds of connections, telephone systems give a visual indication of what kind of connection has been made.",CRY-03,"automation-9.oidc-settings, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
ISM-0232,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.,CRY-03,"automation-9.oidc-settings, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.load-balancer-fips, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
ISM-0264,"An email usage policy is developed, implemented and maintained.",NET-13,vcenter-9.smtp
ISM-0267,Access to non-approved webmail services is blocked.,NET-13,vcenter-9.smtp
ISM-0269,"Emails containing Australian Eyes Only, Australian Government Access Only or Releasable To data are not sent to email distribution lists unless the nationality of all members of email distribution lists can be confirmed.",NET-13,vcenter-9.smtp
ISM-0270,"Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments.",NET-13,vcenter-9.smtp
ISM-0271,Protective marking tools do not automatically insert protective markings into emails.,NET-13,vcenter-9.smtp
ISM-0272,"Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate.",NET-13,vcenter-9.smtp
ISM-0304,"Applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, Adobe Flash Player, and security products that are no longer supported by vendors are removed.",TDA-17,"esx-9.supported, vcenter-9.supported"
ISM-0341,Automatic execution features for removable media are disabled.,CFG-02,vcf-9.secure-baseline
ISM-0343,"If there is no business requirement for writing to removable media and devices, such functionality is disabled via the use of a device access control application or by disabling external communication interfaces.",CFG-02,vcf-9.secure-baseline
ISM-0345,External communication interfaces that allow DMA are disabled.,CFG-02,vcf-9.secure-baseline
ISM-0380,"Unneeded user accounts, components, services and functionality of operating systems are disabled or removed.",CFG-02,vcf-9.secure-baseline
ISM-0383,"Default user accounts or credentials for operating systems, including for any pre-configured user accounts, are changed, disabled or removed during initial setup.",CFG-02,vcf-9.secure-baseline
ISM-0385,Servers maintain effective functional separation with other servers allowing them to operate independently.,CFG-03,"automation-9.activity-log, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
ISM-0405,Requests for unprivileged access to systems and their resources are validated when first requested.,IAC-17,"esx-9.ad-admin-validate-interval, vcf-9.permissions-roles"
ISM-0408,Systems have a logon banner that reminds users of their security responsibilities when accessing the system and its resources.,SEA-18,"esx-9.etc-issue, esx-9.login-message, networks-9.login-message, nsx-9.login-message, operations-9.login-message, vcenter-9.etc-issue, vcenter-9.login-message"
ISM-0414,Personnel granted access to systems and their resources are uniquely identifiable.,IAC-02,vcf-9.mfa
ISM-0415,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable.",IAC-02,vcf-9.mfa
ISM-0417,"When systems cannot support multi-factor authentication, single-factor authentication using passwords is implemented instead.",IAC-10.1,"esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length"
