Control ID,SCF ID,Description,Control Coverage,Response
DE,"THR-01, THR-02, THR-03, THR-07, THR-09, THR-10","[Withdrawn: Incorporated into PR.DS-01, DE.CM-09]

[Withdrawn: Incorporated into ID.RA-09, DE.CM-09]

Networks and network services are monitored to find potentially adverse events

The physical environment is monitored to find potentially adverse events

Personnel activity and technology usage are monitored to find potentially adverse events

[Withdrawn: Incorporated into DE.CM-01, DE.CM-09]

External service provider activities and services are monitored to find potentially adverse events

[Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]

[Withdrawn: Incorporated into ID.RA-01]

Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events

[Withdrawn: Incorporated into ID.AM-03]

Potentially adverse events are analyzed to better understand associated activities

Information is correlated from multiple sources

The estimated impact and scope of adverse events are understood

[Withdrawn: Moved to DE.AE-08]

Information on adverse events is provided to authorized staff and tools

Cyber threat intelligence and other contextual information are integrated into the analysis

Incidents are declared when adverse events meet the defined incident criteria

[Withdrawn: Incorporated into GV.RR-02]

[Withdrawn: Incorporated into DE.AE]

[Withdrawn: Incorporated into ID.IM-02]

[Withdrawn: Incorporated into DE.AE-06]

[Withdrawn: Incorporated into ID.IM, ID.IM-03]",Contributes ,"VMware vDefend provides advanced detection technologies, including IDS/IPS, Network Traffic Analysis (NTA), and Malware Prevention, which monitor network traffic and services for potentially adverse events. The vDefend Threat Intelligence Service delivers continuously updated feeds and signatures to detect known and emerging threats at the network layer. Its Network Detection and Response (NDR) capability uses machine learning to automatically correlate these signals into threat campaigns, helping security analysts understand the impact and scope of adverse events and support threat-hunting workflows.

The control's full scope requires customer-defined policies for incident declaration criteria, monitoring of the physical environment, and personnel activity. vDefend provides network-layer visibility and correlation, but broader threat intelligence program management, endpoint telemetry, and organizational incident response processes remain the responsibility of the customer."
DE.AE,"MON-01, MON-01.8, MON-01.12, MON-01.16, IRO-01, IRO-02, IRO-02.4","[Withdrawn: Incorporated into ID.AM-03]

Potentially adverse events are analyzed to better understand associated activities

Information is correlated from multiple sources

The estimated impact and scope of adverse events are understood

[Withdrawn: Moved to DE.AE-08]

Information on adverse events is provided to authorized staff and tools

Cyber threat intelligence and other contextual information are integrated into the analysis

Incidents are declared when adverse events meet the defined incident criteria

[Withdrawn: Incorporated into DE.AE]

[Withdrawn: Incorporated into DE.AE-06]",Contributes ,"VMware Cloud Foundation (VCF), VMware vDefend, and VMware Live Recovery (VLR) provide an integrated technical framework for detecting, correlating, and analyzing potentially adverse events. VCF Operations and VCF Operations for Logs provide centralized monitoring and log analysis across the infrastructure stack, utilizing pre-built content packs to identify security-relevant events like authentication failures and unauthorized configuration changes. vDefend enhances this through Network Detection and Response (NDR), which uses machine learning to correlate network signals into threat campaigns and integrates cyber threat intelligence to detect emerging threats. VLR contributes by monitoring and alerting on replication and disaster recovery health. These tools support understanding the impact and scope of events through severity ranking, impact scores, and automated alerting via email, SNMP, and webhook integrations to authorized staff and incident management tools like ServiceNow.

The platform provides the necessary instrumentation for analysis and correlation, but the full control requires the customer to define the specific incident criteria for declaring incidents and manage the organizational processes for ongoing log review, incident response documentation, and manual incident intake. Additionally, while the platform supports asset prioritization through business criticality tags, the initial assessment of asset sensitivity and data classification remains an organizational responsibility."
DE.AE-02,"IRO-02, IRO-02.4",Potentially adverse events are analyzed to better understand associated activities,Contributes ,"VMware Cloud Foundation (VCF) provides technical analysis capabilities through VCF Operations, which correlates infrastructure events into faults and offers a dedicated Troubleshooting Incidents page for managing incidents and identifying root causes.

Diagnostic Findings and Log Assist further support analysis by matching log patterns against known rules and automating log collection.

VMware vDefend enhances this analysis through Security Intelligence and Network Detection and Response (NDR), which categorize and prioritize suspicious traffic events by impact type and campaign scores.

Additionally, IDS/IPS and Malware Prevention alerts provide contextual data that informs the analysis of potentially adverse network activities.

The broader incident management process, including the definition of analysis procedures, organizational governance, and final determination of event significance, remains the responsibility of the customer. The platform supports the technical analysis of events, but the human accountability and policy-driven categorization elements fall outside the technical scope of the software."
DE.AE-03,"MON-02, MON-02.1, IRO-02, IRO-02.5",Information is correlated from multiple sources,Contributes ,"VMware Cloud Foundation (VCF) and vDefend provide automated correlation of security-relevant information across multiple technical infrastructure sources. VCF Operations for Logs serves as a centralized platform that aggregates logs from vCenter, ESX hosts, NSX, and other VCF components, allowing for cross-source queries and dashboards. VCF Operations supports metric correlation analysis to identify behavioral patterns across different objects and layers. vDefend Network Detection and Response (NDR) correlates distributed firewall events and intrusion detections into unified threat campaigns to provide broader situational awareness. Both platforms support integration with external SIEM systems via syslog, enabling organizations to correlate VCF and vDefend telemetry with data from non-VMware sources.

The control requirement to correlate information from multiple sources implies a broader scope than just technical infrastructure logs. While the platform automates technical correlation, customers remain responsible for defining the correlation logic, alert thresholds, and integrating non-technical or external data sources into a centralized security monitoring and incident response program. Additionally, vDefend correlates only network-layer security data; full enterprise-wide correlation requires a SIEM or similar platform."
DE.AE-04,"GOV-16, IRO-02, IRO-02.4",The estimated impact and scope of adverse events are understood,Contributes ,"VMware Cloud Foundation (VCF) and vDefend provide technical capabilities to assist in understanding the impact and scope of adverse events. VCF Operations correlates infrastructure events, ranks them by severity (Info to Immediate), and provides a Troubleshooting Incidents page for root cause analysis and tracking. VMware vDefend’s Security Intelligence and Network Detection and Response (NDR) categorize suspicious traffic by impact levels (Critical, High, Medium, Low) and assign impact scores to campaigns to prioritize triage. VCF also integrates with ServiceNow to flow these events into structured ITSM workflows for analysis.

While the platform provides automated severity ranking and impact scoring, the final determination of ""understanding"" the impact and scope is a human-led process. The platform lacks the organizational context to fully assess business impact, and the broader incident management framework, including the definition of incident criteria and final impact assessment, remains the responsibility of the customer's organizational processes."
DE.AE-06,"MON-01.8, MON-01.12, MON-02, MON-02.1, IRO-02, IRO-02.4, IRO-04, IRO-07, IRO-09, IRO-10","Information on adverse events is provided to authorized staff and tools

[Withdrawn: Incorporated into DE.AE-06]",Contributes ,"VMware Cloud Foundation (VCF) and vDefend provide the technical infrastructure to collect, analyze, and distribute information on adverse events to authorized staff and tools. VCF Operations and VCF Operations for Logs centralize log data and metrics across the infrastructure stack, providing visibility into security-relevant events such as authentication failures and configuration changes. The platform supports automated alert generation with configurable impact levels and outbound notification via email, SNMP traps, webhooks, and Slack. vDefend adds specialized network security telemetry, using Security Intelligence and Network Detection and Response (NDR) to correlate events into campaigns and prioritize them by severity.

Integration with external SIEM and ITSM platforms, like ServiceNow, ensures that event data can be incorporated into broader organizational workflows. VMware Live Recovery (VLR) further supports this by generating audit events and alarms for disaster recovery operations.

The control requires that information be provided to authorized staff, which necessitates customer-defined policies for access control, incident declaration criteria, and escalation procedures. While the software facilitates the delivery of information, the organization is responsible for managing the personnel who receive it, defining the response timelines, and maintaining the overall incident management program."
DE.AE-07,"THR-01, THR-03, THR-10",Cyber threat intelligence and other contextual information are integrated into the analysis,Contributes ,"VMware vDefend integrates cyber threat intelligence through its vDefend Threat Intelligence Service, which provides continuously updated feeds of IDS signatures and threat indicators. These are consumed by IDS/IPS and Advanced Threat Prevention components to detect network-layer threats. Additionally, NDR uses machine learning and analytics to correlate events into threat campaigns, while Security Intelligence visualizes event data with granular details.

The control requires broader threat intelligence program management and dissemination across the organization, which necessitates complementary processes and tooling beyond vDefend's operational consumption and application. Management of non-network-layer threat intelligence and organizational dissemination remains a customer responsibility."
DE.AE-08,"IRO-02, IRO-02.4","[Withdrawn: Moved to DE.AE-08]

Incidents are declared when adverse events meet the defined incident criteria",Contributes ,"VMware Cloud Foundation (VCF) and vDefend provide technical mechanisms to automate the detection and prioritization of adverse events, which are essential prerequisites for incident declaration.

VCF Operations correlates events and delivers them as faults ranked by severity, while vCenter Server alarms trigger notifications based on defined infrastructure thresholds. vDefend further enhances this through Security Intelligence, which categorizes suspicious traffic by impact type (Critical, High, Medium, Low) and assigns impact scores to campaigns via NDR. Additionally, VMware Live Recovery supports incident handling for disaster scenarios through structured recovery plans.

While these tools provide the necessary telemetry and severity signaling to inform declaration, they rely on the customer to define the specific incident criteria and govern the formal declaration process.

The platform provides the technical detection and classification capabilities, but the ""defined incident criteria"" and the actual act of declaring an incident remain organizational responsibilities.

There is a gap in automated policy-driven declaration, as the process still requires human intervention or integration with external ITSM workflows like ServiceNow to formalize the transition from an adverse event to a declared incident."
DE.CM,"MON-11.3, MON-16, IRO-03, THR-02","[Withdrawn: Incorporated into PR.DS-01, DE.CM-09]

[Withdrawn: Incorporated into ID.RA-09, DE.CM-09]

Networks and network services are monitored to find potentially adverse events

The physical environment is monitored to find potentially adverse events

Personnel activity and technology usage are monitored to find potentially adverse events

[Withdrawn: Incorporated into DE.CM-01, DE.CM-09]

External service provider activities and services are monitored to find potentially adverse events

[Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]

[Withdrawn: Incorporated into ID.RA-01]

Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Contributes ,"VMware Cloud Foundation (VCF) and vDefend provide comprehensive technical monitoring across network services, computing hardware, and software environments. VCF Operations offers automated alerting, anomaly detection using dynamic thresholds, and extensive event auditing across categories such as access, network, and configuration. Configuration drift detection identifies unauthorized changes to the infrastructure. VCF Operations for Networks and vDefend provide deep network-layer visibility, including IDS/IPS, network traffic analysis (NTA), and malicious IP feeds to identify adverse events. vDefend’s NDR capability correlates security signals into threat campaigns to assist in impact analysis. These tools collectively satisfy the technical requirements for monitoring networks, hardware, and runtime environments.

The platform does not provide technical monitoring for the physical environment or personnel activity (UAM/UEBA) at the identity or application layer. Customers are responsible for defining the specific policies, alert thresholds, and incident declaration criteria that drive these monitoring tools. Additionally, monitoring external service provider activities requires customer-configured integrations and organizational processes that fall outside the automated scope of the VCF infrastructure."
DE.CM-01,"MON-01, MON-01.1, MON-01.3, MON-01.4, MON-01.8, MON-01.16","Networks and network services are monitored to find potentially adverse events

[Withdrawn: Incorporated into DE.CM-01, DE.CM-09]

[Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]",Contributes ,"VMware Cloud Foundation (VCF) and vDefend provide a comprehensive technical framework for monitoring networks and network services to detect adverse events. VCF Operations for Networks periodically verifies network intents and monitors SDDC entities, while NSX provides traffic analysis tools like traceflow, VPC Flow Logs, and stateful connection tracking. VMware vDefend extends these capabilities with Distributed and Gateway IDS/IPS for signature-based threat detection, and Network Traffic Analysis (NTA) which uses machine learning to baseline normal behavior and detect anomalies or port scans. Security Intelligence provides continuous visibility into network flows, alerting on unapproved or unauthorized traffic patterns. VCF Operations for Logs centralizes log collection from all components, enabling automated alerting based on specific log patterns or performance thresholds.

The control requirement to monitor networks for potentially adverse events implies an ongoing operational process and the definition of what constitutes an ""adverse event"" for a specific organization. While the platform provides the necessary instrumentation (IDS/IPS, NTA, flow logs, and alerting), the customer is responsible for defining the specific alert thresholds, tuning detection sensitivity to reduce false positives, and maintaining the organizational incident response procedures required to act upon detected events. Monitoring of the physical environment and personnel activity mentioned in the reasoning is also a customer responsibility."
